Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/05/22 15:32:11,995.24,36.94,29.15,28.75,4.51,1734.38, 5.08,4.40,115,26624,3587,4110.34,0.03,0.06,26.65,
2023/05/22 15:32:15,994.78,36.79,29.25,28.75,4.51,1765.63, 5.30,4.43,119,27648,3637,4208.03,0.03,0.07,26.66,
2023/05/22 15:32:21,994.09,36.50,29.35,29.00,4.52,1765.63, 5.30,4.66,120,27648,3639,4191.44,0.03,0.07,26.68,
2023/05/22 15:32:27,993.34,36.25,29.45,29.00,4.51,1765.63, 5.32,4.43,120,27904,3640,4209.87,0.03,0.07,26.70,
2023/05/22 15:32:33,992.69,36.04,29.54,29.25,4.51,1781.25, 5.32,4.43,120,27648,3666,4237.52,0.03,0.07,26.71,
2023/05/22 15:32:39,992.13,35.84,29.64,29.25,4.51,1781.25, 5.30,4.21,120,27648,3667,4241.20,0.03,0.07,26.73,
2023/05/22 15:32:45,991.65,35.64,29.73,29.25,4.51,1765.63, 5.10,4.87,120,27904,3665,4244.89,0.03,0.07,26.74,
2023/05/22 15:32:51,991.18,35.45,29.81,29.50,4.52,1765.63, 5.32,4.87,120,27904,3671,4241.20,0.03,0.07,26.75,
2023/05/22 15:32:57,990.73,35.27,29.89,29.75,4.52,1765.63, 5.10,4.65,120,27904,3673,4243.05,0.03,0.07,26.76,
2023/05/22 15:33:03,990.28,35.11,29.98,29.75,4.51,1750.00, 5.12,4.66,120,27904,3674,4244.89,0.03,0.07,26.78,
2023/05/22 15:33:09,989.94,34.96,30.06,29.75,4.51,1750.00, 5.32,4.45,121,27904,3674,4248.58,0.03,0.07,26.79,
2023/05/22 15:33:15,989.63,34.81,30.13,30.00,4.52,1750.00, 5.32,4.67,121,27904,3676,4239.36,0.03,0.07,26.80,
2023/05/22 15:33:21,989.31,34.65,30.21,30.00,4.51,1750.00, 5.10,4.43,120,27904,3674,4246.73,0.03,0.07,26.82,
2023/05/22 15:33:27,989.06,34.50,30.29,30.00,4.52,1750.00, 4.90,4.43,121,27904,3669,4244.89,0.03,0.07,26.82,
2023/05/22 15:33:33,988.89,34.36,30.37,30.25,4.52,1734.38, 5.12,4.64,121,27904,3678,4239.36,0.03,0.07,26.83,
2023/05/22 15:33:39,988.63,34.21,30.43,30.25,4.51,1734.38, 5.34,4.65,121,28160,3677,4246.73,0.03,0.07,26.83,
2023/05/22 15:33:45,988.52,34.08,30.51,30.25,4.51,1734.38, 5.32,4.65,121,27904,3671,4250.42,0.03,0.07,26.83,
2023/05/22 15:33:51,988.30,33.94,30.58,30.25,4.52,1718.75, 5.34,4.88,121,27904,3672,4248.58,0.03,0.07,26.83,
2023/05/22 15:33:57,988.15,33.81,30.65,30.50,4.51,1718.75, 5.32,4.43,121,28160,3675,4244.89,0.03,0.07,26.83,
2023/05/22 15:34:03,988.03,33.68,30.72,30.50,4.52,1718.75, 5.30,4.20,121,28160,3672,4254.11,0.03,0.07,26.83,
2023/05/22 15:34:09,987.90,33.57,30.78,30.50,4.51,1718.75, 5.32,4.67,121,28416,3679,4259.64,0.03,0.07,26.83,
2023/05/22 15:34:15,987.84,33.44,30.84,30.50,4.51,1718.75, 5.12,4.66,121,28160,3670,4252.26,0.03,0.07,26.83,
2023/05/22 15:34:21,987.73,33.33,30.90,30.75,4.52,1718.75, 5.12,4.64,121,27904,3674,4254.11,0.03,0.07,26.83,
2023/05/22 15:34:27,987.68,33.22,30.96,30.75,4.52,1718.75, 5.32,4.43,121,28160,3674,4252.26,0.03,0.07,26.83,
2023/05/22 15:34:33,987.60,33.10,31.02,30.75,4.51,1718.75, 5.32,4.43,121,28160,3668,4252.26,0.03,0.07,26.83,
2023/05/22 15:34:39,987.55,33.00,31.08,30.75,4.51,1703.13, 5.54,4.67,121,28160,3667,4257.79,0.03,0.07,26.83,
2023/05/22 15:34:45,987.49,32.89,31.14,31.00,4.52,1703.13, 5.08,4.43,121,27904,3673,4248.58,0.03,0.07,26.82,
2023/05/22 15:34:51,987.41,32.78,31.20,31.00,4.52,1703.13, 5.10,4.65,121,28160,3676,4252.26,0.03,0.07,26.81,
