filename,time,b,g,r
RCNX0001,2023-08-01 06:15:00,157.90721137061863,120.9926533479961,97.1317928711074
RCNX0002,2023-08-01 06:18:00,152.42648634967185,115.89484054252199,91.42098912512219
RCNX0003,2023-08-01 06:21:00,176.17730632942326,119.83213282013685,81.01125017455662
RCNX0004,2023-08-01 06:24:00,166.57462644882,119.19465856723922,85.83561478843737
RCNX0005,2023-08-01 06:27:00,162.04474540916073,117.45314289205419,84.7333023495322
RCNX0006,2023-08-01 06:30:00,166.63512908462505,115.36293071847507,77.88154805543918
RCNX0007,2023-08-01 06:33:00,185.66688486244936,130.1087640518084,88.04370461527719
RCNX0008,2023-08-01 06:36:00,180.23959729786344,127.46046117860634,86.93154063678257
RCNX0009,2023-08-01 06:39:00,163.87925743611228,118.4118057010194,83.44856296257505
RCNX0010,2023-08-01 06:42:00,173.7442156298003,126.41666448470885,88.43978625541125
RCNX0011,2023-08-01 06:45:00,162.06856671554252,119.85932306940371,85.62470238095239
RCNX0012,2023-08-01 06:48:00,154.67489919354838,120.40701848554671,91.12569909928781
RCNX0013,2023-08-01 06:51:00,163.13120417888564,127.43745068775311,96.86009897360704
RCNX0014,2023-08-01 06:54:00,151.56338762044408,115.87557647325792,85.62931285784109
RCNX0015,2023-08-01 06:57:00,150.86740635037006,118.57251824116743,90.47199675324676
RCNX0016,2023-08-01 07:00:00,150.67752714355538,116.12926267281107,86.76088666038262
RCNX0017,2023-08-01 07:03:00,151.73529447702836,121.0305696655495,94.01453140273705
RCNX0018,2023-08-01 07:06:00,155.7811932690965,124.11348362658846,96.36836684820555
RCNX0019,2023-08-01 07:09:00,161.1376741202346,123.30404229507052,92.09963124912721
RCNX0020,2023-08-01 07:12:00,168.005916596844,130.03122381650607,98.73383562002513
RCNX0021,2023-08-01 07:15:00,149.50221337801983,112.12792906018713,82.10164257785226
RCNX0022,2023-08-01 07:18:00,157.13661805264627,117.18474811478843,85.51318818949868
RCNX0023,2023-08-01 07:21:00,157.66719295489457,116.48091397849463,84.23191986105293
RCNX0024,2023-08-01 07:24:00,166.0914842549923,121.47926310920262,86.91586676092724
RCNX0025,2023-08-01 07:27:00,164.36595098449936,121.06796318600755,87.55100020946796
RCNX0026,2023-08-01 07:30:00,166.04775171065495,121.3575360459433,87.04888763789974
RCNX0027,2023-08-01 07:33:00,169.19081352115626,124.14789528347995,89.36286569613182
RCNX0028,2023-08-01 07:36:00,162.36675350858818,117.88287381301494,84.10815877670716
RCNX0029,2023-08-01 07:39:00,152.5982265046781,117.25635080645161,89.31777335567658
RCNX0030,2023-08-01 07:42:00,157.8349645650049,122.33042565633292,94.00775075059349
RCNX0031,2023-08-01 07:45:00,161.46123053693617,121.10726504678118,89.8243929793325
RCNX0032,2023-08-01 07:48:00,156.96888353581903,114.91122922776148,83.02631746613602
RCNX0033,2023-08-01 07:51:00,155.5290021470465,112.61068330191314,80.44913725387515
RCNX0034,2023-08-01 07:54:00,166.0535605187823,120.61463002723083,86.36840743262114
RCNX0035,2023-08-01 07:57:00,170.0245810640972,124.34745365521576,89.7839407903924
RCNX0036,2023-08-01 08:00:00,162.61958568984778,118.05491900572545,84.73547427035331
RCNX0037,2023-08-01 08:03:00,165.55735145231114,121.11961754643207,87.73274289554531
RCNX0038,2023-08-01 08:06:00,167.10624301773495,121.97577372224549,87.99041116813294
RCNX0039,2023-08-01 08:09:00,164.65225788995951,122.6814040462226,90.80645903155984
RCNX0040,2023-08-01 08:12:00,153.12466005097053,113.39833429339478,83.30623341712051
RCNX0041,2023-08-01 08:15:00,162.56970395196203,119.63743497765675,87.29291474654377
RCNX0042,2023-08-01 08:18:00,151.0567522866918,114.7690655111018,87.02409317832705
RCNX0043,2023-08-01 08:21:00,160.44497102360006,125.24688241865661,97.76454754922497
RCNX0044,2023-08-01 08:24:00,143.97938791719034,111.11341336754643,85.58878648233487
RCNX0045,2023-08-01 08:27:00,152.24075024437929,119.99385037006004,94.154339041335
RCNX0046,2023-08-01 08:30:00,157.24538646837033,125.07294939603408,99.018646575199
RCNX0047,2023-08-01 08:33:00,148.8456483033096,120.05696131825164,96.18725343876554
RCNX0048,2023-08-01 08:36:00,148.60578742494064,119.35154788088256,95.24720447563189
RCNX0049,2023-08-01 08:39:00,160.67362842130987,121.46838561304287,91.43285155704511
RCNX0050,2023-08-01 08:42:00,154.22765849741657,118.84513554322022,91.3006650607457
RCNX0051,2023-08-01 08:45:00,135.92039388702696,110.99586780826701,90.15200521924312
RCNX0052,2023-08-01 08:48:00,157.53728354978355,119.08218605990784,90.16130865102639
RCNX0053,2023-08-01 08:51:00,158.13203332285994,119.44777178466694,90.37566462435414
RCNX0054,2023-08-01 08:54:00,155.57010368663595,119.92121692151935,92.38975265326071
RCNX0055,2023-08-01 08:57:00,155.8965328690127,121.24629023530233,94.44513161569613
RCNX0056,2023-08-01 09:00:00,153.48599270353301,115.93831692501047,87.58691174416981
RCNX0057,2023-08-01 09:03:00,153.0117542068147,113.6189808511381,83.94188049853372
RCNX0058,2023-08-01 09:06:00,152.7250720046083,112.99073584345761,83.06221503630778
RCNX0059,2023-08-01 09:09:00,153.08012454615277,112.97614858260019,82.81895030372853
RCNX0060,2023-08-01 09:12:00,154.58895754782853,114.16539371247032,83.7325727028348
RCNX0061,2023-08-01 09:15:00,156.04472489875715,115.36773669878508,84.68336824465857
RCNX0062,2023-08-01 09:18:00,157.93039510892334,117.00617799539171,86.02133562002514
RCNX0063,2023-08-01 09:21:00,160.80470168272586,119.65983364753527,88.41217226993437
RCNX0064,2023-08-01 09:24:00,145.52193391286133,114.10459825792488,89.0483971337802
RCNX0065,2023-08-01 09:27:00,141.29591624773076,108.50878587138668,82.81913838849323
RCNX0066,2023-08-01 09:30:00,161.32851426127635,125.32887952101662,96.94981627915095
RCNX0067,2023-08-01 09:33:00,139.4062181434157,105.67822537006005,79.49855772587627
RCNX0068,2023-08-01 09:36:00,135.71810850439883,108.6174146418098,86.20500148373132
RCNX0069,2023-08-01 09:39:00,151.32527449029465,126.44819464809385,104.44919180282083
RCNX0070,2023-08-01 09:42:00,151.19430901759532,125.2305635560676,102.6203061723223
RCNX0071,2023-08-01 09:45:00,143.4851548317274,115.04371290671693,91.46040313852814
RCNX0072,2023-08-01 09:48:00,144.87885028278174,125.39999781804217,106.21229096844016
RCNX0073,2023-08-01 09:51:00,138.77128979891077,120.56841397849462,102.5932337487781
RCNX0074,2023-08-01 09:54:00,141.3881310222036,121.57905102290182,102.47416212819438
RCNX0075,2023-08-01 09:57:00,143.17051738583996,124.52519244868036,106.09440458734814
RCNX0076,2023-08-01 10:00:00,148.48919450844855,130.31861166387375,111.81605004538473
RCNX0077,2023-08-01 10:03:00,123.79325949588046,111.03527527579946,96.691642228739
RCNX0078,2023-08-01 10:06:00,117.59024708490435,104.69156324186567,90.86060824256388
RCNX0079,2023-08-01 10:09:00,124.3582517281106,111.82756990992878,97.66874912721687
RCNX0080,2023-08-01 10:12:00,147.96951150328167,131.0715001396453,113.46688049853373
RCNX0081,2023-08-01 10:15:00,115.64862231182796,102.69293263859797,89.03091310571149
RCNX0082,2023-08-01 10:18:00,146.77168255131966,128.82006004747942,110.46149848135735
RCNX0083,2023-08-01 10:21:00,141.2754922496858,121.40901890448261,102.73787442396313
RCNX0084,2023-08-01 10:24:00,140.08352665479683,119.6821624947633,100.93476077014384
RCNX0085,2023-08-01 10:27:00,134.0056342515012,111.3476701054322,91.7087640518084
RCNX0086,2023-08-01 10:30:00,135.82140369710933,112.10358888423404,91.59297845971233
RCNX0087,2023-08-01 10:33:00,151.02499694525903,119.23111908253037,93.08156987501745
RCNX0088,2023-08-01 10:36:00,148.5015710096355,114.47811365381929,87.21707949308755
