Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/28 13:14:54,987.52,50.98,32.42,32.25,3.26,4687.50, 4.96,-0.86,250,69632,6006,5804.24,0.10,0.14,21.23,
2023/06/28 13:14:58,987.63,50.86,32.48,32.25,3.25,4390.63, 5.20,-1.08,242,66048,5677,5571.99,0.09,0.13,19.83,
2023/06/28 13:15:04,987.75,50.75,32.54,32.25,3.26,4156.25, 5.41,-1.08,237,64512,5623,5527.76,0.09,0.12,19.81,
2023/06/28 13:15:10,987.85,50.62,32.63,32.50,3.26,4203.13, 5.20,-1.08,246,67328,5789,5658.62,0.09,0.13,19.84,
2023/06/28 13:15:16,987.90,50.46,32.71,32.50,3.26,4281.25, 5.22,-1.08,243,66304,5764,5645.72,0.09,0.13,21.22,
2023/06/28 13:15:22,988.00,50.30,32.80,32.75,3.26,4343.75, 5.39,-1.30,246,67072,5791,5667.84,0.09,0.13,21.07,
2023/06/28 13:15:28,988.15,50.14,32.89,32.75,3.26,4328.13, 5.43,-1.09,250,68608,5853,5750.78,0.09,0.13,21.09,
2023/06/28 13:15:34,988.22,50.00,32.97,32.75,3.26,4171.88, 5.22,-1.08,237,64256,5524,5457.72,0.08,0.12,21.11,
2023/06/28 13:15:40,988.26,49.91,33.03,33.00,3.26,3718.75, 5.22,-1.31,224,59648,5186,5199.67,0.07,0.11,21.12,
2023/06/28 13:15:46,988.28,49.82,33.07,32.75,3.26,3343.75, 5.43,-0.87,217,57088,4950,5019.03,0.06,0.10,21.11,
2023/06/28 13:15:52,988.21,49.76,33.11,32.75,3.26,3265.63, 5.41,-1.30,217,57344,4979,5044.84,0.06,0.10,21.13,
2023/06/28 13:15:58,988.19,49.70,33.16,33.00,3.26,3234.38, 5.39,-1.09,218,57344,4947,5013.50,0.06,0.10,21.13,
2023/06/28 13:16:04,988.24,49.62,33.21,33.00,3.26,3250.00, 5.43,-1.30,218,57600,5016,5083.55,0.07,0.10,20.73,
2023/06/28 13:16:10,988.22,49.54,33.26,33.00,3.26,3328.13, 5.43,-1.09,222,58624,5081,5135.16,0.07,0.10,20.74,
2023/06/28 13:16:16,988.21,49.45,33.31,33.00,3.26,3359.38, 5.45,-1.29,220,58112,5088,5151.74,0.07,0.10,20.74,
2023/06/28 13:16:22,988.25,49.35,33.37,33.00,3.26,3515.63, 5.43,-0.65,230,60928,5282,5330.53,0.07,0.11,20.74,
2023/06/28 13:16:28,988.24,49.22,33.43,33.25,3.26,3640.63, 5.22,-0.86,232,61952,5305,5341.59,0.07,0.11,20.77,
2023/06/28 13:16:34,988.27,49.11,33.49,33.25,3.26,3515.63, 5.20,-0.65,228,60160,5215,5286.30,0.07,0.11,20.76,
2023/06/28 13:16:40,988.33,49.00,33.56,33.25,3.26,3625.00, 5.18,-1.09,235,62464,5382,5426.38,0.07,0.11,20.77,
2023/06/28 13:16:46,988.36,48.87,33.62,33.25,3.26,3687.50, 5.20,-1.30,234,62720,5359,5430.07,0.07,0.11,20.79,
2023/06/28 13:16:52,988.44,48.75,33.69,33.50,3.26,3734.38, 5.22,-1.08,238,63744,5470,5520.38,0.08,0.12,20.70,
2023/06/28 13:16:58,988.44,48.62,33.77,33.50,3.26,3984.38, 5.45,-1.08,249,67328,5720,5748.94,0.09,0.13,20.63,
2023/06/28 13:17:04,988.53,48.46,33.86,33.75,3.26,4312.50, 5.41,-0.86,261,71424,5970,5975.65,0.09,0.14,20.40,
2023/06/28 13:17:10,988.77,48.24,33.99,33.75,3.26,4890.63, 5.41,-1.30,276,76800,6348,6347.98,0.11,0.15,20.50,
2023/06/28 13:17:16,988.93,48.03,34.13,34.00,3.26,5312.50, 5.20,-1.52,288,80896,6578,6515.71,0.12,0.16,20.39,
2023/06/28 13:17:22,989.11,47.76,34.27,34.00,3.26,5484.38, 5.02,-1.08,290,81152,6622,6580.22,0.12,0.16,20.35,
2023/06/28 13:17:28,989.35,47.52,34.40,34.25,3.26,5531.25, 4.98,-1.08,290,81408,6626,6563.64,0.12,0.16,20.32,
2023/06/28 13:17:34,989.51,47.30,34.53,34.50,3.26,5453.13, 5.20,-1.30,285,79872,6561,6504.65,0.12,0.16,20.28,
2023/06/28 13:17:40,989.62,47.11,34.63,34.50,3.25,5234.38, 5.18,-1.08,281,78336,6400,6351.67,0.11,0.15,20.43,
2023/06/28 13:17:46,989.75,46.93,34.73,34.50,3.26,4890.63, 5.39,-0.86,269,73984,6144,6132.33,0.10,0.14,21.71,
2023/06/28 13:17:52,989.82,46.80,34.80,34.50,3.25,4593.75, 5.39,-0.22,262,71424,5991,5988.56,0.09,0.14,21.72,
2023/06/28 13:17:58,989.81,46.67,34.88,34.75,3.25,4453.13, 5.21,-1.30,261,70912,5936,5977.50,0.09,0.14,21.73,
2023/06/28 13:18:04,989.87,46.53,34.97,34.75,3.25,4578.13, 5.20,-1.08,268,73472,6086,6110.21,0.10,0.14,21.56,
2023/06/28 13:18:10,989.93,46.38,35.05,35.00,3.25,4671.88, 5.43,-1.09,268,73472,6118,6117.58,0.10,0.14,21.58,
2023/06/28 13:18:16,990.03,46.24,35.14,35.00,3.26,4671.88, 5.22,-0.87,267,72960,6100,6102.83,0.10,0.14,21.60,
2023/06/28 13:18:22,990.08,46.09,35.23,35.00,3.26,4718.75, 5.22,-0.65,269,73984,6138,6134.17,0.10,0.14,21.62,
2023/06/28 13:18:28,990.22,45.95,35.31,35.25,3.26,4640.63, 5.22,-0.86,265,72704,6048,6064.13,0.10,0.14,21.63,
2023/06/28 13:18:34,990.20,45.83,35.40,35.25,3.26,4515.63, 5.20,-1.09,261,71168,5943,5942.48,0.09,0.14,21.65,
2023/06/28 13:18:40,990.23,45.71,35.47,35.25,3.26,4328.13, 5.43,-1.30,255,68864,5809,5831.88,0.09,0.13,21.65,
2023/06/28 13:18:46,990.24,45.61,35.53,35.25,3.26,4187.50, 5.43,-0.86,252,68096,5763,5798.71,0.09,0.13,21.67,
2023/06/28 13:18:52,990.30,45.51,35.60,35.50,3.25,4171.88, 5.20,-1.09,255,68608,5750,5783.96,0.09,0.13,21.67,
2023/06/28 13:18:58,990.26,45.41,35.66,35.50,3.25,4187.50, 5.43,-1.29,254,68352,5790,5828.20,0.09,0.13,21.26,
2023/06/28 13:19:04,990.30,45.28,35.74,35.50,3.25,4390.63, 5.45,-0.86,262,71680,5998,5973.81,0.09,0.14,21.27,
2023/06/28 13:19:10,990.37,45.15,35.82,35.75,3.25,4562.50, 5.43,-0.87,267,72704,6039,6054.91,0.10,0.14,21.29,
2023/06/28 13:19:16,990.54,45.04,35.90,35.75,3.25,4515.63, 5.22,-0.65,262,71168,5944,5940.63,0.09,0.14,21.28,
2023/06/28 13:19:22,990.49,44.91,35.96,35.75,3.25,4359.38, 5.41,-1.31,257,69632,5854,5876.12,0.09,0.13,21.28,
2023/06/28 13:19:28,990.40,44.82,36.02,35.75,3.25,4234.38, 5.41,-0.87,253,68352,5754,5791.33,0.09,0.13,21.31,
2023/06/28 13:19:34,990.42,44.75,36.07,36.00,3.25,4046.88, 5.43,-1.30,248,66048,5605,5627.29,0.08,0.12,21.29,
2023/06/28 13:19:40,990.44,44.70,36.11,35.75,3.25,3750.00, 5.20,-1.30,237,62976,5356,5437.44,0.07,0.11,21.15,
2023/06/28 13:19:46,990.32,44.64,36.14,36.00,3.25,3531.25, 5.41,-0.65,234,61440,5242,5345.28,0.07,0.11,20.92,
2023/06/28 13:19:52,990.26,44.61,36.16,36.00,3.25,3437.50, 5.63,-1.52,234,61440,5173,5306.57,0.07,0.11,21.21,
2023/06/28 13:19:58,990.18,44.57,36.19,36.00,3.25,3406.25, 5.24,-0.86,233,60672,5188,5323.16,0.07,0.11,20.16,
2023/06/28 13:20:04,990.17,44.53,36.22,36.00,3.25,3406.25, 5.22,-1.08,233,61184,5213,5356.34,0.07,0.11,22.02,
2023/06/28 13:20:10,990.08,44.49,36.25,36.00,3.25,3406.25, 5.41,-1.08,234,61184,5218,5371.08,0.07,0.11,22.03,
2023/06/28 13:20:16,990.04,44.45,36.29,36.00,3.25,3500.00, 5.41,-1.09,239,62976,5332,5483.52,0.07,0.11,22.04,
2023/06/28 13:20:22,990.04,44.39,36.33,36.00,3.25,3640.63, 5.20,-0.86,244,64512,5471,5597.80,0.07,0.12,22.06,
2023/06/28 13:20:28,990.06,44.32,36.39,36.25,3.25,3906.25, 5.22,-0.86,254,68096,5725,5818.98,0.08,0.13,22.07,
2023/06/28 13:20:34,990.10,44.19,36.46,36.25,3.25,4343.75, 5.21,-1.08,271,73728,6076,6147.07,0.09,0.14,22.09,
2023/06/28 13:20:40,990.19,44.06,36.55,36.25,3.26,4687.50, 5.20,-1.09,278,76032,6230,6285.31,0.10,0.15,22.11,
2023/06/28 13:20:46,990.28,43.92,36.63,36.50,3.25,4765.63, 5.20,-1.08,279,76544,6240,6311.12,0.10,0.15,22.14,
2023/06/28 13:20:52,990.42,43.77,36.74,36.75,3.25,5140.63, 5.39,-1.30,292,81408,6560,6571.01,0.11,0.16,22.16,
2023/06/28 13:20:58,990.58,43.61,36.84,36.75,3.25,5390.63, 5.20,-0.87,296,82432,6624,6633.68,0.12,0.16,22.19,
2023/06/28 13:21:04,990.64,43.43,36.96,36.75,3.25,5593.75, 5.22,-0.86,305,85504,6816,6784.82,0.12,0.17,22.22,
2023/06/28 13:21:10,990.72,43.25,37.06,37.00,3.26,5781.25, 5.41,-1.30,304,85248,6820,6799.56,0.12,0.17,22.27,
2023/06/28 13:21:16,990.86,43.17,37.12,37.00,3.25,5156.25, 5.22,-1.51,272,74240,6152,6215.27,0.10,0.14,22.29,
2023/06/28 13:21:22,990.74,43.13,37.14,37.00,3.25,4265.63, 5.41,-0.87,251,66816,5623,5741.57,0.08,0.12,22.29,
2023/06/28 13:21:28,990.69,43.15,37.14,37.00,3.25,3875.00, 5.20,-1.09,246,65024,5492,5616.23,0.08,0.12,22.29,
2023/06/28 13:21:34,990.57,43.11,37.19,37.00,3.25,3984.38, 5.43,-0.86,255,68352,5729,5811.61,0.08,0.13,22.32,
2023/06/28 13:21:40,990.54,43.07,37.21,37.00,3.26,4156.25, 5.41,-1.09,258,69632,5788,5883.49,0.09,0.13,22.13,
2023/06/28 13:21:46,990.51,42.98,37.28,37.00,3.25,4328.13, 5.22,-0.86,266,72192,5993,6058.60,0.09,0.14,22.13,
2023/06/28 13:21:52,990.55,42.88,37.34,37.25,3.26,4828.13, 5.20,-1.08,284,78336,6391,6410.65,0.11,0.15,22.16,
2023/06/28 13:21:58,990.55,42.75,37.43,37.25,3.25,4812.50, 5.43,-1.51,269,73472,6115,6119.42,0.10,0.14,22.17,
2023/06/28 13:22:04,990.63,42.66,37.49,37.25,3.25,4906.25, 5.39,-0.86,280,77568,6377,6362.73,0.11,0.15,22.14,
2023/06/28 13:22:10,990.66,42.56,37.57,37.50,3.24,5015.63, 5.39,-1.30,276,75776,6257,6246.60,0.10,0.15,22.02,
2023/06/28 13:22:16,990.69,42.55,37.57,37.25,3.26,4343.75, 5.39,-0.87,248,66816,5615,5666.00,0.08,0.12,22.23,
2023/06/28 13:22:22,990.60,42.58,37.58,37.25,3.25,3593.75, 5.41,-1.08,230,60672,5161,5302.89,0.07,0.11,21.79,
2023/06/28 13:22:28,990.55,42.58,37.58,37.25,3.25,3984.38, 5.39,-1.30,258,69888,5837,5876.12,0.09,0.13,21.78,
2023/06/28 13:22:34,990.54,42.49,37.66,37.50,3.26,4531.25, 5.22,-1.29,266,72960,6075,6065.97,0.10,0.14,22.25,
2023/06/28 13:22:40,990.61,42.44,37.70,37.50,3.25,4625.00, 5.45,-1.09,267,72960,6067,6043.85,0.10,0.14,21.82,
2023/06/28 13:22:46,990.56,42.34,37.78,37.50,3.25,4765.63, 5.41,-1.08,271,74752,6188,6134.17,0.10,0.15,22.30,
2023/06/28 13:22:52,990.59,42.30,37.80,37.50,3.26,4765.63, 5.43,-0.86,266,72960,6087,6058.60,0.10,0.14,22.31,
2023/06/28 13:22:58,990.58,42.27,37.83,37.75,3.26,4343.75, 5.43,-0.86,251,67584,5698,5712.08,0.08,0.13,22.29,
2023/06/28 13:23:04,990.46,42.27,37.83,37.75,3.25,4125.00, 5.24,-1.30,248,66816,5690,5712.08,0.08,0.13,22.29,
2023/06/28 13:23:10,990.42,42.23,37.88,37.50,3.25,4203.13, 5.43,-0.86,253,68352,5773,5802.39,0.09,0.13,22.26,
2023/06/28 13:23:16,990.37,42.22,37.89,37.75,3.24,4218.75, 5.43,-1.09,251,67840,5747,5732.35,0.09,0.13,22.13,
2023/06/28 13:23:22,990.26,42.19,37.91,37.75,3.25,4093.75, 5.43,-1.52,246,66048,5647,5610.70,0.08,0.12,22.30,
2023/06/28 13:23:28,990.21,42.21,37.90,37.75,3.25,3921.88, 5.20,-1.09,238,63744,5483,5442.97,0.08,0.12,21.82,
2023/06/28 13:23:34,989.99,42.17,37.94,37.75,3.25,3718.75, 5.22,-1.09,232,61696,5297,5286.30,0.07,0.11,21.67,
2023/06/28 13:23:40,989.92,42.17,37.96,37.50,3.25,3578.13, 4.98,-0.87,225,59648,5168,5186.76,0.07,0.11,21.79,
2023/06/28 13:23:46,989.72,42.16,37.96,37.75,3.25,3390.63, 5.20,-0.87,221,58112,5047,5068.80,0.07,0.10,21.80,
2023/06/28 13:23:52,989.60,42.18,37.95,37.75,3.25,3250.00, 5.41,-1.08,217,56832,4892,4932.40,0.06,0.10,21.72,
2023/06/28 13:23:58,989.48,42.20,37.95,37.75,3.25,3109.38, 5.22,-0.86,213,55552,4801,4864.20,0.06,0.10,21.80,
