Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/21 07:46:54,987.93,23.84,19.91,19.50,8.02,46.88,5.73,0.27,-70,-25600,0,0.00,0.25,0.25,16.52,
2024/10/21 07:46:56,987.94,23.78,19.93,19.50,8.04,62.50,5.46,0.09,-70,-25600,0,0.00,0.25,0.25,16.52,
2024/10/21 07:47:12,987.94,24.02,19.75,19.50,8.07,46.88,5.67,0.54,0,0,0,0.00,0.25,0.25,16.45,
2024/10/21 07:47:28,987.92,24.19,19.57,19.50,8.08,46.88,5.64,0.09,0,0,0,0.00,0.25,0.25,16.43,
2024/10/21 07:47:44,988.02,24.40,19.43,19.25,8.08,46.88,5.54,-0.35,0,0,0,0.00,0.25,0.25,16.41,
2024/10/21 07:48:00,987.88,24.58,19.31,19.25,8.08,46.88,5.74,-0.36,0,0,0,0.00,0.25,0.25,16.39,
2024/10/21 07:48:15,987.97,24.73,19.21,19.00,8.08,46.88,5.82,0.36,0,0,0,0.00,0.25,0.25,16.37,
2024/10/21 07:48:31,987.94,24.87,19.12,19.00,8.08,46.88,5.88,0.54,0,0,0,0.00,0.25,0.25,16.36,
2024/10/21 07:48:47,987.90,25.00,19.04,19.00,8.08,46.88,5.88,0.45,0,0,0,0.00,0.25,0.25,16.34,
2024/10/21 07:49:04,987.90,25.10,18.96,18.75,8.08,46.88,5.71,0.27,0,0,0,0.00,0.25,0.25,16.33,
2024/10/21 07:49:20,987.88,25.24,18.89,18.75,8.09,46.88,6.14,0.09,0,0,0,0.00,0.25,0.25,16.32,
2024/10/21 07:49:36,987.91,25.32,18.83,18.75,8.09,46.88,5.73,0.27,0,0,0,0.00,0.25,0.25,16.30,
2024/10/21 07:49:52,987.84,25.41,18.77,18.75,8.09,46.88,5.80,0.27,0,0,0,0.00,0.25,0.25,16.28,
2024/10/21 07:50:08,987.87,25.51,18.72,18.50,8.09,46.88,5.99,0.00,0,0,0,0.00,0.25,0.25,16.27,
2024/10/21 07:50:24,987.87,25.56,18.66,18.50,8.09,46.88,5.70,-0.18,0,0,0,0.00,0.25,0.25,16.26,
2024/10/21 07:50:40,987.88,25.66,18.62,18.50,8.09,46.88,5.50,0.53,0,0,0,0.00,0.25,0.25,16.25,
2024/10/21 07:50:56,987.85,25.74,18.57,18.50,8.09,46.88,5.62,0.45,0,0,0,0.00,0.25,0.25,16.25,
2024/10/21 07:51:12,987.84,25.78,18.52,18.50,8.09,46.88,5.05,0.35,0,0,0,0.00,0.25,0.25,16.24,
2024/10/21 07:51:28,987.84,25.86,18.48,18.50,8.12,46.88,6.04,0.18,0,0,0,0.00,0.25,0.25,16.23,
2024/10/21 07:51:44,987.82,25.91,18.44,18.25,8.09,46.88,6.45,0.27,0,0,0,0.00,0.25,0.25,16.22,
2024/10/21 07:52:00,987.86,25.96,18.41,18.25,8.09,46.88,5.95,0.54,0,0,0,0.00,0.25,0.25,16.21,
2024/10/21 07:52:16,987.88,26.06,18.37,18.25,8.09,46.88,5.58,0.53,0,0,0,0.00,0.25,0.25,16.20,
2024/10/21 07:52:32,987.90,26.06,18.34,18.25,8.10,46.88,6.12,0.18,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:52:48,988.00,26.10,18.31,18.25,8.09,46.88,6.05,0.09,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:53:04,988.02,26.17,18.28,18.25,8.09,46.88,5.82,0.45,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:53:20,988.02,26.26,18.25,18.00,8.09,46.88,5.39,0.09,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:53:36,988.15,26.26,18.23,18.00,8.09,62.50,5.61,0.09,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:53:52,988.27,26.33,18.21,18.00,8.10,62.50,5.85,0.00,0,0,0,0.00,0.25,0.25,16.19,
2024/10/21 07:54:08,988.20,26.36,18.19,18.25,8.09,62.50,5.80,0.27,0,0,0,0.00,0.25,0.25,16.20,
2024/10/21 07:54:24,988.23,26.40,18.18,18.00,8.10,62.50,5.63,0.18,0,0,0,0.00,0.25,0.25,16.20,
2024/10/21 07:54:40,988.20,26.38,18.16,18.00,8.10,62.50,5.83,0.09,0,0,0,0.00,0.25,0.25,16.21,
2024/10/21 07:54:55,988.20,26.46,18.14,18.00,8.10,62.50,5.27,0.00,0,0,0,0.00,0.25,0.25,16.21,
