Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/22 08:58:54,983.45,24.24,15.56,15.00,7.87,62.50,5.45,0.27,0,0,0,0.00,0.25,0.25,11.93,
2024/10/22 08:58:56,983.48,24.23,15.57,15.00,7.87,62.50,5.78,0.00,0,0,0,0.00,0.25,0.25,11.93,
2024/10/22 08:59:12,983.50,24.41,15.37,15.00,7.89,62.50,5.28,0.18,0,0,0,0.00,0.25,0.25,11.91,
2024/10/22 08:59:28,983.49,24.63,15.19,15.00,7.90,62.50,5.79,0.09,0,0,0,0.00,0.25,0.25,11.89,
2024/10/22 08:59:44,983.53,24.82,15.04,14.75,7.90,46.88,5.25,0.09,0,0,0,0.00,0.25,0.25,11.88,
2024/10/22 09:00:00,983.46,24.97,14.92,14.75,7.90,62.50,5.80,0.35,0,0,0,0.00,0.25,0.25,11.86,
2024/10/22 09:00:16,983.46,25.14,14.81,14.50,7.90,62.50,5.88,0.63,0,0,0,0.00,0.25,0.25,11.85,
2024/10/22 09:00:32,983.45,25.29,14.70,14.50,7.91,62.50,5.70,0.18,0,0,0,0.00,0.25,0.25,11.83,
2024/10/22 09:00:48,983.40,25.44,14.62,14.50,7.91,62.50,5.30,-0.36,0,0,0,0.00,0.25,0.25,11.82,
2024/10/22 09:01:04,983.41,25.59,14.54,14.25,7.91,46.88,5.44,0.00,0,0,0,0.00,0.25,0.25,11.80,
2024/10/22 09:01:20,983.41,25.69,14.47,14.25,7.91,62.50,5.34,0.00,0,0,0,0.00,0.25,0.25,11.79,
2024/10/22 09:01:36,983.35,25.76,14.39,14.25,7.91,46.88,5.50,0.45,0,0,0,0.00,0.25,0.25,11.77,
2024/10/22 09:01:52,983.27,25.85,14.32,14.00,7.91,46.88,5.36,-0.09,0,0,0,0.00,0.25,0.25,11.76,
2024/10/22 09:02:08,983.29,25.93,14.25,14.00,7.91,46.88,5.60,0.26,0,0,0,0.00,0.25,0.25,11.75,
2024/10/22 09:02:23,983.19,26.02,14.18,14.00,7.91,62.50,4.87,0.53,0,0,0,0.00,0.25,0.25,11.73,
2024/10/22 09:02:40,983.24,26.14,14.13,14.00,7.91,46.88,5.29,0.09,0,0,0,0.00,0.25,0.25,11.71,
2024/10/22 09:02:55,983.27,26.21,14.07,13.75,7.91,46.88,5.38,0.00,0,0,0,0.00,0.25,0.25,11.69,
2024/10/22 09:03:12,983.30,26.28,14.00,13.75,7.91,62.50,5.62,0.18,0,0,0,0.00,0.25,0.25,11.68,
