Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/18 15:07:44,993.75,9.52,33.50,33.75,4.38,4562.50,6.09,0.62,0,0,6700,0.00,121.88,150.75,19.16,
2024/10/18 15:07:47,993.69,9.50,33.55,33.50,4.38,4578.13,5.43,-0.27,0,0,6700,0.00,121.88,150.75,19.16,
2024/10/18 15:08:03,993.69,9.60,33.40,33.75,4.38,4593.75,6.18,0.35,0,0,6766,0.00,123.13,152.25,19.20,
2024/10/18 15:08:19,993.59,9.71,33.29,33.50,4.38,4593.75,5.91,0.09,0,0,6795,0.00,123.13,152.25,19.21,
2024/10/18 15:08:35,993.48,9.77,33.20,33.50,4.39,4609.38,5.38,0.72,0,0,6738,0.00,123.50,152.75,19.22,
2024/10/18 15:08:51,993.39,9.84,33.12,33.50,4.38,4609.38,5.13,0.45,0,0,6755,0.00,123.88,153.13,19.24,
2024/10/18 15:09:07,993.33,9.91,33.07,33.25,4.39,4609.38,5.16,0.00,0,0,6752,0.00,124.13,153.25,19.26,
2024/10/18 15:09:23,993.10,9.95,33.04,33.25,4.39,4625.00,4.93,0.35,0,0,6760,0.00,124.38,153.63,19.28,
2024/10/18 15:09:39,993.03,9.97,32.99,33.25,4.39,4656.25,5.96,0.72,0,0,6758,0.00,124.75,154.25,19.30,
2024/10/18 15:09:55,992.94,10.01,32.96,33.25,4.39,4640.63,5.76,0.45,0,0,6778,0.00,125.25,154.75,19.31,
2024/10/18 15:10:11,992.81,10.05,32.92,33.25,4.39,4640.63,6.00,-0.18,0,0,6789,0.00,125.75,155.25,19.33,
2024/10/18 15:10:27,992.97,10.08,32.89,33.25,4.39,4656.25,4.91,0.45,0,0,6807,0.00,126.13,155.63,19.35,
2024/10/18 15:10:43,992.88,10.13,32.86,33.25,4.39,4671.88,5.10,0.18,0,0,6805,0.00,126.25,155.88,19.38,
2024/10/18 15:10:59,992.92,10.15,32.85,33.25,4.39,4671.88,5.91,0.45,0,0,6814,0.00,126.50,156.13,19.39,
2024/10/18 15:11:15,992.92,10.18,32.83,33.00,4.39,4703.13,5.89,0.00,0,0,6837,0.00,127.00,156.75,19.41,
