Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/02 20:27:03,983.56,18.92,53.49,53.75,2.96,3640.63, 3.52,-3.73,338,84224,5897,6296.37,0.06,0.13,28.87,
2023/07/02 20:27:06,983.47,18.91,53.52,53.50,2.96,3656.25, 3.95,-3.75,338,84224,5897,6296.37,0.06,0.13,28.87,
2023/07/02 20:27:12,983.30,18.94,53.47,53.75,2.98,3687.50, 4.16,-3.50,351,87296,6012,6456.73,0.06,0.13,27.40,
2023/07/02 20:27:18,983.37,18.95,53.47,53.75,2.98,3781.25, 4.18,-3.51,358,89088,6132,6613.40,0.06,0.14,27.30,
2023/07/02 20:27:24,983.32,18.91,53.52,53.75,2.98,4203.13, 3.97,-3.30,405,102400,6743,7273.27,0.08,0.16,27.52,
2023/07/02 20:27:30,983.40,18.84,53.60,53.75,2.98,4703.13, 4.16,-3.30,428,109056,6995,7617.95,0.08,0.18,27.51,
2023/07/02 20:27:36,983.39,18.78,53.66,53.75,2.98,4921.88, 3.93,-3.50,445,113152,7192,7920.23,0.09,0.18,27.27,
2023/07/02 20:27:42,983.56,18.71,53.75,54.00,2.98,5359.38, 3.72,-3.51,478,122624,7570,8338.64,0.10,0.20,27.16,
2023/07/02 20:27:48,983.60,18.60,53.86,54.25,2.98,5578.13, 3.96,-3.49,481,123392,7685,8393.93,0.10,0.20,27.09,
2023/07/02 20:27:54,983.80,18.51,53.97,54.25,2.98,5656.25, 3.94,-3.28,486,124928,7638,8482.41,0.10,0.21,27.11,
2023/07/02 20:28:00,983.68,18.38,54.11,54.50,2.98,6000.00, 4.17,-3.50,518,134400,7921,8784.69,0.12,0.23,27.00,
2023/07/02 20:28:06,984.00,18.25,54.25,54.50,2.98,6781.25, 4.14,-3.29,576,152064,8649,9510.91,0.14,0.26,26.85,
2023/07/02 20:28:12,984.29,18.00,54.53,55.00,2.98,7750.00, 4.16,-3.49,634,168704,9078,10137.60,0.16,0.30,26.73,
2023/07/02 20:28:18,984.73,17.72,54.83,55.25,2.98,8828.13, 3.92,-3.49,703,188672,9556,10839.86,0.19,0.34,28.62,
2023/07/02 20:28:24,985.20,17.45,55.16,55.75,2.98,9687.50, 3.71,-3.70,743,201472,9826,11173.48,0.21,0.37,28.53,
2023/07/02 20:28:30,985.76,17.15,55.50,56.00,2.98,10234.38, 4.13,-3.69,769,208640,9891,11411.25,0.22,0.39,28.57,
2023/07/02 20:28:36,986.14,16.85,55.86,56.50,2.98,10625.00, 3.91,-3.26,791,215296,10100,11643.49,0.22,0.40,28.61,
2023/07/02 20:28:42,986.69,16.59,56.20,56.75,2.98,10937.50, 4.13,-3.26,809,220672,9948,11999.23,0.23,0.41,28.67,
2023/07/02 20:28:48,987.07,16.30,56.57,57.25,2.98,11125.00, 3.91,-3.47,817,223232,10068,11814.91,0.23,0.41,28.71,
2023/07/02 20:28:54,987.56,16.01,56.89,57.75,2.98,11187.50, 3.91,-3.49,819,224000,10076,11658.24,0.23,0.42,28.74,
2023/07/02 20:29:00,987.99,15.77,57.23,58.00,2.98,11218.75, 3.72,-3.25,823,224768,10096,11761.46,0.23,0.42,28.78,
2023/07/02 20:29:06,988.50,15.56,57.50,58.25,2.98,11062.50, 4.13,-3.26,799,217600,10101,11689.57,0.22,0.40,28.30,
2023/07/02 20:29:12,988.71,15.42,57.69,58.50,2.98,10062.50, 4.14,-3.68,724,195328,9519,11062.89,0.20,0.35,28.33,
2023/07/02 20:29:18,988.91,15.30,57.84,58.75,2.98,9593.75, 3.71,-3.05,723,195072,9471,11042.61,0.19,0.35,28.31,
2023/07/02 20:29:24,989.15,15.13,58.07,58.75,2.97,9921.88, 3.91,-3.46,757,205312,9930,11291.44,0.21,0.38,28.33,
2023/07/02 20:29:30,989.67,14.93,58.35,59.25,2.97,10687.50, 3.91,-3.26,812,221440,10324,11840.72,0.23,0.41,28.37,
2023/07/02 20:29:36,990.07,14.70,58.68,59.50,2.97,11156.25, 4.11,-3.48,827,225792,10101,11719.07,0.24,0.42,28.38,
2023/07/02 20:29:42,990.45,14.46,59.00,60.00,2.97,11218.75, 3.91,-3.49,823,225024,10104,11726.44,0.24,0.42,28.44,
2023/07/02 20:29:48,990.68,14.24,59.30,60.25,2.97,11250.00, 4.14,-3.26,825,225536,10111,11696.95,0.24,0.42,28.44,
2023/07/02 20:29:54,991.17,14.06,59.56,60.50,2.97,11265.63, 3.68,-3.46,829,226304,10117,11750.40,0.24,0.42,28.41,
2023/07/02 20:30:00,991.48,13.88,59.82,60.75,2.97,11265.63, 3.91,-3.47,826,225536,10075,11787.26,0.23,0.42,28.20,
2023/07/02 20:30:06,991.63,13.72,60.06,61.00,2.97,10734.38, 3.94,-3.49,770,208640,9669,11372.54,0.21,0.38,27.98,
2023/07/02 20:30:12,991.58,13.70,60.11,61.00,2.97,8921.88, 4.14,-3.27,625,166656,8890,10032.54,0.16,0.29,28.10,
2023/07/02 20:30:18,991.43,13.74,60.10,61.00,2.97,7140.63, 3.72,-3.49,543,143104,8278,9050.11,0.13,0.25,27.86,
2023/07/02 20:30:24,991.60,13.71,60.15,60.75,2.97,8125.00, 4.14,-3.48,676,182016,9270,10581.81,0.18,0.33,27.76,
2023/07/02 20:30:30,991.75,13.50,60.47,61.25,2.98,9906.25, 3.91,-3.04,783,213504,9972,11505.25,0.22,0.39,27.99,
2023/07/02 20:30:36,992.15,13.31,60.75,61.75,2.98,10796.88, 3.92,-3.26,812,222208,9963,12030.57,0.23,0.41,27.85,
2023/07/02 20:30:42,992.60,13.12,61.04,62.00,2.97,11125.00, 4.14,-3.47,822,224768,10101,11695.10,0.24,0.42,27.66,
2023/07/02 20:30:48,992.95,12.86,61.41,62.50,2.98,11187.50, 3.90,-3.26,822,224256,10106,11687.73,0.24,0.42,27.77,
2023/07/02 20:30:54,993.09,12.69,61.67,62.75,2.97,11203.13, 3.93,-3.49,823,225280,10098,11731.97,0.24,0.42,29.41,
2023/07/02 20:31:00,993.43,12.54,61.95,63.00,2.97,11218.75, 3.91,-3.49,824,225280,10070,11733.81,0.24,0.42,29.50,
2023/07/02 20:31:06,993.74,12.38,62.16,63.25,2.97,11171.88, 3.69,-3.47,819,223744,10073,11919.97,0.23,0.42,29.55,
2023/07/02 20:31:12,993.95,12.22,62.48,63.50,2.97,11203.13, 3.91,-3.25,822,225024,10079,11672.99,0.24,0.42,29.60,
2023/07/02 20:31:18,994.24,12.07,62.74,63.75,2.98,11234.38, 3.87,-3.26,823,225024,10128,11700.63,0.24,0.42,29.05,
