Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/01 18:25:01,974.29,16.00,63.74,63.75,3.07,4437.50, 4.36,-2.62,384,99328,6735,6961.77,0.00,0.16,33.03,
2023/07/01 18:25:04,974.31,16.01,63.73,63.75,3.07,4437.50, 4.61,-2.84,384,99328,6735,6961.77,0.00,0.16,33.03,
2023/07/01 18:25:10,974.38,16.10,63.60,63.50,3.07,4421.88, 4.58,-3.05,388,100096,6624,6928.59,0.00,0.16,30.94,
2023/07/01 18:25:16,974.17,16.16,63.51,63.50,3.07,4421.88, 4.60,-3.07,389,100096,6624,6937.80,0.00,0.16,30.91,
2023/07/01 18:25:22,974.22,16.25,63.38,63.50,3.07,4437.50, 4.40,-2.63,389,100096,6635,6939.65,0.00,0.16,30.87,
2023/07/01 18:25:28,974.25,16.32,63.28,63.25,3.07,4453.13, 4.81,-3.06,387,99584,6620,6959.92,0.00,0.16,30.81,
2023/07/01 18:25:34,974.24,16.36,63.20,63.25,3.07,4453.13, 4.38,-2.61,388,100096,6625,6947.02,0.00,0.16,32.57,
2023/07/01 18:25:40,974.15,16.43,63.11,63.00,3.07,4437.50, 4.38,-2.62,387,99840,6602,6963.61,0.00,0.16,32.01,
2023/07/01 18:25:46,974.10,16.50,63.02,63.00,3.07,4421.88, 4.38,-2.84,387,99840,6618,6941.49,0.00,0.16,31.98,
2023/07/01 18:25:52,974.01,16.63,62.86,63.00,3.07,4421.88, 4.62,-3.06,385,99328,6619,6928.59,0.00,0.16,31.95,
2023/07/01 18:25:58,973.98,16.66,62.79,62.75,3.07,4421.88, 4.60,-2.84,387,99840,6633,6934.12,0.00,0.16,31.93,
2023/07/01 18:26:04,974.19,16.75,62.67,62.75,3.07,4437.50, 4.60,-2.84,386,99584,6625,6932.27,0.00,0.16,31.89,
