Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/22 22:45:55,987.72,10.86,58.02,58.25,3.79,5203.13, 5.71,-0.21,357,107008,7662,7070.52,0.13,0.20,44.73,
2023/06/22 22:45:59,987.84,10.84,58.06,58.50,3.78,5187.50, 5.69,-0.42,355,106496,7644,7061.30,0.13,0.20,44.71,
2023/06/22 22:46:05,987.84,10.83,58.08,58.50,3.78,5171.88, 5.73,0.00,354,106240,7634,7035.49,0.13,0.20,44.70,
2023/06/22 22:46:11,987.83,10.78,58.15,58.50,3.78,5156.25, 5.71,-0.42,354,106496,7615,7033.65,0.13,0.20,44.71,
2023/06/22 22:46:17,987.96,10.75,58.22,58.50,3.78,5140.63, 5.71,-0.64,353,105728,7603,7007.85,0.13,0.20,44.71,
2023/06/22 22:46:23,988.01,10.73,58.26,58.75,3.78,5109.38, 5.48,-0.42,352,105728,7581,6989.41,0.13,0.20,44.72,
2023/06/22 22:46:29,987.97,10.71,58.28,58.75,3.78,5093.75, 5.69,-0.42,351,105216,7559,6952.55,0.13,0.19,44.73,
2023/06/22 22:46:35,987.84,10.70,58.31,58.75,3.78,5062.50, 5.90,-0.42,348,104960,7518,6904.63,0.13,0.19,44.73,
2023/06/22 22:46:41,987.96,10.68,58.34,58.75,3.78,5031.25, 5.71,-0.64,345,103680,7481,6847.49,0.13,0.19,44.81,
2023/06/22 22:46:47,987.93,10.66,58.37,58.75,3.78,5000.00, 5.50,-0.42,339,102144,7438,6797.72,0.13,0.19,44.81,
2023/06/22 22:46:53,987.84,10.66,58.39,58.75,3.78,4953.13, 5.92,-0.42,336,101120,7395,6731.37,0.12,0.19,44.81,
2023/06/22 22:46:59,987.80,10.64,58.41,58.75,3.78,4906.25, 5.73,-0.21,334,100352,7342,6681.60,0.12,0.18,44.82,
2023/06/22 22:47:05,987.80,10.63,58.43,58.75,3.78,4750.00, 5.69,-0.21,320,96000,7155,6462.26,0.12,0.18,44.82,
2023/06/22 22:47:11,987.70,10.65,58.39,58.75,3.78,4109.38, 5.73,-0.21,275,80384,6367,5706.55,0.09,0.14,44.81,
2023/06/22 22:47:17,987.55,10.75,58.24,58.50,3.78,3187.50, 5.73,-0.21,223,63488,5320,4773.89,0.07,0.11,44.77,
2023/06/22 22:47:23,987.21,10.86,58.06,58.25,3.78,2406.25, 5.76,-0.21,187,51456,4417,4073.47,0.05,0.08,44.72,
2023/06/22 22:47:29,986.95,10.99,57.89,58.00,3.78,1968.75, 5.52,-0.85,174,47360,4076,3826.48,0.04,0.07,44.67,
2023/06/22 22:47:35,986.74,11.06,57.76,57.75,3.78,1890.63, 5.73,-0.21,173,46848,4053,3809.89,0.04,0.07,44.63,
2023/06/22 22:47:41,986.44,11.12,57.65,57.50,3.78,1859.38, 5.52,-0.43,173,46848,4061,3802.52,0.04,0.07,44.59,
2023/06/22 22:47:47,986.07,11.19,57.56,57.50,3.78,1843.75, 5.97,-0.43,173,47104,4038,3787.78,0.04,0.07,44.55,
2023/06/22 22:47:53,985.78,11.26,57.43,57.25,3.78,1828.13, 5.76,-0.42,173,46848,4030,3780.40,0.04,0.07,44.51,
2023/06/22 22:47:59,985.70,11.32,57.33,57.25,3.78,1828.13, 5.54,-0.21,172,46848,4025,3773.03,0.04,0.07,44.47,
