Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/21 04:29:35,986.99,23.86,20.87,20.50,6.09,46.88,6.11,0.36,0,0,0,0.00,0.25,0.25,17.32,
2024/10/21 04:29:38,986.98,23.82,20.89,20.50,6.09,46.88,5.81,0.09,0,0,0,0.00,0.25,0.25,17.32,
2024/10/21 04:29:54,986.93,23.99,20.70,20.50,6.18,31.25,5.70,0.36,0,0,0,0.00,0.25,0.25,17.23,
2024/10/21 04:30:10,986.85,24.21,20.51,20.25,6.30,31.25,5.92,-0.44,0,0,0,0.00,0.25,0.25,17.19,
2024/10/21 04:30:26,986.73,24.41,20.36,20.25,6.40,31.25,6.08,-0.18,0,0,0,0.00,0.25,0.25,17.15,
2024/10/21 04:30:42,986.61,24.56,20.23,20.00,6.51,15.63,5.65,-0.18,0,0,0,0.00,0.25,0.25,17.12,
2024/10/21 04:30:58,986.60,24.76,20.12,20.00,6.60,15.63,6.46,0.36,0,0,0,0.00,0.25,0.25,17.07,
2024/10/21 04:31:14,986.58,24.89,20.01,19.75,6.72,15.63,5.87,0.18,-70,-25856,0,0.00,0.25,0.25,17.03,
2024/10/21 04:31:30,986.56,24.97,19.91,19.75,6.88,15.63,5.69,0.09,0,0,0,0.00,0.25,0.25,17.00,
2024/10/21 04:31:46,986.54,25.13,19.82,19.75,6.97,31.25,5.90,0.36,0,0,0,0.00,0.25,0.25,16.97,
2024/10/21 04:32:02,986.53,25.22,19.74,19.50,7.11,15.63,5.97,0.18,0,0,0,0.00,0.25,0.25,16.94,
2024/10/21 04:32:18,986.57,25.33,19.66,19.50,7.21,31.25,5.96,0.00,0,0,0,0.00,0.25,0.25,16.91,
2024/10/21 04:32:34,986.55,25.42,19.57,19.50,7.37,31.25,6.32,0.18,0,0,0,0.00,0.25,0.25,16.88,
2024/10/21 04:32:50,986.55,25.51,19.51,19.50,7.47,31.25,5.74,0.18,0,0,0,0.00,0.25,0.25,16.85,
2024/10/21 04:33:06,986.56,25.61,19.45,19.25,7.57,31.25,5.23,0.09,0,0,0,0.00,0.25,0.25,16.82,
2024/10/21 04:33:22,986.63,25.70,19.38,19.25,7.64,31.25,6.09,0.18,0,0,0,0.00,0.25,0.25,16.80,
2024/10/21 04:33:38,986.58,25.79,19.32,19.00,7.74,31.25,5.52,0.27,0,0,0,0.00,0.25,0.25,16.78,
2024/10/21 04:33:54,986.62,25.86,19.26,19.00,7.82,31.25,5.86,0.09,0,0,0,0.00,0.25,0.25,16.75,
2024/10/21 04:34:09,986.53,25.92,19.21,19.00,7.85,31.25,5.62,0.27,0,0,0,0.00,0.25,0.25,16.73,
2024/10/21 04:34:25,986.47,25.99,19.15,19.00,7.96,31.25,5.76,0.72,0,0,0,0.00,0.25,0.25,16.70,
2024/10/21 04:34:42,986.58,26.04,19.11,19.00,8.01,31.25,5.51,-0.63,0,0,0,0.00,0.25,0.25,16.68,
2024/10/21 04:34:58,986.73,26.13,19.06,19.00,8.07,31.25,5.47,0.18,0,0,0,0.00,0.25,0.25,16.67,
2024/10/21 04:35:14,986.72,26.20,19.01,18.75,8.10,46.88,5.80,0.36,0,0,0,0.00,0.25,0.25,16.65,
2024/10/21 04:35:30,986.71,26.23,18.97,18.75,8.13,46.88,6.31,0.00,0,0,0,0.00,0.25,0.25,16.64,
2024/10/21 04:35:46,986.59,26.29,18.92,18.75,8.15,31.25,5.40,0.27,0,0,0,0.00,0.25,0.25,16.62,
2024/10/21 04:36:02,986.55,26.32,18.89,18.75,8.15,31.25,5.96,0.09,0,0,0,0.00,0.25,0.25,16.60,
2024/10/21 04:36:18,986.44,26.36,18.84,18.75,8.15,31.25,6.19,-0.27,0,0,0,0.00,0.25,0.25,16.57,
2024/10/21 04:36:34,986.40,26.41,18.80,18.50,8.15,15.63,5.88,0.27,0,0,0,0.00,0.25,0.25,16.55,
2024/10/21 04:36:50,986.39,26.47,18.76,18.75,8.17,15.63,5.75,-0.72,0,0,0,0.00,0.25,0.25,16.52,
2024/10/21 04:37:06,986.41,26.52,18.72,18.75,8.15,15.63,5.58,0.72,0,0,0,0.00,0.25,0.25,16.49,
2024/10/21 04:37:22,986.35,26.53,18.68,18.50,8.15,15.63,5.36,0.18,0,0,0,0.00,0.25,0.25,16.46,
2024/10/21 04:37:38,986.44,26.58,18.64,18.50,8.15,31.25,5.49,0.45,0,0,0,0.00,0.25,0.38,16.45,
2024/10/21 04:37:54,986.40,26.60,18.60,18.50,8.17,31.25,5.84,-0.44,0,0,0,0.00,0.25,0.25,16.43,
2024/10/21 04:38:10,986.37,26.62,18.56,18.50,8.17,15.63,5.69,0.18,0,0,0,0.00,0.25,0.25,16.40,
2024/10/21 04:38:26,986.38,26.68,18.53,18.25,8.17,15.63,5.79,-0.09,0,0,0,0.00,0.25,0.25,16.38,
2024/10/21 04:38:42,986.39,26.71,18.49,18.25,8.17,15.63,5.98,0.89,0,0,0,0.00,0.25,0.25,16.36,
