Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/23 19:09:58,984.15,4.44,76.15,76.50,3.72,3921.88, 5.78,-0.21,392,101120,6511,6961.77,0.08,0.15,49.17,
2023/06/23 19:10:02,983.95,4.49,76.00,76.50,3.72,3890.63, 5.99,-0.43,389,100352,6475,6906.47,0.08,0.15,49.08,
2023/06/23 19:10:08,983.47,4.59,75.76,76.25,3.72,3875.00, 6.18,-0.43,386,100096,6447,6875.14,0.08,0.15,48.99,
2023/06/23 19:10:14,983.15,4.68,75.49,75.75,3.72,3843.75, 5.97,-0.43,383,99584,6436,6854.86,0.08,0.15,48.94,
2023/06/23 19:10:20,982.82,4.80,75.25,75.75,3.72,3828.13, 5.99,-0.43,381,98816,6416,6810.62,0.08,0.15,48.88,
2023/06/23 19:10:26,982.44,4.88,75.04,75.50,3.72,3812.50, 5.99,-0.21,381,98560,6393,6799.56,0.08,0.14,48.82,
2023/06/23 19:10:32,982.16,4.98,74.81,75.00,3.72,3796.88, 5.99,-0.21,378,98048,6386,6755.33,0.08,0.14,48.77,
2023/06/23 19:10:38,981.83,5.08,74.60,75.00,3.72,3765.63, 5.99,-0.43,375,97024,6391,6746.11,0.08,0.14,48.72,
2023/06/23 19:10:44,981.37,5.19,74.34,74.50,3.72,3781.25, 5.73,-0.43,375,97280,6370,6718.46,0.08,0.14,48.67,
2023/06/23 19:10:50,980.96,5.26,74.14,74.50,3.72,3750.00, 5.80,-0.43,374,97280,6352,6690.82,0.08,0.14,48.69,
2023/06/23 19:10:56,980.79,5.36,73.94,74.00,3.72,3734.38, 5.99,-0.21,372,96512,6318,6657.64,0.08,0.14,48.64,
2023/06/23 19:11:02,980.55,5.46,73.69,74.00,3.72,3718.75, 5.78,-0.21,369,96256,6293,6650.27,0.08,0.14,48.59,
2023/06/23 19:11:08,980.25,5.54,73.52,73.75,3.72,3703.13, 5.99,-0.43,368,95744,6276,6618.93,0.08,0.14,48.54,
2023/06/23 19:11:14,980.15,5.63,73.33,73.50,3.72,3703.13, 6.25,-0.64,367,95744,6264,6585.75,0.08,0.14,48.50,
2023/06/23 19:11:20,979.78,5.70,73.13,73.25,3.72,3703.13, 5.76,-0.64,364,94464,6242,6558.11,0.08,0.14,48.43,
2023/06/23 19:11:26,979.43,5.82,72.87,73.00,3.72,3687.50, 5.99,-0.43,361,93696,6226,6515.71,0.08,0.14,48.38,
2023/06/23 19:11:32,979.16,5.92,72.67,73.00,3.72,3656.25, 5.78,-0.43,359,93184,6204,6491.75,0.08,0.14,48.33,
2023/06/23 19:11:38,978.82,6.00,72.44,72.75,3.72,3640.63, 5.76,-0.64,356,92160,6193,6451.20,0.08,0.14,48.28,
2023/06/23 19:11:44,978.56,6.12,72.21,72.50,3.72,3625.00, 5.99,-0.43,355,92416,6147,6443.83,0.08,0.14,48.24,
2023/06/23 19:11:50,978.20,6.21,72.02,72.00,3.72,3593.75, 6.01,-0.43,353,92160,6127,6397.75,0.08,0.14,48.20,
2023/06/23 19:11:56,977.77,6.29,71.84,72.00,3.72,3562.50, 5.78,-0.43,352,91648,6100,6381.16,0.08,0.14,48.16,
2023/06/23 19:12:02,977.58,6.39,71.62,71.75,3.72,3531.25, 6.18,-0.43,349,90880,6079,6349.82,0.08,0.13,48.12,
2023/06/23 19:12:08,977.36,6.48,71.40,71.25,3.72,3531.25, 5.99,-0.43,349,90880,6066,6316.65,0.08,0.13,48.07,
2023/06/23 19:12:14,977.20,6.54,71.28,71.50,3.71,3500.00, 5.99,-0.64,346,90112,6045,6298.21,0.08,0.13,48.03,
2023/06/23 19:12:20,976.87,6.69,70.97,71.00,3.72,3484.38, 5.78,-0.64,344,89344,6030,6277.94,0.08,0.13,47.97,
2023/06/23 19:12:26,976.75,6.76,70.82,70.75,3.71,3468.75, 5.80,-0.43,343,89344,6015,6242.92,0.08,0.13,47.94,
2023/06/23 19:12:32,976.55,6.86,70.60,70.75,3.72,3437.50, 5.82,-0.43,341,88576,5983,6209.74,0.08,0.13,47.88,
2023/06/23 19:12:38,976.25,6.94,70.42,70.50,3.72,3421.88, 5.78,-0.64,340,88064,5960,6189.47,0.07,0.13,47.84,
2023/06/23 19:12:44,976.22,7.03,70.20,70.25,3.72,3421.88, 5.99,0.00,337,87808,5949,6167.35,0.07,0.13,47.80,
2023/06/23 19:12:50,976.26,7.15,70.00,70.00,3.72,3406.25, 5.80,-0.21,337,87808,5932,6145.23,0.07,0.13,47.75,
2023/06/23 19:12:56,976.03,7.23,69.81,69.75,3.72,3390.63, 5.78,-0.21,335,87296,5911,6134.17,0.07,0.13,47.72,
2023/06/23 19:13:02,975.91,7.32,69.61,69.50,3.72,3375.00, 5.80,-0.21,335,87296,5899,6097.31,0.07,0.13,47.69,
2023/06/23 19:13:08,975.83,7.41,69.40,69.25,3.72,3375.00, 5.99,-0.21,334,86784,5886,6099.15,0.07,0.13,47.72,
2023/06/23 19:13:14,975.60,7.53,69.19,69.25,3.72,3375.00, 5.99,-0.21,331,86528,5887,6097.31,0.07,0.13,47.68,
2023/06/23 19:13:20,975.50,7.61,69.01,68.75,3.72,3375.00, 5.97,-0.21,335,87296,5894,6102.83,0.07,0.13,47.64,
2023/06/23 19:13:26,975.28,7.64,68.93,69.00,3.72,3390.63, 5.78,-0.43,335,87296,5941,6150.76,0.07,0.13,47.60,
2023/06/23 19:13:32,975.16,7.76,68.71,68.75,3.72,3421.88, 5.78,-0.21,340,89088,5985,6200.52,0.08,0.13,47.56,
2023/06/23 19:13:38,974.99,7.83,68.54,68.50,3.72,3468.75, 5.78,-0.43,342,89856,6025,6230.02,0.08,0.13,47.53,
2023/06/23 19:13:44,974.95,7.93,68.36,68.25,3.72,3515.63, 5.76,-0.21,343,89856,6068,6270.57,0.08,0.13,47.49,
2023/06/23 19:13:50,974.88,7.96,68.28,68.25,3.72,3562.50, 5.99,-0.64,343,89856,6074,6255.82,0.08,0.14,47.46,
