Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/22 05:41:34,984.11,24.11,18.84,18.50,7.95,46.88,5.81,-0.35,-74,-26112,0,0.00,0.25,0.25,15.41,
2024/10/22 05:41:36,984.12,24.10,18.86,18.50,7.95,46.88,5.35,0.09,-74,-26112,0,0.00,0.25,0.25,15.41,
2024/10/22 05:41:52,984.07,24.28,18.67,18.25,7.95,46.88,5.78,0.18,0,0,0,0.00,0.25,0.25,15.34,
2024/10/22 05:42:08,984.03,24.50,18.49,18.25,7.99,46.88,5.32,0.63,0,0,0,0.00,0.25,0.25,15.31,
2024/10/22 05:42:24,984.08,24.69,18.34,18.00,7.96,46.88,5.87,0.62,0,0,0,0.00,0.25,0.25,15.29,
2024/10/22 05:42:40,984.00,24.86,18.22,18.00,7.96,46.88,5.29,0.27,0,0,0,0.00,0.25,0.25,15.26,
2024/10/22 05:42:56,984.05,24.97,18.11,18.00,7.96,46.88,5.70,0.18,0,0,0,0.00,0.25,0.25,15.24,
2024/10/22 05:43:12,983.95,25.17,18.02,17.75,7.98,31.25,5.31,0.45,0,0,0,0.00,0.25,0.25,15.21,
2024/10/22 05:43:28,983.94,25.30,17.93,17.75,7.98,46.88,5.75,0.45,0,0,0,0.00,0.25,0.25,15.19,
2024/10/22 05:43:44,983.92,25.43,17.84,17.75,7.98,46.88,5.80,0.54,0,0,0,0.00,0.25,0.25,15.17,
2024/10/22 05:44:00,983.86,25.50,17.78,17.50,7.98,46.88,5.97,0.27,0,0,0,0.00,0.25,0.25,15.14,
2024/10/22 05:44:16,983.84,25.60,17.70,17.50,7.98,46.88,6.02,0.45,0,0,0,0.00,0.25,0.25,15.12,
2024/10/22 05:44:32,983.86,25.72,17.63,17.50,7.98,31.25,5.28,0.18,0,0,0,0.00,0.25,0.25,15.10,
2024/10/22 05:44:48,983.81,25.79,17.57,17.50,7.98,31.25,5.46,0.18,0,0,0,0.00,0.25,0.25,15.07,
2024/10/22 05:45:04,983.82,25.89,17.52,17.50,7.98,31.25,5.39,0.53,0,0,0,0.00,0.25,0.25,15.06,
2024/10/22 05:45:20,983.82,25.95,17.45,17.25,7.98,31.25,4.85,0.09,0,0,0,0.00,0.25,0.25,15.03,
2024/10/22 05:45:36,983.85,26.04,17.41,17.25,7.98,46.88,5.18,0.53,0,0,0,0.00,0.25,0.25,15.02,
2024/10/22 05:45:52,983.86,26.13,17.36,17.25,7.98,46.88,5.98,0.27,0,0,0,0.00,0.25,0.25,15.00,
2024/10/22 05:46:08,983.78,26.16,17.30,17.25,7.99,46.88,6.12,0.27,0,0,0,0.00,0.25,0.25,14.98,
2024/10/22 05:46:24,983.76,26.21,17.25,17.00,7.99,46.88,5.46,0.00,0,0,0,0.00,0.25,0.25,14.96,
2024/10/22 05:46:40,983.71,26.27,17.20,17.00,7.99,46.88,5.29,0.09,0,0,0,0.00,0.25,0.25,14.94,
2024/10/22 05:46:56,983.67,26.36,17.16,17.00,7.98,31.25,5.83,0.00,0,0,0,0.00,0.25,0.25,14.92,
2024/10/22 05:47:12,983.70,26.39,17.12,17.00,7.99,31.25,5.96,0.18,0,0,0,0.00,0.25,0.25,14.90,
2024/10/22 05:47:28,983.68,26.47,17.08,17.00,7.99,46.88,5.78,0.00,0,0,0,0.00,0.25,0.25,14.88,
2024/10/22 05:47:44,983.71,26.48,17.04,16.75,7.99,46.88,6.01,0.00,0,0,0,0.00,0.25,0.25,14.86,
2024/10/22 05:48:00,983.72,26.56,17.00,16.75,7.99,46.88,5.85,0.00,0,0,0,0.00,0.25,0.25,14.84,
2024/10/22 05:48:16,983.67,26.59,16.96,16.75,7.99,31.25,5.96,0.18,0,0,0,0.00,0.25,0.25,14.82,
2024/10/22 05:48:32,983.74,26.64,16.93,16.75,7.99,31.25,5.56,0.00,0,0,0,0.00,0.38,0.25,14.81,
2024/10/22 05:48:48,983.74,26.70,16.90,16.75,7.99,31.25,5.09,0.36,0,0,0,0.00,0.25,0.25,14.79,
2024/10/22 05:49:04,983.74,26.76,16.87,16.75,7.99,46.88,5.54,0.09,0,0,0,0.00,0.25,0.25,14.77,
2024/10/22 05:49:20,983.71,26.75,16.84,16.75,7.99,31.25,5.80,0.18,0,0,0,0.00,0.25,0.25,14.76,
2024/10/22 05:49:36,983.73,26.78,16.82,16.75,7.99,31.25,5.66,0.54,0,0,0,0.00,0.25,0.25,14.75,
2024/10/22 05:49:52,983.69,26.85,16.77,16.75,7.99,31.25,5.50,0.09,0,0,0,0.00,0.25,0.25,14.73,
2024/10/22 05:50:08,983.74,26.87,16.75,16.75,7.99,31.25,6.18,0.90,0,0,0,0.00,0.25,0.25,14.71,
2024/10/22 05:50:24,983.73,26.93,16.73,16.50,8.02,31.25,5.40,0.09,0,0,0,0.00,0.25,0.25,14.70,
2024/10/22 05:50:40,983.72,26.90,16.70,16.50,7.99,31.25,5.12,-0.26,0,0,0,0.00,0.25,0.25,14.68,
2024/10/22 05:50:56,983.72,26.97,16.68,16.50,7.99,31.25,5.38,0.44,0,0,0,0.00,0.25,0.25,14.67,
