Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/19 03:10:42,994.21,17.68,20.83,20.50,6.43,46.88,5.16,0.00,0,0,0,0.00,0.25,0.25,17.47,
2024/10/19 03:10:44,994.22,17.67,20.85,20.50,6.42,62.50,4.91,0.54,0,0,0,0.00,0.25,0.25,17.47,
2024/10/19 03:11:00,994.22,17.79,20.67,20.50,6.46,46.88,5.69,0.27,0,0,0,0.00,0.25,0.25,17.43,
2024/10/19 03:11:16,994.19,17.96,20.50,20.25,6.58,46.88,5.55,0.18,0,0,0,0.00,0.25,0.25,17.41,
2024/10/19 03:11:32,994.17,18.11,20.35,20.25,6.72,46.88,5.54,0.27,0,0,0,0.00,0.25,0.25,17.40,
2024/10/19 03:11:48,994.17,18.26,20.23,20.00,6.76,46.88,5.78,0.18,0,0,0,0.00,0.25,0.25,17.38,
2024/10/19 03:12:04,994.18,18.40,20.12,20.00,6.89,46.88,5.56,0.18,0,0,0,0.00,0.25,0.25,17.36,
2024/10/19 03:12:20,994.07,18.46,20.04,19.75,6.99,46.88,5.43,0.80,0,0,0,0.00,0.25,0.25,17.35,
2024/10/19 03:12:36,994.04,18.60,19.94,19.75,7.07,46.88,5.61,-0.27,0,0,0,0.00,0.25,0.25,17.33,
2024/10/19 03:12:52,994.04,18.69,19.86,19.75,7.18,46.88,5.54,0.27,0,0,0,0.00,0.25,0.25,17.32,
2024/10/19 03:13:08,994.00,18.76,19.79,19.75,7.29,46.88,5.54,0.27,0,0,0,0.00,0.25,0.25,17.30,
2024/10/19 03:13:24,993.95,18.81,19.73,19.50,7.33,46.88,5.85,0.27,0,0,0,0.00,0.25,0.25,17.29,
2024/10/19 03:13:40,993.98,18.92,19.66,19.50,7.42,46.88,5.06,-0.36,0,0,0,0.00,0.25,0.25,17.27,
2024/10/19 03:13:56,993.96,19.01,19.60,19.50,7.51,46.88,4.98,0.09,0,0,0,0.00,0.25,0.25,17.25,
2024/10/19 03:14:12,993.97,19.05,19.54,19.50,7.61,46.88,5.92,0.09,0,0,0,0.00,0.25,0.25,17.24,
2024/10/19 03:14:28,993.99,19.10,19.49,19.25,7.71,46.88,5.82,0.35,0,0,0,0.00,0.25,0.25,17.23,
2024/10/19 03:14:44,994.01,19.17,19.44,19.25,7.75,46.88,4.92,0.18,0,0,0,0.00,0.25,0.25,17.22,
2024/10/19 03:15:00,993.98,19.22,19.40,19.25,7.83,46.88,5.27,0.27,0,0,0,0.00,0.25,0.25,17.21,
2024/10/19 03:15:16,993.96,19.28,19.35,19.25,7.90,46.88,5.44,0.18,0,0,0,0.00,0.25,0.25,17.20,
2024/10/19 03:15:32,993.99,19.33,19.31,19.25,7.97,46.88,5.86,0.82,0,0,0,0.00,0.25,0.25,17.19,
2024/10/19 03:15:48,993.94,19.40,19.27,19.00,8.01,46.88,6.20,0.18,0,0,0,0.00,0.25,0.25,17.18,
2024/10/19 03:16:04,993.96,19.42,19.23,19.00,8.05,46.88,5.73,0.27,0,0,0,0.00,0.25,0.25,17.17,
2024/10/19 03:16:20,993.98,19.47,19.20,19.00,8.10,46.88,5.83,0.09,0,0,0,0.00,0.25,0.25,17.16,
2024/10/19 03:16:36,993.99,19.52,19.16,19.00,8.18,46.88,5.50,0.09,0,0,0,0.00,0.25,0.25,17.16,
2024/10/19 03:16:52,993.98,19.56,19.13,19.00,8.21,46.88,5.92,0.36,0,0,0,0.00,0.25,0.25,17.15,
2024/10/19 03:17:08,993.96,19.58,19.10,19.00,8.23,46.88,5.33,0.45,0,0,0,0.00,0.25,0.25,17.14,
2024/10/19 03:17:24,994.01,19.64,19.08,19.00,8.32,46.88,6.57,0.36,0,0,0,0.00,0.25,0.25,17.13,
2024/10/19 03:17:40,993.95,19.66,19.05,19.00,8.35,46.88,5.77,0.36,0,0,0,0.00,0.25,0.25,17.13,
2024/10/19 03:17:56,993.93,19.68,19.02,19.00,8.41,46.88,5.48,0.09,0,0,0,0.00,0.25,0.25,17.12,
2024/10/19 03:18:12,993.92,19.72,18.99,19.00,8.47,46.88,5.85,0.18,0,0,0,0.00,0.25,0.25,17.11,
2024/10/19 03:18:28,993.93,19.75,18.96,18.75,8.47,46.88,5.36,0.36,0,0,0,0.00,0.25,0.25,17.10,
2024/10/19 03:18:44,993.90,19.78,18.94,18.75,8.47,46.88,6.01,0.09,0,0,0,0.00,0.25,0.25,17.09,
2024/10/19 03:19:00,993.92,19.81,18.91,18.75,8.50,46.88,6.21,0.54,0,0,0,0.00,0.25,0.25,17.08,
2024/10/19 03:19:16,993.91,19.85,18.90,18.75,8.53,46.88,5.28,0.45,0,0,0,0.00,0.25,0.25,17.07,
2024/10/19 03:19:32,993.92,19.85,18.87,18.75,8.53,46.88,5.26,0.35,0,0,0,0.00,0.25,0.25,17.06,
2024/10/19 03:19:48,993.92,19.87,18.85,18.75,8.56,46.88,5.43,0.18,0,0,0,0.00,0.25,0.25,17.06,
2024/10/19 03:20:04,993.88,19.91,18.82,18.75,8.56,46.88,6.12,0.36,0,0,0,0.00,0.25,0.25,17.05,
2024/10/19 03:20:20,993.97,19.93,18.81,18.75,8.56,46.88,5.62,0.27,0,0,0,0.00,0.25,0.25,17.04,
2024/10/19 03:20:36,993.94,19.93,18.79,18.75,8.56,46.88,5.90,0.00,0,0,0,0.00,0.25,0.25,17.04,
2024/10/19 03:20:52,993.90,19.95,18.77,18.50,8.59,46.88,5.41,0.53,0,0,0,0.00,0.25,0.25,17.03,
2024/10/19 03:21:08,993.93,19.99,18.75,18.75,8.59,46.88,5.70,-0.27,0,0,0,0.00,0.25,0.25,17.02,
2024/10/19 03:21:24,993.94,20.00,18.74,18.50,8.59,46.88,5.70,0.27,0,0,0,0.00,0.25,0.25,17.02,
2024/10/19 03:21:40,993.96,20.02,18.72,18.50,8.59,46.88,5.58,0.18,0,0,0,0.00,0.25,0.25,17.01,
2024/10/19 03:21:56,993.94,20.04,18.70,18.75,8.59,46.88,5.28,0.54,0,0,0,0.00,0.25,0.25,17.00,
2024/10/19 03:22:12,993.96,20.04,18.70,18.75,8.59,46.88,6.05,0.36,0,0,0,0.00,0.25,0.25,17.00,
2024/10/19 03:22:28,993.96,20.06,18.68,18.50,8.59,46.88,5.98,0.18,0,0,0,0.00,0.25,0.25,16.99,
2024/10/19 03:22:44,994.05,20.07,18.67,18.50,8.59,46.88,5.73,0.36,0,0,0,0.00,0.25,0.25,16.99,
2024/10/19 03:23:00,993.98,20.11,18.65,18.50,8.59,46.88,5.53,-0.09,0,0,0,0.00,0.25,0.25,16.98,
2024/10/19 03:23:16,994.06,20.12,18.63,18.50,8.59,46.88,5.60,0.27,0,0,0,0.00,0.38,0.25,16.97,
2024/10/19 03:23:32,994.01,20.12,18.62,18.50,8.59,46.88,5.41,0.44,0,0,0,0.00,0.25,0.25,16.96,
2024/10/19 03:23:48,994.05,20.13,18.61,18.50,8.59,46.88,5.08,0.36,0,0,0,0.00,0.25,0.25,16.96,
2024/10/19 03:24:04,994.08,20.17,18.60,18.50,8.59,46.88,5.66,0.09,0,0,0,0.00,0.25,0.25,16.96,
2024/10/19 03:24:20,994.14,20.17,18.59,18.50,8.59,46.88,5.64,0.36,0,0,0,0.00,0.25,0.25,16.95,
2024/10/19 03:24:36,994.11,20.20,18.58,18.50,8.59,46.88,6.58,0.45,0,0,0,0.00,0.25,0.25,16.95,
2024/10/19 03:24:52,994.18,20.21,18.57,18.50,8.59,46.88,5.06,0.45,0,0,0,0.00,0.25,0.25,16.94,
2024/10/19 03:25:08,994.19,20.21,18.57,18.50,8.59,46.88,5.32,0.27,0,0,0,0.00,0.25,0.25,16.95,
2024/10/19 03:25:24,994.28,20.22,18.56,18.50,8.59,46.88,5.23,-0.36,0,0,0,0.00,0.25,0.25,16.94,
