Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/22 19:20:54,976.98,7.48,69.06,70.00,3.79,12937.50, 5.95,-0.43,952,268800,11015,12954.01,0.35,0.50,44.83,
2023/06/22 19:20:58,977.43,7.35,69.29,70.25,3.79,12953.13, 6.13,0.00,950,268288,11291,12935.58,0.35,0.50,44.91,
2023/06/22 19:21:04,977.84,7.24,69.51,70.25,3.79,12953.13, 5.73,-0.42,950,267776,11526,12948.48,0.35,0.50,45.00,
2023/06/22 19:21:10,978.50,7.14,69.70,70.50,3.79,12937.50, 5.95,-0.21,950,268288,11496,12930.05,0.35,0.50,45.07,
2023/06/22 19:21:16,978.94,7.02,69.96,71.00,3.79,12906.25, 5.92,-0.42,948,267264,11371,12900.56,0.35,0.50,45.12,
2023/06/22 19:21:22,979.35,6.87,70.23,71.25,3.79,12875.00, 5.95,0.00,947,266240,11302,12891.34,0.35,0.50,45.19,
2023/06/22 19:21:28,979.92,6.79,70.39,71.25,3.79,12843.75, 5.92,-0.64,946,265728,11252,12854.48,0.35,0.50,45.23,
2023/06/22 19:21:34,980.41,6.67,70.66,71.75,3.79,12796.88, 5.95,-0.42,941,264448,11163,12810.24,0.34,0.49,45.29,
2023/06/22 19:21:40,980.83,6.56,70.90,72.00,3.79,12781.25, 5.92,-0.21,946,265728,11194,12856.32,0.34,0.49,45.34,
2023/06/22 19:21:46,981.50,6.43,71.14,72.25,3.79,12765.63, 5.92,-0.21,945,264960,11176,12830.51,0.34,0.49,45.39,
2023/06/22 19:21:52,981.99,6.35,71.32,72.25,3.79,12703.13, 5.95,-0.21,942,263936,11154,12786.28,0.34,0.49,45.44,
2023/06/22 19:21:58,982.33,6.28,71.48,72.75,3.79,12640.63, 5.95,-0.21,938,263168,11134,12732.83,0.34,0.49,45.48,
2023/06/22 19:22:04,982.91,6.15,71.75,72.75,3.79,12625.00, 5.76,-0.21,939,263168,11143,12664.63,0.34,0.49,45.52,
