Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/01 19:30:46,995.70,12.22,66.46,67.25,3.06,11953.13, 4.35,-3.27,933,250880,10791,12791.81,0.31,0.47,34.27,
2023/07/01 19:30:49,995.72,12.16,66.56,67.50,3.06,11671.88, 4.53,-2.80,933,250880,10791,12791.81,0.31,0.47,34.27,
2023/07/01 19:30:55,995.63,12.07,66.71,67.75,3.06,11218.75, 4.76,-2.81,853,226560,10078,12043.47,0.27,0.41,32.18,
2023/07/01 19:31:01,995.84,11.99,66.86,67.75,3.06,11281.25, 4.30,-2.82,878,234240,10449,12683.06,0.29,0.43,32.27,
2023/07/01 19:31:07,996.03,11.90,67.03,68.00,3.06,11859.38, 4.78,-3.27,907,242688,10443,12417.64,0.30,0.45,32.31,
2023/07/01 19:31:13,996.14,11.71,67.35,68.25,3.06,11968.75, 5.00,-2.60,912,243968,10483,12480.31,0.30,0.45,32.48,
2023/07/01 19:31:19,996.47,11.62,67.48,68.50,3.06,12031.25, 4.76,-3.02,914,244736,10502,12482.15,0.30,0.45,34.27,
2023/07/01 19:31:25,996.44,11.45,67.74,68.75,3.06,12203.13, 4.35,-3.04,933,249600,10642,12659.10,0.31,0.46,34.14,
2023/07/01 19:31:31,996.84,11.31,68.02,69.00,3.06,12421.88, 4.54,-3.05,946,253952,10776,12690.43,0.31,0.47,34.19,
2023/07/01 19:31:37,996.97,11.16,68.23,69.50,3.07,12515.63, 4.55,-2.80,952,255232,10822,12743.88,0.32,0.48,34.23,
2023/07/01 19:31:43,997.31,11.00,68.51,69.50,3.06,12687.50, 4.56,-2.59,961,257536,10967,12830.51,0.32,0.48,34.27,
2023/07/01 19:31:49,997.21,10.83,68.76,70.00,3.07,12734.38, 4.33,-2.80,961,257536,10899,12823.14,0.32,0.48,34.31,
2023/07/01 19:31:55,997.61,10.71,69.01,70.25,3.06,12906.25, 4.56,-2.57,975,261888,10704,12946.64,0.33,0.49,33.84,
2023/07/01 19:32:01,997.78,10.57,69.25,70.25,3.07,12906.25, 4.56,-3.03,972,260608,10710,12935.58,0.32,0.49,33.88,
2023/07/01 19:32:07,997.89,10.48,69.42,70.50,3.07,12609.38, 4.78,-2.17,948,254464,10707,12730.98,0.31,0.47,33.93,
2023/07/01 19:32:13,998.06,10.40,69.58,70.75,3.07,12687.50, 4.55,-2.81,968,259328,11067,12880.28,0.32,0.48,33.96,
2023/07/01 19:32:19,998.09,10.26,69.84,71.00,3.07,12765.63, 4.58,-2.80,960,257280,10844,12828.67,0.32,0.48,34.01,
2023/07/01 19:32:25,998.17,10.25,69.86,71.00,3.07,11890.63, 4.56,-2.82,878,233472,10344,12227.79,0.28,0.43,34.03,
2023/07/01 19:32:31,998.05,10.22,69.94,71.00,3.07,11718.75, 4.35,-2.81,905,241664,10638,12301.52,0.29,0.45,34.04,
2023/07/01 19:32:37,998.27,10.12,70.15,71.25,3.07,12015.63, 4.56,-2.81,923,246528,10496,12483.99,0.30,0.46,34.07,
2023/07/01 19:32:43,998.41,9.97,70.39,71.50,3.07,12468.75, 4.74,-2.60,961,257536,10837,12806.55,0.32,0.48,34.12,
2023/07/01 19:32:49,998.52,9.88,70.58,71.75,3.07,12671.88, 4.56,-2.82,961,257280,10801,12762.32,0.32,0.48,33.89,
2023/07/01 19:32:55,998.58,9.82,70.70,72.00,3.07,12484.38, 4.55,-2.60,938,250624,10650,12655.41,0.31,0.46,33.68,
