Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/22 19:28:06,994.15,2.89,80.14,81.50,3.79,12125.00, 5.90,0.00,932,258304,11021,12736.51,0.32,0.47,47.31,
2023/06/22 19:28:10,994.05,2.87,80.20,81.50,3.79,12125.00, 5.99,-0.21,933,259072,11017,12751.26,0.32,0.47,47.35,
2023/06/22 19:28:16,994.21,2.87,80.23,81.50,3.79,12140.63, 6.16,-0.21,935,259328,11027,12760.47,0.32,0.47,47.38,
2023/06/22 19:28:22,994.24,2.85,80.34,81.75,3.79,12156.25, 5.92,-0.42,936,259328,11032,12780.75,0.32,0.47,47.39,
2023/06/22 19:28:28,994.20,2.84,80.47,81.75,3.79,12171.88, 5.95,0.00,939,260352,11033,12782.59,0.32,0.47,47.42,
2023/06/22 19:28:34,994.20,2.74,80.53,81.75,3.79,12187.50, 5.76,-0.21,939,259584,11027,12819.46,0.32,0.47,47.43,
2023/06/22 19:28:40,994.22,2.74,80.60,82.00,3.79,12187.50, 5.92,-0.42,941,261120,11038,12810.24,0.32,0.47,47.43,
2023/06/22 19:28:46,994.31,2.71,80.69,82.00,3.79,12187.50, 5.92,-0.21,939,260352,11031,12799.18,0.32,0.47,47.43,
2023/06/22 19:28:52,994.24,2.65,80.85,82.00,3.79,12203.13, 5.73,-0.42,943,261376,11038,12826.83,0.32,0.47,47.46,
2023/06/22 19:28:58,994.47,2.65,80.90,82.25,3.79,12203.13, 5.92,-0.21,944,261376,11034,12843.42,0.32,0.47,47.47,
2023/06/22 19:29:04,994.54,2.62,81.00,82.25,3.79,12187.50, 5.92,-0.21,942,261120,11033,12817.61,0.32,0.47,47.48,
2023/06/22 19:29:10,994.43,2.61,81.05,82.25,3.79,12187.50, 5.92,-0.21,943,261376,11026,12804.71,0.32,0.47,47.51,
2023/06/22 19:29:16,994.47,2.59,81.11,82.50,3.79,12156.25, 5.52,-0.21,943,261376,11015,12782.59,0.32,0.47,47.60,
2023/06/22 19:29:22,994.57,2.53,81.28,82.75,3.79,12140.63, 5.92,-0.21,941,260608,11001,12817.61,0.32,0.47,47.61,
2023/06/22 19:29:28,994.56,2.52,81.33,82.75,3.79,12125.00, 6.13,-0.21,943,261632,10996,12778.91,0.32,0.47,47.63,
2023/06/22 19:29:34,994.47,2.49,81.41,82.75,3.79,12125.00, 6.13,-0.42,940,260608,11009,12766.00,0.32,0.47,47.65,
2023/06/22 19:29:40,994.50,2.48,81.44,82.75,3.79,12125.00, 6.13,0.00,940,260352,10977,12788.12,0.32,0.47,47.68,
2023/06/22 19:29:46,994.52,2.43,81.57,83.00,3.79,12109.38, 5.92,-0.64,937,259328,10973,12742.04,0.32,0.47,47.68,
2023/06/22 19:29:52,994.66,2.43,81.62,83.00,3.79,12093.75, 5.92,-0.21,936,259584,10938,12758.63,0.32,0.47,47.70,
2023/06/22 19:29:58,994.72,2.40,81.73,83.00,3.79,12046.88, 5.92,-0.21,935,258560,10908,12738.36,0.31,0.47,47.73,
2023/06/22 19:30:04,994.66,2.37,81.77,83.00,3.79,12031.25, 5.90,-0.21,931,257792,10880,12719.92,0.31,0.47,47.74,
2023/06/22 19:30:10,994.49,2.37,81.82,83.00,3.79,12046.88, 5.95,-0.21,934,258816,10878,12745.73,0.31,0.47,47.75,
2023/06/22 19:30:16,994.58,2.35,81.87,83.25,3.79,12046.88, 5.92,-0.42,932,258560,10888,12729.14,0.31,0.47,47.78,
2023/06/22 19:30:22,994.47,2.31,81.96,83.25,3.79,12015.63, 6.13,-0.42,933,258304,10937,12740.20,0.31,0.47,47.80,
2023/06/22 19:30:28,994.64,2.30,82.04,83.50,3.79,12000.00, 5.92,-0.21,932,257280,10906,12718.08,0.31,0.47,47.81,
2023/06/22 19:30:34,994.73,2.28,82.12,83.50,3.79,12000.00, 5.95,-0.21,934,258816,10983,12736.51,0.31,0.47,47.83,
2023/06/22 19:30:40,994.87,2.24,82.21,83.50,3.79,12015.63, 5.92,-0.21,934,258560,10979,12756.79,0.31,0.47,47.85,
2023/06/22 19:30:46,994.88,2.22,82.30,83.50,3.79,12015.63, 5.92,-0.64,935,259072,11104,12705.18,0.31,0.47,47.86,
2023/06/22 19:30:52,994.61,2.21,82.35,83.75,3.79,11984.38, 5.76,-0.21,934,258560,11210,12736.51,0.31,0.47,47.89,
2023/06/22 19:30:58,994.68,2.18,82.43,83.75,3.79,11968.75, 5.92,-0.42,930,257024,11211,12688.59,0.31,0.46,47.89,
2023/06/22 19:31:04,994.79,2.19,82.42,83.75,3.79,11921.88, 5.92,-0.21,928,256768,11233,12662.78,0.31,0.46,47.90,
2023/06/22 19:31:10,994.84,2.16,82.52,83.75,3.79,11906.25, 5.69,-0.42,926,256256,11237,12646.20,0.31,0.46,47.90,
2023/06/22 19:31:16,994.85,2.13,82.59,84.00,3.79,11906.25, 5.95,-0.64,927,256768,11212,12668.31,0.31,0.46,47.94,
2023/06/22 19:31:22,994.78,2.10,82.70,84.00,3.79,11890.63, 5.73,-0.21,929,256768,11217,12657.25,0.31,0.46,47.95,
2023/06/22 19:31:28,994.84,2.10,82.73,84.00,3.79,11890.63, 5.73,-0.21,928,256768,11212,12633.29,0.31,0.46,47.96,
2023/06/22 19:31:34,994.89,2.10,82.76,84.25,3.79,11890.63, 5.95,-0.42,925,256256,11212,12646.20,0.31,0.46,47.97,
2023/06/22 19:31:40,994.93,2.07,82.83,84.25,3.79,11890.63, 5.76,-0.21,929,257024,11234,12662.78,0.31,0.46,47.98,
2023/06/22 19:31:46,994.92,2.06,82.86,84.25,3.79,11906.25, 5.95,-0.64,931,257536,11251,12688.59,0.31,0.46,48.09,
2023/06/22 19:31:52,995.06,2.01,83.03,84.25,3.79,11968.75, 5.71,-0.42,934,258560,11237,12703.33,0.31,0.47,48.10,
2023/06/22 19:31:58,994.78,2.00,83.08,84.50,3.79,11953.13, 5.95,0.00,936,259072,11270,12707.02,0.31,0.47,48.11,
2023/06/22 19:32:04,995.08,1.98,83.15,84.50,3.79,11968.75, 5.95,-0.21,933,258304,11239,12725.45,0.31,0.47,48.12,
2023/06/22 19:32:10,994.89,1.96,83.19,84.50,3.79,11984.38, 5.92,-0.21,935,258560,11234,12725.45,0.31,0.47,48.15,
2023/06/22 19:32:16,994.92,1.94,83.24,84.50,3.79,11968.75, 5.92,-0.21,935,258816,11234,12708.86,0.31,0.47,48.17,
2023/06/22 19:32:22,994.88,1.92,83.35,84.75,3.79,11953.13, 5.92,-0.42,933,258048,11212,12708.86,0.31,0.47,48.18,
2023/06/22 19:32:28,994.81,1.93,83.31,84.75,3.80,11937.50, 5.92,-0.42,933,258560,11160,12719.92,0.31,0.47,48.20,
2023/06/22 19:32:34,994.85,1.89,83.47,84.75,3.79,11953.13, 5.92,-0.21,932,258560,11247,12718.08,0.31,0.47,48.22,
2023/06/22 19:32:40,994.73,1.88,83.50,85.00,3.79,11937.50, 5.95,-0.42,934,258560,11241,12703.33,0.31,0.47,48.18,
2023/06/22 19:32:46,994.86,1.86,83.57,85.00,3.79,11937.50, 5.73,-0.21,936,258816,11199,12686.75,0.31,0.47,48.24,
2023/06/22 19:32:52,994.92,1.86,83.60,85.00,3.79,11953.13, 5.92,0.00,934,258304,11144,12736.51,0.31,0.47,48.26,
2023/06/22 19:32:58,994.95,1.83,83.66,85.00,3.79,11953.13, 5.69,-0.21,936,259328,11174,12730.98,0.31,0.47,48.28,
2023/06/22 19:33:04,994.93,1.82,83.72,85.00,3.79,11968.75, 5.95,-0.21,937,259584,11193,12732.83,0.31,0.47,48.31,
2023/06/22 19:33:10,994.97,1.78,83.82,85.25,3.79,11968.75, 5.92,-0.21,937,259328,11212,12758.63,0.31,0.47,48.33,
2023/06/22 19:33:16,995.09,1.78,83.84,85.25,3.79,11984.38, 5.92,-0.21,937,259328,11208,12725.45,0.31,0.47,48.35,
2023/06/22 19:33:22,995.17,1.75,83.93,85.25,3.79,11968.75, 5.97,-0.42,934,258816,11206,12714.39,0.31,0.47,48.37,
2023/06/22 19:33:28,995.33,1.74,84.02,85.25,3.79,11968.75, 5.73,-0.21,936,258816,11226,12707.02,0.31,0.47,48.38,
2023/06/22 19:33:34,995.06,1.71,84.08,85.50,3.79,11953.13, 6.13,-0.42,935,258816,11154,12690.43,0.31,0.47,48.41,
2023/06/22 19:33:40,995.07,1.71,84.12,85.50,3.79,11937.50, 5.92,-0.21,934,258304,11239,12692.28,0.31,0.47,48.41,
2023/06/22 19:33:46,995.07,1.69,84.19,85.50,3.79,11921.88, 5.95,0.00,932,257792,11247,12683.06,0.31,0.47,48.42,
2023/06/22 19:33:52,995.01,1.66,84.25,85.50,3.79,11921.88, 5.95,-0.21,935,258816,11150,12684.90,0.31,0.47,48.43,
2023/06/22 19:33:58,995.07,1.66,84.30,85.75,3.79,11921.88, 5.92,-0.42,926,256512,10840,12629.61,0.31,0.47,48.45,
2023/06/22 19:34:04,995.02,1.64,84.36,85.75,3.79,11937.50, 5.92,-0.21,934,258560,11202,12725.45,0.31,0.47,48.47,
2023/06/22 19:34:10,994.97,1.64,84.39,86.00,3.79,11953.13, 5.92,0.00,935,258816,11175,12699.65,0.31,0.47,48.51,
2023/06/22 19:34:16,995.16,1.63,84.43,85.75,3.79,11953.13, 6.16,-0.42,934,258816,11140,12707.02,0.31,0.47,48.53,
2023/06/22 19:34:22,995.02,1.60,84.49,86.00,3.79,11968.75, 5.71,-0.21,937,259840,10916,12727.30,0.31,0.47,48.54,
2023/06/22 19:34:28,994.80,1.58,84.58,86.00,3.79,12000.00, 5.71,-0.42,938,260352,10928,12760.47,0.31,0.47,48.54,
2023/06/22 19:34:34,994.73,1.58,84.60,86.00,3.80,11984.38, 5.71,-0.21,935,259584,10918,12734.67,0.31,0.47,48.56,
2023/06/22 19:34:40,994.76,1.57,84.66,86.25,3.79,12000.00, 5.69,-0.21,902,249088,11011,12771.53,0.18,0.44,48.47,
2023/06/22 19:34:46,994.90,1.55,84.71,86.25,3.79,12015.63, 5.92,-0.42,900,248320,11005,12773.38,0.20,0.44,48.41,
2023/06/22 19:34:52,994.88,1.55,84.72,86.25,3.79,12015.63, 6.11,-0.21,899,248064,11031,12769.69,0.20,0.44,48.36,
2023/06/22 19:34:58,994.74,1.53,84.81,86.25,3.79,12000.00, 5.90,-0.21,896,247040,10999,12758.63,0.21,0.44,48.35,
2023/06/22 19:35:04,994.80,1.52,84.87,86.25,3.79,11968.75, 5.92,-0.42,893,247040,10988,12734.67,0.20,0.44,48.34,
2023/06/22 19:35:10,994.68,1.48,84.97,86.50,3.79,11968.75, 5.95,0.00,895,247296,10981,12734.67,0.20,0.44,48.34,
2023/06/22 19:35:16,994.87,1.51,84.95,86.50,3.79,11968.75, 5.90,-0.21,891,245760,10992,12758.63,0.19,0.44,48.34,
2023/06/22 19:35:22,994.82,1.46,85.07,86.50,3.79,11968.75, 5.69,-0.21,891,246272,10982,12730.98,0.19,0.44,48.36,
2023/06/22 19:35:28,995.18,1.47,85.05,86.50,3.79,11968.75, 5.90,-0.42,891,246272,10989,12732.83,0.19,0.44,48.38,
2023/06/22 19:35:34,995.22,1.46,85.12,86.75,3.80,11953.13, 6.13,0.00,890,245760,10974,12703.33,0.19,0.43,48.38,
2023/06/22 19:35:40,995.09,1.46,85.13,86.50,3.80,11937.50, 5.71,-0.42,888,245760,10970,12714.39,0.18,0.43,48.41,
