Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/22 11:10:27,982.63,23.93,16.79,16.25,7.85,46.88,6.10,0.45,-73,-26112,0,0.00,0.25,0.25,13.12,
2024/10/22 11:10:29,982.67,23.89,16.81,16.50,7.85,46.88,5.87,0.36,-73,-26112,0,0.00,0.25,0.25,13.12,
2024/10/22 11:10:45,982.64,24.05,16.61,16.50,7.86,46.88,5.49,0.54,0,0,0,0.00,0.25,0.25,13.05,
2024/10/22 11:11:02,982.58,24.29,16.44,16.25,7.87,46.88,5.56,0.27,0,0,0,0.00,0.25,0.25,13.02,
2024/10/22 11:11:18,982.51,24.45,16.29,16.00,7.87,46.88,5.70,0.18,0,0,0,0.00,0.25,0.25,12.99,
2024/10/22 11:11:34,982.51,24.62,16.18,16.00,7.87,46.88,5.80,0.44,0,0,0,0.00,0.25,0.25,12.97,
2024/10/22 11:11:50,982.49,24.79,16.08,15.75,7.89,46.88,5.68,0.00,0,0,0,0.00,0.25,0.25,12.95,
2024/10/22 11:12:05,982.47,24.92,15.98,15.75,7.89,46.88,6.07,0.27,0,0,0,0.00,0.25,0.25,12.92,
2024/10/22 11:12:21,982.41,25.04,15.90,15.75,7.87,46.88,5.46,0.53,0,0,0,0.00,0.25,0.25,12.90,
2024/10/22 11:12:37,982.38,25.17,15.82,15.75,7.89,46.88,6.36,0.62,0,0,0,0.00,0.25,0.25,12.88,
2024/10/22 11:12:54,982.33,25.26,15.75,15.75,7.89,31.25,5.31,0.72,0,0,0,0.00,0.25,0.25,12.85,
2024/10/22 11:13:10,982.28,25.39,15.67,15.50,7.89,46.88,5.47,0.80,0,0,0,0.00,0.25,0.25,12.83,
2024/10/22 11:13:25,982.28,25.48,15.61,15.50,7.89,31.25,5.97,0.27,0,0,0,0.00,0.25,0.25,12.81,
2024/10/22 11:13:42,982.23,25.54,15.54,15.50,7.89,31.25,5.60,0.09,0,0,0,0.00,0.25,0.25,12.78,
2024/10/22 11:13:58,982.20,25.65,15.48,15.50,7.89,31.25,5.63,0.09,0,0,0,0.00,0.13,0.25,12.76,
2024/10/22 11:14:14,982.20,25.69,15.43,15.25,7.89,31.25,5.72,-0.36,0,0,0,0.00,0.25,0.25,12.74,
2024/10/22 11:14:30,982.20,25.82,15.38,15.25,7.89,46.88,5.46,0.45,0,0,0,0.00,0.25,0.25,12.73,
2024/10/22 11:14:46,982.21,25.87,15.32,15.25,7.89,31.25,4.98,0.27,0,0,0,0.00,0.25,0.25,12.71,
2024/10/22 11:15:02,982.15,25.94,15.28,15.25,7.89,31.25,6.30,0.88,0,0,0,0.00,0.25,0.25,12.69,
2024/10/22 11:15:18,982.16,25.98,15.24,15.00,7.89,46.88,5.78,0.09,0,0,0,0.00,0.25,0.25,12.68,
2024/10/22 11:15:34,982.09,26.05,15.19,15.00,7.89,46.88,6.02,0.09,0,0,0,0.00,0.25,0.25,12.66,
2024/10/22 11:15:50,982.15,26.15,15.16,15.00,7.90,46.88,5.14,0.53,0,0,0,0.00,0.25,0.25,12.65,
2024/10/22 11:16:06,982.23,26.18,15.12,15.00,7.90,46.88,4.92,0.36,0,0,0,0.00,0.25,0.25,12.64,
2024/10/22 11:16:22,982.23,26.23,15.08,14.75,7.90,46.88,5.60,0.00,0,0,0,0.00,0.25,0.25,12.63,
2024/10/22 11:16:38,982.21,26.29,15.05,15.00,7.90,46.88,6.17,1.16,0,0,0,0.00,0.25,0.25,12.62,
2024/10/22 11:16:54,982.14,26.34,15.02,15.00,7.90,46.88,5.58,-0.27,0,0,0,0.00,0.25,0.25,12.60,
2024/10/22 11:17:09,982.20,26.35,14.98,15.00,7.90,46.88,5.95,0.00,0,0,0,0.00,0.25,0.25,12.60,
2024/10/22 11:17:25,982.19,26.43,14.95,14.75,7.90,31.25,5.46,0.09,0,0,0,0.00,0.25,0.25,12.58,
2024/10/22 11:17:42,982.20,26.45,14.92,14.75,7.90,46.88,5.70,0.36,0,0,0,0.00,0.25,0.25,12.56,
2024/10/22 11:17:57,982.18,26.46,14.90,14.75,7.90,46.88,5.61,0.00,0,0,0,0.00,0.25,0.25,12.55,
2024/10/22 11:18:14,982.13,26.54,14.87,14.75,7.90,46.88,5.70,-0.27,0,0,0,0.00,0.25,0.25,12.54,
2024/10/22 11:18:30,982.14,26.57,14.85,14.75,7.90,46.88,5.55,0.62,0,0,0,0.00,0.25,0.25,12.53,
2024/10/22 11:18:46,982.12,26.64,14.82,14.75,7.90,46.88,5.38,0.62,0,0,0,0.00,0.25,0.25,12.52,
2024/10/22 11:19:02,982.09,26.64,14.79,14.75,7.90,46.88,5.07,0.00,0,0,0,0.00,0.25,0.25,12.50,
2024/10/22 11:19:18,982.02,26.69,14.77,14.75,7.90,46.88,6.10,0.18,0,0,0,0.00,0.25,0.25,12.48,
2024/10/22 11:19:34,982.05,26.66,14.75,14.50,7.90,46.88,5.64,-0.18,0,0,0,0.00,0.25,0.25,12.47,
2024/10/22 11:19:50,981.96,26.73,14.71,14.50,7.90,46.88,5.80,0.36,0,0,0,0.00,0.25,0.25,12.46,
2024/10/22 11:20:06,981.96,26.73,14.69,14.50,7.90,46.88,5.58,0.00,0,0,0,0.00,0.25,0.25,12.45,
2024/10/22 11:20:22,981.96,26.77,14.67,14.50,7.90,46.88,5.64,0.00,0,0,0,0.00,0.25,0.25,12.44,
2024/10/22 11:20:38,981.90,26.84,14.65,14.50,7.93,46.88,4.54,0.18,0,0,0,0.00,0.25,0.25,12.43,
2024/10/22 11:20:54,982.01,26.80,14.63,14.50,7.90,46.88,5.20,0.27,0,0,0,0.00,0.25,0.25,12.42,
