Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/03 23:18:05,976.77,12.47,60.67,60.50,2.90,1937.50, 3.79,-4.22,191,46080,3763,3859.66,0.03,0.07,29.75,
2023/07/03 23:18:08,976.67,12.50,60.61,60.50,2.90,1937.50, 3.55,-4.00,191,46080,3763,3859.66,0.03,0.07,29.75,
2023/07/03 23:18:14,976.53,12.67,60.38,60.25,2.93,1921.88, 3.78,-3.54,189,45568,3736,3808.05,0.03,0.07,29.37,
2023/07/03 23:18:20,976.31,12.77,60.23,60.00,2.94,1921.88, 3.78,-3.76,188,45056,3756,3811.74,0.04,0.07,29.05,
2023/07/03 23:18:26,976.06,12.85,60.11,60.00,2.94,1937.50, 4.00,-3.76,189,45824,3774,3819.11,0.04,0.07,29.08,
2023/07/03 23:18:32,975.77,12.96,59.92,59.75,2.94,1937.50, 3.98,-3.78,190,45824,3776,3830.17,0.04,0.07,29.06,
2023/07/03 23:18:38,975.57,13.06,59.77,59.50,2.94,2062.50, 3.95,-4.00,204,50432,4176,4161.95,0.04,0.08,29.05,
2023/07/03 23:18:44,975.54,13.15,59.64,59.50,2.94,2531.25, 3.78,-3.76,243,62976,5078,5019.03,0.06,0.10,29.04,
2023/07/03 23:18:50,975.44,13.15,59.62,59.50,2.94,3296.88, 3.76,-3.56,295,78336,6064,6060.44,0.09,0.14,28.98,
2023/07/03 23:18:56,975.46,13.17,59.59,59.50,2.94,4125.00, 3.98,-3.78,343,92928,6839,6875.14,0.11,0.17,28.97,
2023/07/03 23:19:02,975.60,13.18,59.56,59.50,2.94,4656.25, 3.97,-3.76,363,99328,7064,7225.34,0.12,0.19,28.94,
2023/07/03 23:19:08,975.81,13.13,59.61,59.50,2.94,5000.00, 3.99,-3.76,383,105472,7309,7542.37,0.13,0.20,28.64,
2023/07/03 23:19:14,975.71,13.15,59.58,59.75,2.94,5296.88, 4.00,-3.76,397,109824,7618,7700.89,0.14,0.21,28.39,
2023/07/03 23:19:20,975.80,13.16,59.56,59.50,2.93,5359.38, 3.97,-3.53,393,108800,7533,7647.44,0.14,0.21,28.48,
2023/07/03 23:19:34,975.84,13.19,59.49,59.50,2.91,4593.75, 3.98,-4.20,309,82688,6245,6268.72,0.10,0.15,27.80,
2023/07/03 23:19:40,975.65,13.36,59.26,59.25,2.90,2875.00, 3.56,-3.78,197,48640,4043,4077.16,0.04,0.07,27.15,
2023/07/03 23:19:46,975.36,13.48,59.09,59.00,2.90,2093.75, 4.00,-3.56,186,44800,3726,3773.03,0.04,0.07,26.79,
2023/07/03 23:19:52,975.15,13.63,58.89,58.75,2.91,1937.50, 3.54,-3.54,186,45056,3714,3763.81,0.04,0.07,27.02,
2023/07/03 23:19:58,975.01,13.77,58.68,58.50,2.90,1906.25, 3.79,-3.79,184,44288,3707,3752.76,0.04,0.07,26.08,
2023/07/03 23:20:42,973.54,14.49,57.63,57.25,2.90,1890.63, 3.55,-4.00,184,44288,3699,3749.07,0.04,0.07,25.52,
