Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/06 18:48:03,980.36,12.31,64.82,64.75,2.71,4750.00, 2.90,-4.48,400,101632,6674,7107.38,0.08,0.15,24.83,
2023/07/06 18:48:05,980.32,12.34,64.76,64.75,2.73,4781.25, 2.90,-4.70,400,101632,6674,7107.38,0.08,0.15,24.83,
2023/07/06 18:48:12,980.16,12.45,64.58,64.50,2.78,4828.13, 3.57,-4.67,416,104704,6707,7206.91,0.08,0.16,21.24,
2023/07/06 18:48:18,980.05,12.54,64.43,64.50,2.79,5031.25, 3.55,-4.21,432,108800,6858,7450.21,0.09,0.16,21.40,
2023/07/06 18:48:24,979.84,12.62,64.29,64.25,2.80,5171.88, 3.33,-4.00,441,111104,6951,7575.55,0.09,0.17,22.59,
2023/07/06 18:48:30,979.81,12.72,64.14,64.25,2.80,5093.75, 3.54,-4.22,437,110080,6883,7516.57,0.09,0.17,22.51,
2023/07/06 18:48:36,979.61,12.79,64.01,64.00,2.80,5187.50, 3.33,-4.02,448,112640,6990,7665.87,0.09,0.17,22.48,
2023/07/06 18:48:42,979.50,12.86,63.89,64.00,2.80,5390.63, 3.54,-4.46,463,116736,7169,7894.43,0.09,0.18,22.43,
2023/07/06 18:48:48,979.52,12.91,63.79,63.75,2.80,5578.13, 3.32,-4.22,479,120576,7291,8115.61,0.10,0.18,22.37,
2023/07/06 18:48:54,979.62,12.92,63.75,63.75,2.79,6375.00, 3.54,-3.78,560,142592,8041,9129.37,0.12,0.23,22.33,
2023/07/06 18:49:00,979.62,12.86,63.80,64.00,2.79,7953.13, 3.55,-4.21,654,168192,8787,10152.35,0.15,0.28,22.32,
