Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/02 17:28:57,989.63,7.48,77.80,79.00,3.14,12640.63, 5.01,-2.62,917,248064,10906,12941.11,0.31,0.46,39.59,
2023/07/02 17:29:00,989.94,7.45,77.93,79.00,3.14,12656.25, 4.81,-2.61,917,248064,10906,12941.11,0.31,0.46,39.59,
2023/07/02 17:29:06,989.85,7.37,77.99,79.25,3.15,12625.00, 4.78,-2.41,923,248064,10869,13132.80,0.31,0.46,38.06,
2023/07/02 17:29:12,990.18,7.28,78.19,79.25,3.15,12593.75, 4.56,-2.62,920,247808,10851,13094.09,0.31,0.46,37.74,
2023/07/02 17:29:18,990.29,7.28,78.27,79.50,3.15,12593.75, 5.00,-2.82,920,247296,10807,12952.17,0.31,0.46,37.81,
2023/07/02 17:29:24,990.22,7.21,78.40,79.50,3.15,12562.50, 4.56,-2.59,919,247040,10804,12858.16,0.31,0.46,37.59,
2023/07/02 17:29:30,990.44,7.19,78.48,79.75,3.15,12546.88, 4.36,-2.60,916,246272,10797,12834.20,0.31,0.46,37.47,
2023/07/02 17:29:36,990.48,7.13,78.55,79.75,3.15,12531.25, 4.81,-2.62,914,245248,10757,12777.06,0.31,0.46,37.30,
2023/07/02 17:29:42,990.62,7.01,78.76,80.00,3.15,12500.00, 4.58,-2.40,914,245504,10744,12828.67,0.31,0.45,37.14,
2023/07/02 17:29:48,990.83,7.07,78.72,80.00,3.15,12500.00, 4.80,-2.61,913,245504,10754,12784.43,0.30,0.45,37.08,
2023/07/02 17:29:54,990.64,6.99,78.92,80.00,3.15,12484.38, 5.01,-2.84,914,245504,10740,12795.49,0.31,0.45,37.06,
2023/07/02 17:30:00,990.78,6.96,78.93,80.00,3.14,12484.38, 4.60,-2.84,914,245248,10734,12766.00,0.31,0.45,37.03,
2023/07/02 17:30:06,990.73,6.89,79.07,80.25,3.14,12484.38, 4.58,-2.62,917,246016,10736,12766.00,0.30,0.45,37.02,
2023/07/02 17:30:12,990.77,6.87,79.16,80.25,3.14,12484.38, 4.80,-2.83,917,246272,10735,12754.94,0.31,0.46,36.99,
2023/07/02 17:30:18,990.85,6.84,79.21,80.25,3.14,12515.63, 4.58,-2.83,919,246272,10729,12767.85,0.31,0.46,38.37,
2023/07/02 17:30:24,990.89,6.78,79.42,80.50,3.14,12531.25, 4.81,-3.06,921,247296,10740,12812.08,0.31,0.46,38.34,
2023/07/02 17:30:30,990.90,6.70,79.56,80.75,3.14,12531.25, 4.58,-2.60,923,247552,10777,12804.71,0.31,0.46,37.86,
2023/07/02 17:30:36,990.83,6.68,79.52,80.75,3.14,12562.50, 4.58,-2.83,924,247552,10759,12753.10,0.31,0.46,37.82,
2023/07/02 17:30:42,990.85,6.61,79.73,81.00,3.14,12562.50, 4.80,-2.62,928,248832,10767,12799.18,0.31,0.46,37.76,
2023/07/02 17:30:48,990.94,6.58,79.80,81.00,3.14,12562.50, 4.80,-3.04,927,248576,10773,12841.57,0.31,0.46,37.74,
2023/07/02 17:30:54,990.95,6.59,79.87,81.25,3.14,12578.13, 4.58,-2.84,927,248832,10753,12804.71,0.31,0.46,37.68,
2023/07/02 17:31:00,991.05,6.51,79.96,81.25,3.14,12578.13, 4.58,-2.83,926,248576,10771,12832.36,0.31,0.46,37.64,
2023/07/02 17:31:06,991.14,6.50,80.01,81.25,3.14,12562.50, 4.60,-3.05,925,248576,10773,12863.69,0.31,0.46,37.62,
2023/07/02 17:31:12,991.15,6.40,80.19,81.50,3.14,12562.50, 4.59,-3.05,926,248576,10775,12861.85,0.31,0.46,37.41,
2023/07/02 17:31:18,991.05,6.40,80.21,81.50,3.14,12531.25, 4.36,-2.84,924,247552,10756,12889.50,0.31,0.46,37.57,
2023/07/02 17:31:24,991.01,6.37,80.30,81.50,3.14,12500.00, 4.61,-3.06,922,247040,10766,12992.72,0.31,0.46,37.35,
2023/07/02 17:31:30,991.06,6.34,80.35,81.50,3.14,12468.75, 4.60,-2.62,924,247808,10758,12966.91,0.31,0.46,37.09,
2023/07/02 17:31:36,990.84,6.28,80.52,81.75,3.14,12484.38, 4.16,-2.83,922,247296,10765,12918.99,0.31,0.46,36.92,
2023/07/02 17:31:42,991.03,6.25,80.59,81.75,3.14,12500.00, 4.80,-2.83,923,247552,10764,13105.15,0.31,0.46,36.90,
2023/07/02 17:31:48,991.21,6.24,80.62,81.75,3.14,12515.63, 4.58,-3.05,925,247808,10771,12955.85,0.31,0.46,36.84,
2023/07/02 17:31:54,991.05,6.17,80.76,82.00,3.14,12531.25, 4.78,-2.60,924,247552,10758,13011.15,0.31,0.46,36.68,
2023/07/02 17:32:00,991.12,6.14,80.84,82.00,3.14,12515.63, 4.56,-2.82,924,247552,10770,13073.82,0.31,0.46,36.61,
2023/07/02 17:32:06,991.32,6.09,80.95,82.25,3.14,12500.00, 4.60,-2.83,923,246784,10788,13049.86,0.31,0.46,36.57,
2023/07/02 17:32:12,991.20,6.09,80.93,82.25,3.14,12484.38, 4.56,-3.04,924,247296,10752,13129.11,0.31,0.46,36.51,
2023/07/02 17:32:18,991.05,6.04,81.10,82.25,3.14,12500.00, 4.34,-3.26,923,247040,10758,13086.72,0.31,0.46,36.51,
2023/07/02 17:32:24,991.04,6.00,81.18,82.50,3.14,12468.75, 4.36,-2.84,923,247040,10757,12802.87,0.31,0.46,36.56,
2023/07/02 17:32:30,991.24,5.98,81.24,82.50,3.14,12453.13, 4.58,-2.83,920,246528,10765,12821.30,0.31,0.46,36.54,
2023/07/02 17:32:36,991.22,5.98,81.24,82.50,3.14,12468.75, 4.81,-2.83,922,246784,10776,12594.58,0.31,0.46,36.53,
2023/07/02 17:32:42,991.08,5.93,81.35,82.50,3.14,12484.38, 4.80,-2.83,923,247552,10782,12548.51,0.31,0.46,36.61,
2023/07/02 17:32:48,991.05,5.88,81.47,82.75,3.14,12500.00, 4.80,-2.84,927,248320,10794,12729.14,0.31,0.46,37.98,
2023/07/02 17:32:54,991.00,5.88,81.50,82.50,3.13,12531.25, 4.60,-2.82,926,247808,10804,12710.71,0.31,0.46,37.99,
2023/07/02 17:33:00,990.83,5.87,81.51,82.75,3.14,12531.25, 4.58,-3.05,925,247552,10793,12668.31,0.31,0.46,37.98,
2023/07/02 17:33:06,990.58,5.82,81.60,82.75,3.14,12515.63, 4.58,-2.83,926,247808,10810,12756.79,0.31,0.46,37.98,
2023/07/02 17:33:12,990.56,5.85,81.56,83.00,3.14,12531.25, 4.56,-3.04,928,248320,10835,12719.92,0.31,0.46,37.53,
2023/07/02 17:33:18,990.36,5.74,81.78,83.00,3.14,12562.50, 4.58,-2.62,927,248320,10817,12576.15,0.31,0.46,37.52,
2023/07/02 17:33:24,990.23,5.78,81.73,83.00,3.14,12531.25, 4.58,-2.40,928,248320,10801,12601.96,0.31,0.46,37.51,
2023/07/02 17:33:30,990.03,5.71,81.87,83.00,3.13,12515.63, 4.60,-2.82,928,248320,10807,12530.07,0.31,0.46,37.52,
2023/07/02 17:33:36,990.14,5.73,81.83,83.00,3.13,12531.25, 4.78,-2.82,927,248320,10812,12531.92,0.31,0.46,37.52,
2023/07/02 17:33:42,990.04,5.68,81.94,83.00,3.14,12531.25, 4.81,-2.62,927,248064,10822,12522.70,0.31,0.46,37.54,
2023/07/02 17:33:48,989.98,5.63,82.04,83.25,3.13,12531.25, 4.60,-2.83,930,249088,10856,12596.43,0.31,0.46,37.54,
2023/07/02 17:33:54,990.06,5.59,82.15,83.25,3.13,12578.13, 4.58,-3.05,932,249600,10881,12666.47,0.31,0.46,37.37,
2023/07/02 17:34:00,989.87,5.58,82.19,83.50,3.13,12625.00, 4.60,-2.40,938,251392,10947,12836.04,0.31,0.46,37.39,
2023/07/02 17:34:06,990.11,5.56,82.21,83.50,3.13,12671.88, 4.33,-3.04,943,252160,10968,13387.16,0.31,0.47,37.15,
2023/07/02 17:34:12,990.05,5.50,82.37,83.75,3.13,12687.50, 4.36,-2.83,945,252928,10966,13486.69,0.31,0.47,37.10,
2023/07/02 17:34:18,990.03,5.54,82.28,83.75,3.13,12703.13, 4.38,-2.83,946,253440,10958,13073.82,0.31,0.47,37.04,
2023/07/02 17:34:24,990.18,5.47,82.45,83.75,3.13,12718.75, 4.58,-3.05,946,252928,10941,13005.62,0.31,0.47,36.89,
2023/07/02 17:34:30,990.24,5.41,82.59,83.75,3.13,12750.00, 4.56,-2.62,946,253184,10965,12972.44,0.31,0.47,36.84,
2023/07/02 17:34:36,990.31,5.44,82.54,83.75,3.13,12750.00, 4.58,-3.04,949,254208,10931,12946.64,0.31,0.47,36.77,
2023/07/02 17:34:42,990.39,5.40,82.64,84.00,3.13,12765.63, 4.82,-2.62,952,254464,10929,12939.26,0.31,0.47,36.98,
2023/07/02 17:34:48,990.38,5.34,82.78,84.00,3.13,12765.63, 4.60,-2.83,952,254464,10969,12977.97,0.31,0.47,36.88,
2023/07/02 17:34:54,990.42,5.35,82.77,84.00,3.13,12796.88, 4.56,-2.83,951,253952,10941,12979.81,0.31,0.47,36.81,
2023/07/02 17:35:00,990.40,5.33,82.83,84.25,3.13,12781.25, 4.60,-3.04,955,254976,10921,12972.44,0.31,0.47,36.83,
2023/07/02 17:35:06,990.43,5.30,82.90,84.25,3.13,12781.25, 4.15,-2.83,953,254720,10905,12970.60,0.31,0.47,36.85,
2023/07/02 17:35:12,990.33,5.29,82.93,84.25,3.13,12781.25, 4.58,-3.05,951,253952,10948,12885.81,0.31,0.47,36.80,
2023/07/02 17:35:18,990.33,5.27,82.98,84.25,3.13,12765.63, 4.56,-3.06,951,254208,10921,12931.89,0.31,0.47,38.26,
2023/07/02 17:35:24,990.20,5.27,83.00,84.25,3.13,12750.00, 4.56,-2.39,952,254464,10924,12941.11,0.31,0.47,37.81,
