Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV]
2023/03/02 18:33:51,984.66,20.70,21.29,21.00,2.79,171.88
2023/03/02 18:33:55,984.67,19.13,21.28,21.00,2.79,171.88
2023/03/02 18:34:00,984.65,18.38,21.30,21.00,2.79,171.88
2023/03/02 18:34:05,984.70,17.80,21.33,21.00,2.79,171.88
2023/03/02 18:34:10,984.60,17.60,21.36,21.00,2.79,171.88
2023/03/02 18:34:15,984.67,17.39,21.38,21.25,2.79,171.88
2023/03/02 18:34:20,984.66,17.45,21.40,21.25,2.79,171.88
2023/03/02 18:34:25,984.64,17.32,21.43,21.25,2.79,171.88
2023/03/02 18:34:30,984.63,17.30,21.44,21.25,2.79,171.88
2023/03/02 18:34:35,984.68,17.23,21.47,21.25,2.79,171.88
2023/03/02 18:34:40,984.62,17.19,21.49,21.25,2.79,171.88
2023/03/02 18:34:46,984.62,17.13,21.52,21.25,2.79,171.88
2023/03/02 18:34:51,984.63,17.20,21.54,21.25,2.79,171.88
2023/03/02 18:34:56,984.67,17.34,21.56,21.25,2.79,171.88
2023/03/02 18:35:01,984.67,17.31,21.57,21.25,2.79,171.88
2023/03/02 18:35:06,984.63,17.35,21.58,21.25,2.79,171.88
2023/03/02 18:35:11,984.57,17.38,21.60,21.25,2.79,171.88
2023/03/02 18:35:16,984.56,17.43,21.62,21.25,2.79,171.88
2023/03/02 18:35:21,984.63,17.55,21.63,21.25,2.79,171.88
2023/03/02 18:35:26,984.65,17.47,21.65,21.50,2.79,171.88
2023/03/02 18:35:31,984.61,17.40,21.66,21.25,2.79,171.88
2023/03/02 18:35:36,984.63,17.49,21.68,21.25,2.79,171.88
2023/03/02 18:35:41,984.55,17.42,21.69,21.50,2.79,171.88
2023/03/02 18:35:46,984.56,17.44,21.70,21.25,2.79,171.88
2023/03/02 18:35:51,984.57,17.45,21.72,21.50,2.79,171.88
