Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/04 00:17:22,979.26,18.02,50.47,50.25,2.82,2828.13, 3.33,-4.68,214,58112,5196,5138.84,0.06,0.11,26.08,
2023/07/04 00:17:25,979.25,18.02,50.47,50.25,2.82,2828.13, 3.12,-4.24,214,58112,5196,5138.84,0.06,0.11,26.08,
2023/07/04 00:17:31,979.33,18.08,50.42,50.25,2.86,2812.50, 3.57,-3.76,213,57856,5116,5046.68,0.06,0.11,24.60,
2023/07/04 00:17:37,979.27,18.11,50.38,50.25,2.86,2796.88, 3.56,-4.44,211,57344,5108,5011.66,0.06,0.11,24.51,
2023/07/04 00:17:43,979.22,18.12,50.35,50.25,2.86,2796.88, 3.35,-4.02,211,57088,5102,5019.03,0.06,0.11,24.33,
2023/07/04 00:17:49,979.21,18.16,50.31,50.25,2.86,2796.88, 3.78,-3.98,210,57088,5117,5019.03,0.06,0.11,24.45,
2023/07/04 00:17:55,979.16,18.17,50.29,50.25,2.86,2859.38, 3.54,-4.00,216,59136,5260,5114.88,0.06,0.12,24.28,
2023/07/04 00:18:01,979.18,18.17,50.28,50.00,2.87,3031.25, 3.78,-4.00,227,63232,5537,5348.97,0.07,0.13,24.62,
2023/07/04 00:18:07,979.30,18.15,50.29,50.00,2.86,3343.75, 3.56,-3.78,244,69120,5891,5632.82,0.09,0.14,24.31,
2023/07/04 00:18:13,979.39,18.12,50.33,50.25,2.86,3671.88, 3.78,-3.99,260,75008,6188,5894.55,0.10,0.16,24.18,
