Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/21 19:49:53,983.73,11.48,51.95,52.00,4.19,4812.50,6.85,1.06,-69,-25088,7961,0.00,154.88,202.88,38.39,
2024/10/21 19:49:56,983.76,11.50,51.98,52.25,4.20,4812.50,6.78,0.09,-69,-25088,7961,0.00,154.88,202.88,38.39,
2024/10/21 19:50:12,983.91,11.61,51.81,52.00,4.20,4781.25,6.45,0.27,-69,-25344,7991,0.00,156.13,204.00,38.32,
2024/10/21 19:50:28,983.74,11.73,51.65,52.00,4.20,4718.75,6.22,0.62,-69,-25088,7944,0.00,154.38,201.63,38.30,
2024/10/21 19:50:44,983.73,11.87,51.46,51.75,4.20,4687.50,5.61,0.53,-69,-25088,7915,0.00,153.38,200.38,38.27,
2024/10/21 19:51:00,983.86,11.94,51.37,51.75,4.19,4703.13,6.59,0.54,-69,-25344,7968,0.00,154.75,202.13,38.25,
2024/10/21 19:51:16,984.04,12.01,51.28,51.75,4.20,4750.00,6.77,0.71,-69,-25088,8001,0.00,156.00,203.50,38.25,
2024/10/21 19:51:32,984.09,12.08,51.20,51.50,4.19,4750.00,6.16,0.81,-69,-25088,8007,0.00,156.38,203.88,38.24,
2024/10/21 19:51:48,984.25,12.14,51.13,51.50,4.21,4750.00,5.78,0.44,-69,-25344,7992,0.00,156.13,203.75,38.22,
2024/10/21 19:52:04,984.24,12.20,51.07,51.50,4.21,4671.88,6.03,0.09,-69,-25088,7897,0.00,152.50,199.38,38.21,
2024/10/21 19:52:20,984.35,12.26,50.99,51.50,4.20,4562.50,6.31,0.27,-69,-25088,7786,0.00,148.75,194.75,38.17,
2024/10/21 19:52:36,984.32,12.34,50.91,51.25,4.20,4531.25,5.99,-0.44,-69,-25088,7811,0.00,146.63,192.25,38.15,
2024/10/21 19:52:52,984.13,12.40,50.84,51.25,4.21,4453.13,5.29,0.09,-69,-25344,7682,0.00,144.38,189.38,38.12,
2024/10/21 19:53:08,984.15,12.46,50.76,51.00,4.21,4375.00,6.23,0.63,-69,-25088,7600,0.00,141.38,185.63,38.08,
2024/10/21 19:53:24,983.98,12.53,50.68,51.00,4.21,4296.88,6.19,0.70,-69,-25088,7482,0.00,138.38,182.00,38.05,
2024/10/21 19:53:40,983.70,12.60,50.59,51.00,4.20,4234.38,6.42,1.25,-69,-25344,7507,0.00,136.63,179.88,38.01,
2024/10/21 19:53:56,983.63,12.66,50.50,50.75,4.21,4218.75,5.74,0.26,-69,-25344,7495,0.00,135.88,179.13,37.97,
2024/10/21 19:54:12,983.54,12.70,50.43,50.75,4.20,4156.25,5.16,0.53,-69,-25088,7379,0.00,133.88,176.63,37.91,
2024/10/21 19:54:28,983.50,12.76,50.34,50.75,4.21,4109.38,5.95,0.36,-69,-25344,7342,0.00,132.50,174.88,37.86,
2024/10/21 19:54:44,983.43,12.81,50.25,50.75,4.21,4109.38,5.43,0.62,-69,-25344,7341,0.00,132.75,175.00,37.81,
2024/10/21 19:55:00,983.37,12.88,50.17,50.50,4.20,4156.25,6.54,0.45,-69,-25088,7406,0.00,134.63,177.38,37.76,
2024/10/21 19:55:16,983.15,12.93,50.11,50.50,4.20,4250.00,6.69,0.27,-69,-25344,7488,0.00,138.38,181.88,37.73,
2024/10/21 19:55:32,983.19,12.99,50.00,50.50,4.20,4312.50,6.60,0.45,-69,-25088,7570,0.00,140.88,184.88,37.71,
2024/10/21 19:55:48,983.36,13.02,49.98,50.25,4.20,4343.75,6.59,0.62,-69,-25088,7562,0.00,141.13,185.25,37.69,
2024/10/21 19:56:04,983.22,13.01,49.92,50.25,4.20,4265.63,5.95,0.18,-69,-25344,7494,0.00,138.63,181.88,37.67,
2024/10/21 19:56:20,983.10,13.05,49.87,50.25,4.21,4234.38,6.10,0.18,-69,-25088,7463,0.00,138.00,181.13,37.64,
2024/10/21 19:56:36,982.96,13.11,49.82,50.00,4.20,4250.00,5.13,0.44,-69,-25344,7502,0.00,138.75,182.25,37.61,
2024/10/21 19:56:52,982.93,13.13,49.77,50.25,4.20,4250.00,6.42,0.36,-69,-25088,7497,0.00,138.63,182.00,37.58,
2024/10/21 19:57:08,982.94,13.16,49.71,50.00,4.20,4250.00,5.73,0.09,-69,-25088,7474,0.00,137.88,181.13,37.55,
2024/10/21 19:57:24,982.82,13.21,49.65,50.00,4.20,4234.38,5.93,0.63,-69,-25344,7446,0.00,137.25,180.25,37.52,
2024/10/21 19:57:40,982.65,13.23,49.59,50.00,4.21,4187.50,6.86,0.00,-69,-25344,7411,0.00,135.75,178.38,37.50,
2024/10/21 19:57:56,982.52,13.24,49.53,49.75,4.21,4156.25,6.15,-0.09,-69,-25344,7427,0.00,135.13,177.63,37.47,
2024/10/21 19:58:12,982.47,13.28,49.46,49.75,4.20,4187.50,7.08,0.18,-69,-25088,7429,0.00,137.00,179.88,37.45,
2024/10/21 19:58:28,982.50,13.33,49.43,49.75,4.21,4296.88,5.40,0.09,-69,-25344,7541,0.00,140.75,184.25,37.44,
2024/10/21 19:58:44,982.43,13.34,49.38,49.75,4.21,4312.50,6.33,0.35,-69,-25088,7559,0.00,140.75,184.25,37.43,
2024/10/21 19:59:00,982.32,13.37,49.33,49.75,4.20,4281.25,5.96,0.53,-69,-25344,7515,0.00,139.75,182.88,37.43,
2024/10/21 19:59:16,982.04,13.37,49.27,49.75,4.21,4250.00,7.22,0.00,-69,-25088,7494,0.00,138.88,182.00,37.42,
2024/10/21 19:59:32,982.06,13.42,49.21,49.50,4.21,4218.75,6.62,0.09,-69,-25344,7438,0.00,137.38,180.13,37.41,
2024/10/21 19:59:48,982.04,13.44,49.14,49.50,4.21,4203.13,6.21,0.18,-69,-25088,7422,0.00,136.38,179.13,37.41,
2024/10/21 20:00:04,981.95,13.47,49.08,49.50,4.21,4171.88,6.35,0.45,-69,-25344,7373,0.00,135.38,177.88,37.39,
2024/10/21 20:00:20,981.87,13.54,48.97,49.25,4.21,4140.63,6.25,0.18,-69,-25088,7399,0.00,134.63,177.13,37.39,
2024/10/21 20:00:36,981.84,13.59,48.92,49.25,4.21,4109.38,5.94,0.45,-69,-25088,7339,0.00,132.63,174.63,37.38,
2024/10/21 20:00:52,981.77,13.62,48.82,49.25,4.21,4046.88,6.60,0.18,-69,-25088,7274,0.00,130.75,172.38,37.37,
2024/10/21 20:01:08,981.74,13.70,48.70,49.00,4.20,4000.00,6.23,0.18,-69,-25344,7241,0.00,129.63,171.00,37.36,
2024/10/21 20:01:24,981.79,13.79,48.62,49.00,4.21,3984.38,5.96,0.18,-69,-25344,7223,0.00,129.00,170.25,37.38,
2024/10/21 20:01:40,981.87,13.84,48.52,48.75,4.21,3953.13,5.47,0.53,-69,-25088,7176,0.00,127.75,168.50,37.36,
2024/10/21 20:01:56,981.86,13.87,48.45,48.75,4.21,4000.00,5.69,0.18,-69,-25088,7243,0.00,130.00,171.25,37.36,
2024/10/21 20:02:12,981.97,13.88,48.42,48.75,4.21,4062.50,6.32,0.54,-69,-25088,7353,0.00,132.63,174.50,37.35,
2024/10/21 20:02:28,982.01,13.94,48.36,48.75,4.21,4109.38,5.35,0.63,-69,-25088,7348,0.00,134.50,176.75,37.35,
2024/10/21 20:02:44,981.99,13.99,48.28,48.50,4.21,4125.00,6.50,0.35,-69,-25344,7373,0.00,134.63,177.00,37.35,
2024/10/21 20:03:00,982.16,14.00,48.24,48.50,4.21,4093.75,5.70,0.27,-69,-25088,7424,0.00,133.50,175.75,37.35,
2024/10/21 20:03:16,982.18,14.05,48.18,48.50,4.21,4093.75,5.43,0.09,-69,-25344,7409,0.00,133.25,175.38,37.35,
2024/10/21 20:03:32,982.33,14.07,48.14,48.50,4.21,4078.13,5.92,0.09,-69,-25344,7388,0.00,133.25,175.25,37.34,
2024/10/21 20:03:48,982.40,14.09,48.12,48.50,4.21,4062.50,6.20,0.09,-69,-25088,7411,0.00,133.00,174.88,37.34,
2024/10/21 20:04:04,982.54,14.16,48.03,48.50,4.21,4062.50,6.27,0.27,-69,-25088,7385,0.00,133.50,175.38,37.32,
2024/10/21 20:04:20,982.72,14.13,48.06,48.25,4.21,4109.38,6.05,0.45,-69,-25088,7352,0.00,134.50,176.63,37.32,
2024/10/21 20:04:36,982.73,14.14,48.03,48.50,4.21,4125.00,5.74,0.27,-69,-25088,7381,0.00,135.63,177.75,37.33,
2024/10/21 20:04:52,982.79,14.14,48.02,48.50,4.21,4171.88,6.20,0.09,-69,-25344,7462,0.00,137.63,180.25,37.32,
2024/10/21 20:05:08,982.86,14.14,48.02,48.50,4.21,4203.13,6.04,0.53,-69,-25344,7489,0.00,139.13,182.00,37.32,
2024/10/21 20:05:24,983.13,14.11,48.07,48.50,4.21,4265.63,6.24,0.54,-69,-25088,7560,0.00,140.75,184.00,37.33,
2024/10/21 20:05:40,983.24,14.08,48.07,48.50,4.21,4296.88,6.35,0.44,-69,-25344,7613,0.00,141.88,185.38,37.34,
2024/10/21 20:05:56,983.35,14.07,48.09,48.50,4.21,4312.50,6.33,0.09,-69,-25088,7597,0.00,143.00,186.63,37.35,
2024/10/21 20:06:12,983.34,14.06,48.10,48.50,4.21,4359.38,6.33,0.18,-69,-25088,7609,0.00,144.25,188.13,37.35,
2024/10/21 20:06:28,983.45,14.03,48.11,48.50,4.21,4390.63,6.33,0.00,-69,-25088,7658,0.00,145.75,190.00,37.36,
2024/10/21 20:06:44,983.35,14.00,48.16,48.50,4.21,4406.25,7.23,0.18,-69,-25088,7667,0.00,145.88,190.13,37.37,
2024/10/21 20:07:00,983.46,13.96,48.18,48.50,4.21,4390.63,5.92,0.53,-69,-25088,7663,0.00,145.25,189.50,37.39,
2024/10/21 20:07:16,983.49,13.96,48.19,48.50,4.21,4375.00,6.73,0.26,-69,-25088,7623,0.00,144.50,188.63,37.40,
2024/10/21 20:07:32,983.61,13.90,48.23,48.75,4.21,4375.00,6.29,0.54,-69,-25088,7631,0.00,144.50,188.75,37.41,
2024/10/21 20:07:48,983.71,13.89,48.26,48.75,4.21,4359.38,6.45,-0.27,-69,-25088,7620,0.00,144.25,188.50,37.42,
2024/10/21 20:08:04,983.99,13.90,48.26,48.75,4.21,4406.25,6.02,0.18,-69,-25088,7678,0.00,146.00,190.63,37.43,
2024/10/21 20:08:20,983.96,13.87,48.31,48.75,4.21,4437.50,5.91,0.45,-69,-25088,7704,0.00,146.88,191.75,37.45,
2024/10/21 20:08:36,983.94,13.82,48.34,48.75,4.21,4437.50,6.23,0.09,-69,-25088,7699,0.00,146.63,191.38,37.47,
2024/10/21 20:08:52,984.01,13.85,48.36,48.75,4.21,4390.63,5.78,1.25,-69,-25088,7656,0.00,145.38,189.88,37.49,
2024/10/21 20:09:08,984.24,13.78,48.41,48.75,4.21,4359.38,6.16,0.27,-69,-25088,7611,0.00,143.88,187.88,37.51,
2024/10/21 20:09:24,984.29,13.75,48.43,48.75,4.21,4328.13,5.20,0.44,-69,-25088,7651,0.00,143.13,187.25,37.52,
2024/10/21 20:09:40,984.38,13.74,48.46,48.75,4.21,4343.75,5.62,0.36,-69,-25088,7642,0.00,143.38,187.50,37.52,
2024/10/21 20:09:56,984.33,13.71,48.49,49.00,4.21,4390.63,6.05,0.36,-69,-25344,7676,0.00,146.00,190.75,37.53,
2024/10/21 20:10:12,984.41,13.68,48.53,49.00,4.21,4468.75,5.88,0.54,-69,-25088,7746,0.00,148.50,193.75,37.56,
2024/10/21 20:10:28,984.48,13.66,48.56,49.00,4.21,4468.75,6.68,0.52,-69,-25088,7760,0.00,148.63,193.88,37.57,
2024/10/21 20:10:44,984.58,13.61,48.61,49.00,4.21,4500.00,6.34,0.09,-69,-25088,7797,0.00,150.13,195.75,37.58,
2024/10/21 20:11:00,984.69,13.56,48.66,49.00,4.21,4578.13,6.23,0.36,-69,-25088,7881,0.00,152.63,198.63,37.61,
2024/10/21 20:11:16,984.72,13.52,48.72,49.00,4.21,4593.75,6.45,-0.36,-69,-25088,7967,0.00,153.50,199.88,37.63,
2024/10/21 20:11:32,984.94,13.49,48.76,49.25,4.21,4609.38,6.19,0.09,-69,-25088,7911,0.00,153.88,200.13,37.65,
2024/10/21 20:11:48,984.94,13.46,48.81,49.25,4.21,4609.38,5.59,0.27,-69,-25088,7911,0.00,153.75,200.13,37.66,
2024/10/21 20:12:04,985.03,13.43,48.87,49.25,4.21,4609.38,4.88,0.54,-69,-25088,7932,0.00,153.63,199.88,37.67,
2024/10/21 20:12:20,984.89,13.37,48.90,49.50,4.21,4593.75,6.35,0.18,-69,-25088,7889,0.00,152.25,198.38,37.68,
2024/10/21 20:12:36,984.79,13.41,48.92,49.50,4.21,4515.63,6.19,0.18,-69,-25088,7771,0.00,148.88,194.50,37.68,
2024/10/21 20:12:52,984.67,13.34,48.95,49.25,4.21,4468.75,5.54,0.36,-69,-25088,7726,0.00,147.13,192.38,37.67,
2024/10/21 20:13:08,984.44,13.30,48.96,49.50,4.21,4406.25,6.32,0.72,-69,-25088,7680,0.00,145.63,190.75,37.64,
2024/10/21 20:13:24,984.27,13.34,48.98,49.25,4.21,4328.13,5.64,0.26,-69,-25088,7665,0.00,142.25,186.88,37.62,
