Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/20 12:03:44,991.65,23.45,13.49,13.00,8.14,62.50,5.73,0.09,0,0,0,0.00,0.25,0.25,10.11,
2024/10/20 12:03:46,991.64,23.41,13.52,13.25,8.14,62.50,6.16,0.62,0,0,0,0.00,0.25,0.25,10.11,
2024/10/20 12:04:03,991.63,23.55,13.32,13.00,8.15,46.88,5.38,0.18,0,0,0,0.00,0.25,0.25,10.09,
2024/10/20 12:04:19,991.68,23.72,13.15,13.00,8.17,62.50,5.61,0.09,0,0,0,0.00,0.25,0.25,10.08,
2024/10/20 12:04:35,991.66,23.95,13.00,12.75,8.17,62.50,5.19,0.36,0,0,0,0.00,0.25,0.25,10.06,
2024/10/20 12:04:51,991.79,24.14,12.89,12.75,8.17,62.50,5.28,-0.18,0,0,0,0.00,0.25,0.25,10.05,
2024/10/20 12:05:07,991.76,24.28,12.80,12.75,8.17,62.50,5.36,0.54,0,0,0,0.00,0.25,0.25,10.04,
2024/10/20 12:05:23,991.82,24.46,12.72,12.50,8.17,62.50,5.50,0.27,0,0,1,0.00,0.25,0.25,10.03,
2024/10/20 12:05:39,991.73,24.53,12.65,12.50,8.18,62.50,5.47,0.18,0,0,1,0.00,0.25,0.25,10.03,
2024/10/20 12:05:55,991.75,24.63,12.59,12.50,8.18,62.50,5.18,0.09,0,0,1,0.00,0.25,0.25,10.03,
2024/10/20 12:06:11,991.73,24.72,12.53,12.50,8.18,46.88,4.91,-0.09,0,0,1,0.00,0.25,0.25,10.02,
2024/10/20 12:06:27,991.70,24.83,12.47,12.25,8.18,62.50,5.78,0.27,0,0,1,0.00,0.25,0.25,10.01,
2024/10/20 12:06:43,991.71,24.93,12.42,12.25,8.18,46.88,5.02,0.18,0,0,1,0.00,0.25,0.25,10.00,
2024/10/20 12:06:59,991.65,25.01,12.38,12.25,8.18,46.88,5.77,0.18,0,0,1,0.00,0.25,0.25,10.00,
2024/10/20 12:07:15,991.69,25.10,12.33,12.25,8.18,46.88,5.44,0.09,0,0,1,0.00,0.25,0.25,10.00,
2024/10/20 12:07:31,991.70,25.12,12.29,12.25,8.18,62.50,4.94,0.27,0,0,1,0.00,0.25,0.25,9.98,
2024/10/20 12:07:47,991.74,25.23,12.25,12.25,8.18,62.50,5.32,0.09,0,0,1,0.00,0.25,0.25,9.98,
2024/10/20 12:08:03,991.78,25.29,12.21,12.00,8.21,62.50,5.17,-0.80,0,0,1,0.00,0.25,0.25,9.98,
2024/10/20 12:08:19,991.74,25.32,12.18,12.00,8.18,62.50,5.23,0.45,0,0,2,0.00,0.25,0.25,9.97,
2024/10/20 12:08:35,991.66,25.36,12.14,12.00,8.19,46.88,5.65,0.09,0,0,2,0.00,0.25,0.25,9.97,
2024/10/20 12:08:51,991.66,25.45,12.12,12.00,8.18,62.50,5.72,0.09,0,0,2,0.00,0.25,0.25,9.96,
2024/10/20 12:09:07,991.62,25.51,12.08,12.00,8.18,46.88,5.68,0.27,0,0,2,0.00,0.25,0.25,9.95,
2024/10/20 12:09:23,991.62,25.56,12.05,12.00,8.18,46.88,5.83,0.18,0,0,2,0.00,0.25,0.25,9.95,
2024/10/20 12:09:39,991.62,25.60,12.01,12.00,8.19,46.88,5.57,0.00,0,0,3,0.00,0.25,0.25,9.95,
2024/10/20 12:09:55,991.61,25.69,12.00,11.75,8.19,46.88,5.65,0.36,0,0,3,0.00,0.25,0.25,9.94,
2024/10/20 12:10:11,991.54,25.71,11.97,11.75,8.19,46.88,5.90,0.27,0,0,3,0.00,0.25,0.25,9.94,
2024/10/20 12:10:27,991.61,25.73,11.93,11.75,8.19,62.50,5.40,0.00,0,0,4,0.00,0.25,0.25,9.94,
2024/10/20 12:10:43,991.65,25.79,11.92,11.75,8.19,46.88,5.61,0.36,0,0,4,0.00,0.25,0.25,9.94,
2024/10/20 12:10:59,991.79,25.84,11.91,11.75,8.19,46.88,5.63,0.18,0,0,4,0.00,0.25,0.25,9.94,
2024/10/20 12:11:15,991.83,25.91,11.88,11.75,8.19,46.88,4.98,0.18,0,0,4,0.00,0.25,0.25,9.95,
2024/10/20 12:11:31,991.83,25.96,11.87,11.50,8.19,62.50,5.55,0.45,0,0,5,0.00,0.25,0.25,9.96,
2024/10/20 12:11:47,991.88,26.02,11.86,11.75,8.19,62.50,6.13,0.53,0,0,5,0.00,0.25,0.25,9.96,
2024/10/20 12:12:03,991.82,26.11,11.84,11.75,8.19,62.50,5.46,0.18,0,0,5,0.00,0.25,0.25,9.97,
2024/10/20 12:12:19,991.80,26.12,11.83,11.75,8.19,62.50,5.42,0.54,0,0,5,0.00,0.25,0.25,9.97,
2024/10/20 12:12:35,991.88,26.13,11.81,11.75,8.19,62.50,5.85,0.18,0,0,6,0.00,0.25,0.25,9.98,
2024/10/20 12:12:51,991.84,26.24,11.79,11.75,8.19,62.50,5.76,0.81,0,0,6,0.00,0.25,0.25,9.99,
2024/10/20 12:13:07,991.74,26.28,11.78,11.75,8.19,62.50,5.93,0.09,0,0,6,0.00,0.25,0.25,9.99,
2024/10/20 12:13:23,991.77,26.28,11.77,11.50,8.19,62.50,5.74,0.18,0,0,7,0.00,0.25,0.25,10.00,
2024/10/20 12:13:39,991.71,26.32,11.75,11.75,8.19,62.50,5.38,-0.27,0,0,7,0.00,0.25,0.25,10.00,
2024/10/20 12:13:55,991.66,26.28,11.74,11.50,8.19,62.50,4.66,0.18,0,0,8,0.00,0.25,0.25,9.99,
2024/10/20 12:14:11,991.58,26.29,11.73,11.75,8.19,46.88,5.15,0.27,0,0,8,0.00,0.25,0.25,9.99,
2024/10/20 12:14:27,991.62,26.27,11.72,11.50,8.19,62.50,5.58,0.09,0,0,8,0.00,0.25,0.25,9.98,
2024/10/20 12:14:43,991.63,26.30,11.71,11.50,8.19,46.88,5.21,0.00,0,0,9,0.00,0.25,0.25,9.98,
2024/10/20 12:14:59,991.63,26.27,11.71,11.75,8.19,62.50,5.57,0.36,0,0,10,0.00,0.25,0.25,9.97,
2024/10/20 12:15:15,991.70,26.33,11.70,11.50,8.19,62.50,5.78,0.44,0,0,10,0.00,0.25,0.25,9.97,
2024/10/20 12:15:31,991.68,26.39,11.69,11.50,8.19,46.88,5.21,0.27,0,0,12,0.00,0.25,0.25,9.97,
2024/10/20 12:15:47,991.76,26.36,11.67,11.50,8.19,46.88,5.42,0.09,0,0,12,0.00,0.25,0.25,9.96,
2024/10/20 12:16:03,991.73,26.35,11.68,11.50,8.19,46.88,5.60,0.53,0,0,13,0.00,0.25,0.25,9.95,
2024/10/20 12:16:19,991.62,26.39,11.68,11.50,8.19,46.88,5.57,-0.27,0,0,13,0.00,0.25,0.25,9.95,
2024/10/20 12:16:35,991.75,26.44,11.68,11.50,8.21,46.88,5.58,0.53,0,0,14,0.00,0.25,0.25,9.95,
2024/10/20 12:16:51,991.78,26.44,11.68,11.50,8.21,46.88,5.53,-0.27,0,0,15,0.00,0.25,0.25,9.96,
2024/10/20 12:17:07,991.80,26.48,11.67,11.50,8.19,46.88,5.62,0.18,0,0,15,0.00,0.25,0.25,9.96,
2024/10/20 12:17:23,991.89,26.46,11.68,11.50,8.21,62.50,5.44,0.18,0,0,16,0.00,0.25,0.25,9.97,
2024/10/20 12:17:39,991.87,26.46,11.68,11.50,8.19,62.50,6.05,0.62,0,0,17,0.00,0.25,0.25,9.97,
2024/10/20 12:17:55,991.93,26.51,11.67,11.50,8.21,62.50,5.66,0.18,0,0,19,0.00,0.25,0.25,9.99,
2024/10/20 12:18:11,991.97,26.45,11.67,11.50,8.21,62.50,5.55,0.27,0,0,19,0.00,0.25,0.25,10.00,
2024/10/20 12:18:27,991.90,26.52,11.68,11.50,8.21,62.50,5.59,0.18,0,0,20,0.00,0.25,0.25,10.00,
2024/10/20 12:18:43,991.96,26.50,11.67,11.50,8.21,62.50,6.06,0.09,0,0,21,0.00,0.25,0.25,10.01,
2024/10/20 12:18:59,991.96,26.50,11.67,11.50,8.21,62.50,5.19,0.27,0,0,22,0.00,0.25,0.38,10.02,
2024/10/20 12:19:15,991.91,26.53,11.67,11.50,8.21,62.50,5.39,0.53,0,0,23,0.00,0.25,0.38,10.02,
2024/10/20 12:19:31,991.82,26.47,11.67,11.50,8.21,62.50,5.27,0.27,0,0,24,0.00,0.25,0.38,10.02,
2024/10/20 12:19:47,991.78,26.48,11.68,11.50,8.21,62.50,5.41,0.18,0,0,25,0.00,0.25,0.38,10.01,
2024/10/20 12:20:03,991.73,26.53,11.67,11.50,8.21,62.50,5.73,0.00,0,0,26,0.00,0.25,0.38,10.01,
2024/10/20 12:20:19,991.65,26.50,11.67,11.50,8.21,62.50,5.45,0.18,0,0,28,0.00,0.25,0.38,10.00,
2024/10/20 12:20:35,991.56,26.52,11.67,11.50,8.21,62.50,5.59,0.44,0,0,29,0.00,0.25,0.50,9.99,
2024/10/20 12:20:51,991.55,26.53,11.66,11.50,8.21,46.88,5.33,-0.27,0,0,30,0.00,0.25,0.50,9.98,
2024/10/20 12:21:07,991.50,26.52,11.66,11.50,8.21,62.50,5.90,0.00,0,0,31,0.00,0.25,0.38,9.98,
2024/10/20 12:21:23,991.44,26.55,11.65,11.50,8.21,62.50,5.77,-0.18,0,0,32,0.00,0.25,0.50,9.97,
