Lib = 0.3.0 SN = 004D-0017-0009-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/22 19:52:52,980.12,23.84,30.05,30.50,4.60,5281.25,8.75,0.63,-43,-15616,8113,0.00,173.50,230.50,34.77,
2024/10/22 19:53:07,973.31,23.38,30.50,31.00,4.60,5296.88,8.09,0.80,0,0,8116,0.00,173.88,231.13,34.78,
2024/10/22 19:53:23,987.66,23.12,30.95,31.50,4.60,5343.75,8.34,0.89,0,0,8118,0.00,174.38,231.75,34.80,
2024/10/22 19:53:39,988.44,22.57,31.60,32.25,4.59,5359.38,8.45,0.18,0,0,8319,0.00,190.13,249.88,34.87,
2024/10/22 19:53:55,988.38,22.11,32.22,33.00,4.60,5328.13,9.45,-0.26,0,0,8329,0.00,190.13,250.00,34.95,
2024/10/22 19:54:11,988.63,21.55,32.84,33.50,4.60,5296.88,8.79,1.34,0,0,8295,0.00,189.25,248.38,34.99,
2024/10/22 19:54:27,988.65,21.08,33.46,34.25,4.60,5281.25,8.17,0.62,0,0,8261,0.00,187.63,246.13,35.01,
2024/10/22 19:54:43,988.69,20.58,34.05,34.75,4.60,5234.38,8.40,0.18,0,0,8228,0.00,186.88,245.00,35.02,
2024/10/22 19:54:59,988.69,20.13,34.65,35.50,4.59,5218.75,7.99,0.98,0,0,8222,0.00,186.75,244.88,35.01,
2024/10/22 19:55:15,988.63,19.64,35.21,36.00,4.59,5218.75,7.75,0.09,0,0,8206,0.00,186.25,244.38,35.00,
2024/10/22 19:55:31,988.65,19.11,35.77,36.75,4.59,5203.13,7.78,0.18,0,0,8193,0.00,186.00,243.75,34.99,
2024/10/22 19:55:47,988.52,18.71,36.30,37.25,4.59,5187.50,8.22,0.18,0,0,8191,0.00,185.88,243.25,34.97,
2024/10/22 19:56:03,988.57,18.22,36.82,37.75,4.59,5203.13,9.26,0.69,0,0,8196,0.00,185.63,243.38,34.96,
2024/10/22 19:56:19,988.53,17.85,37.31,38.25,4.59,5187.50,9.16,-0.27,0,0,8194,0.00,185.50,243.00,34.96,
2024/10/22 19:56:35,988.28,17.45,37.77,38.75,4.59,5187.50,8.06,0.27,0,0,8185,0.00,185.63,243.25,34.95,
2024/10/22 19:56:51,988.21,17.13,38.23,39.25,4.59,5187.50,8.17,1.07,0,0,8199,0.00,186.00,243.88,34.96,
2024/10/22 19:57:07,987.98,16.79,38.66,39.50,4.59,5203.13,7.63,1.16,0,0,8226,0.00,186.38,244.88,34.96,
2024/10/22 19:57:23,988.01,16.42,39.08,40.00,4.59,5218.75,8.60,0.27,0,0,8243,0.00,187.25,246.00,34.96,
2024/10/22 19:57:39,988.14,16.10,39.49,40.50,4.59,5234.38,8.49,0.18,0,0,8251,0.00,187.25,246.25,34.98,
2024/10/22 19:57:55,988.09,15.85,39.87,40.75,4.59,5234.38,8.64,0.27,0,0,8230,0.00,186.88,245.63,34.99,
2024/10/22 19:58:11,988.04,15.53,40.23,41.25,4.59,5218.75,7.38,-0.27,0,0,8207,0.00,186.50,245.00,35.00,
2024/10/22 19:58:27,988.04,15.35,40.57,41.50,4.60,5187.50,8.18,0.71,0,0,8186,0.00,185.88,244.13,35.00,
2024/10/22 19:58:43,987.88,15.11,40.91,41.75,4.59,5171.88,8.69,0.53,0,0,8190,0.00,185.13,243.25,35.01,
2024/10/22 19:58:59,987.93,14.87,41.20,42.00,4.59,5171.88,8.89,0.81,0,0,8192,0.00,185.00,242.75,35.01,
2024/10/22 19:59:15,987.95,14.68,41.48,42.25,4.59,5171.88,7.86,0.36,0,0,8200,0.00,184.88,242.88,35.02,
2024/10/22 19:59:31,987.78,14.48,41.79,42.75,4.60,5187.50,8.85,0.00,0,0,8187,0.00,185.38,243.63,35.04,
2024/10/22 19:59:47,987.53,14.34,42.05,43.00,4.59,5187.50,9.14,0.18,0,0,8214,0.00,185.63,244.00,35.06,
2024/10/22 20:00:03,987.38,14.13,42.32,43.00,4.59,5218.75,9.07,0.27,0,0,8224,0.00,185.88,244.50,35.09,
2024/10/22 20:00:19,987.12,13.96,42.59,43.25,4.59,5234.38,8.79,0.35,0,0,8224,0.00,185.88,244.75,35.11,
2024/10/22 20:00:35,986.96,13.78,42.83,43.75,4.60,5234.38,8.67,0.72,0,0,8229,0.00,186.25,245.13,35.13,
2024/10/22 20:00:51,986.72,13.64,43.06,43.75,4.59,5203.13,8.27,0.18,0,0,8213,0.00,185.75,244.38,35.13,
2024/10/22 20:01:07,986.50,13.48,43.30,44.00,4.60,5171.88,8.53,0.09,0,0,8207,0.00,184.75,243.13,35.14,
2024/10/22 20:01:23,986.33,13.34,43.50,44.25,4.60,5140.63,8.36,0.18,0,0,8250,0.00,183.88,241.38,35.12,
2024/10/22 20:01:39,986.20,13.24,43.69,44.50,4.60,5125.00,8.15,-0.09,0,0,8257,0.00,183.50,241.13,35.11,
2024/10/22 20:01:55,986.09,13.11,43.89,44.75,4.60,5109.38,9.58,0.36,0,0,8281,0.00,183.25,240.88,35.10,
2024/10/22 20:02:11,985.89,12.95,44.06,45.00,4.60,5125.00,9.17,0.72,0,0,8226,0.00,183.63,241.63,35.08,
2024/10/22 20:02:27,985.70,12.88,44.22,45.00,4.60,5156.25,8.22,0.63,0,0,8209,0.00,184.38,242.38,35.08,
