Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/04 18:00:59,987.51,29.38,44.65,44.50,2.58,4703.13, 2.25,-5.19,388,100864,6756,7297.23,0.09,0.17,14.36,
2023/07/04 18:01:02,987.48,29.42,44.63,44.50,2.59,4703.13, 2.70,-5.42,388,100864,6756,7297.23,0.09,0.17,14.36,
2023/07/04 18:01:08,987.50,29.45,44.63,44.50,2.64,4703.13, 2.91,-4.93,389,100864,6596,7241.93,0.09,0.17,13.21,
2023/07/04 18:01:14,987.57,29.52,44.59,44.50,2.66,4687.50, 3.13,-4.93,388,100608,6657,7217.97,0.09,0.17,13.87,
2023/07/04 18:01:20,987.71,29.49,44.62,44.50,2.67,4656.25, 2.70,-4.70,384,99584,6703,7208.75,0.09,0.17,14.00,
2023/07/04 18:01:26,987.75,29.70,44.50,44.25,2.68,4640.63, 2.91,-4.95,384,99328,6676,7179.26,0.09,0.17,14.08,
2023/07/04 18:01:32,987.89,29.67,44.54,44.25,2.68,4625.00, 2.92,-4.72,383,99328,6640,7147.93,0.09,0.17,14.14,
2023/07/04 18:01:38,987.86,29.72,44.51,44.25,2.68,4593.75, 3.36,-4.48,380,98560,6602,7138.71,0.09,0.17,14.19,
2023/07/04 18:01:44,987.98,29.80,44.49,44.25,2.68,4578.13, 3.13,-4.93,377,97792,6584,7116.60,0.09,0.16,13.84,
2023/07/04 18:01:50,987.93,29.81,44.49,44.25,2.69,4562.50, 2.91,-5.17,377,97792,6568,7085.26,0.09,0.16,14.26,
2023/07/04 18:01:56,987.87,29.88,44.45,44.25,2.69,4562.50, 3.13,-4.70,375,97280,6543,7074.20,0.09,0.16,13.91,
2023/07/04 18:02:02,987.96,29.91,44.46,44.25,2.69,4531.25, 2.69,-4.70,374,97280,6534,7053.93,0.09,0.16,13.93,
2023/07/04 18:02:08,988.07,29.90,44.47,44.25,2.69,4515.63, 3.36,-4.91,372,96512,6532,7083.42,0.09,0.16,13.93,
2023/07/04 18:02:14,988.15,30.00,44.41,44.25,2.69,4500.00, 3.15,-4.70,373,96768,6517,7133.18,0.08,0.16,13.96,
2023/07/04 18:02:20,988.19,30.11,44.37,44.25,2.69,4468.75, 3.12,-5.11,370,96256,6499,7109.22,0.08,0.16,13.97,
2023/07/04 18:02:26,988.28,30.07,44.40,44.25,2.69,4468.75, 2.91,-4.70,370,96000,6489,7136.87,0.08,0.16,13.98,
2023/07/04 18:02:32,988.12,30.10,44.38,44.25,2.69,4437.50, 3.11,-4.46,370,96000,6462,7029.96,0.08,0.16,13.81,
2023/07/04 18:02:38,988.06,30.14,44.37,44.00,2.69,4421.88, 2.90,-4.69,367,95232,6444,7004.16,0.08,0.16,13.79,
2023/07/04 18:02:44,988.18,30.22,44.32,44.00,2.69,4421.88, 3.13,-4.93,364,94464,6430,6974.67,0.08,0.16,13.84,
2023/07/04 18:02:50,988.05,30.27,44.30,44.25,2.69,4390.63, 3.58,-4.91,363,94208,6416,6956.24,0.08,0.16,13.84,
2023/07/04 18:02:56,988.07,30.28,44.29,44.25,2.69,4359.38, 2.91,-4.95,363,94208,6416,6919.37,0.08,0.16,13.72,
2023/07/04 18:03:02,988.10,30.25,44.30,44.25,2.70,4343.75, 3.13,-4.93,361,94208,6467,6899.10,0.08,0.16,13.54,
2023/07/04 18:03:08,987.91,30.33,44.26,44.00,2.70,4328.13, 3.15,-4.46,360,93440,6463,6864.08,0.08,0.16,13.55,
2023/07/04 18:03:14,988.09,30.36,44.24,44.00,2.70,4312.50, 2.69,-4.48,359,92928,6432,6856.70,0.08,0.16,13.49,
2023/07/04 18:03:20,987.93,30.40,44.22,44.00,2.70,4296.88, 3.15,-4.71,356,92160,6409,6843.80,0.08,0.15,13.50,
2023/07/04 18:03:26,987.90,30.38,44.24,44.00,2.70,4296.88, 3.15,-4.93,356,92416,6383,6841.96,0.08,0.15,13.39,
2023/07/04 18:03:32,987.80,30.41,44.21,44.00,2.70,4265.63, 3.13,-4.26,356,92416,6374,6816.15,0.08,0.15,13.25,
2023/07/04 18:03:38,987.91,30.44,44.19,44.00,2.70,4250.00, 2.68,-4.48,353,91648,6350,6790.35,0.08,0.15,14.59,
2023/07/04 18:03:44,987.81,30.46,44.18,44.00,2.70,4234.38, 2.91,-4.70,352,91648,6338,6781.13,0.08,0.15,14.56,
2023/07/04 18:03:50,987.92,30.48,44.17,44.00,2.70,4234.38, 3.13,-4.69,352,91392,6330,6749.80,0.08,0.15,14.56,
2023/07/04 18:03:56,987.84,30.54,44.13,44.00,2.70,4218.75, 3.12,-4.69,351,91392,6322,6740.58,0.08,0.15,14.57,
2023/07/04 18:04:02,987.83,30.59,44.09,44.00,2.70,4203.13, 2.90,-4.91,350,90880,6288,6735.05,0.08,0.15,14.57,
2023/07/04 18:04:08,987.78,30.61,44.09,43.75,2.70,4203.13, 3.13,-4.48,349,90624,6292,6718.46,0.08,0.15,14.58,
2023/07/04 18:04:14,987.67,30.65,44.05,43.75,2.70,4187.50, 3.33,-4.48,349,90624,6281,6711.09,0.08,0.15,14.57,
2023/07/04 18:04:20,987.65,30.71,44.00,43.75,2.70,4171.88, 2.69,-4.70,346,89856,6259,6692.66,0.08,0.15,14.20,
2023/07/04 18:04:26,987.49,30.77,43.97,43.75,2.70,4140.63, 2.91,-4.92,347,90112,6251,6668.70,0.08,0.15,14.57,
2023/07/04 18:04:32,987.52,30.71,44.00,43.75,2.70,4156.25, 3.34,-4.70,344,89344,6228,6644.74,0.08,0.15,14.20,
2023/07/04 18:04:38,987.50,30.81,43.93,43.75,2.70,4125.00, 2.91,-4.46,342,88832,6221,6628.15,0.08,0.15,14.19,
2023/07/04 18:04:44,987.41,30.85,43.91,43.75,2.70,4109.38, 3.13,-4.48,342,88832,6203,6611.56,0.08,0.15,14.20,
2023/07/04 18:04:50,987.42,30.88,43.87,43.75,2.70,4093.75, 2.92,-4.48,341,88320,6198,6617.09,0.08,0.15,14.20,
2023/07/04 18:04:56,987.26,30.94,43.84,43.75,2.70,4062.50, 2.90,-4.74,341,88576,6180,6611.56,0.08,0.15,14.17,
2023/07/04 18:05:02,987.17,30.92,43.84,43.50,2.70,4062.50, 3.13,-4.70,340,88320,6168,6611.56,0.08,0.15,13.98,
2023/07/04 18:05:08,987.10,31.02,43.77,43.50,2.70,4046.88, 3.12,-4.70,339,88064,6163,6594.97,0.07,0.15,14.17,
2023/07/04 18:05:14,987.15,30.99,43.78,43.50,2.70,4046.88, 3.13,-4.70,336,87040,6141,6582.07,0.07,0.15,14.16,
2023/07/04 18:05:20,987.11,30.99,43.78,43.50,2.70,4031.25, 3.36,-4.70,337,87552,6142,6550.73,0.07,0.15,13.96,
