Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/07/02 19:15:42,968.05,12.68,68.95,69.00,3.15,2968.75, 4.14,-2.82,311,77056,5363,5638.35,0.06,0.11,38.33,
2023/07/02 19:15:45,968.02,12.70,68.88,68.75,3.14,2953.13, 4.38,-3.06,311,77056,5363,5638.35,0.06,0.11,38.33,
2023/07/02 19:15:51,967.94,12.86,68.64,68.75,3.16,2890.63, 4.60,-2.62,301,74240,5159,5457.72,0.06,0.11,36.79,
2023/07/02 19:15:57,967.84,12.98,68.47,68.50,3.15,2859.38, 4.36,-2.62,297,73216,5117,5391.36,0.06,0.10,36.48,
2023/07/02 19:16:03,967.71,13.17,68.19,68.25,3.15,2921.88, 4.38,-2.62,309,76544,5297,5549.88,0.06,0.11,36.50,
2023/07/02 19:16:09,967.71,13.27,68.00,68.00,3.15,2843.75, 4.36,-2.62,296,72448,5073,5347.12,0.06,0.10,36.48,
2023/07/02 19:16:15,967.57,13.44,67.78,67.75,3.15,2812.50, 4.62,-2.84,295,72192,5074,5328.69,0.06,0.10,36.43,
2023/07/02 19:16:21,967.56,13.57,67.57,67.50,3.15,2796.88, 4.35,-3.05,293,71936,5053,5321.32,0.06,0.10,36.38,
2023/07/02 19:16:27,967.46,13.70,67.37,67.25,3.15,2781.25, 4.61,-2.64,293,72192,5034,5302.89,0.05,0.10,36.33,
2023/07/02 19:16:33,967.47,13.85,67.16,67.00,3.15,2781.25, 4.18,-2.82,291,71424,5024,5284.45,0.05,0.10,36.26,
2023/07/02 19:16:39,967.61,14.01,66.96,67.00,3.15,2781.25, 4.80,-2.39,293,71680,5026,5271.55,0.05,0.10,36.19,
2023/07/02 19:16:45,967.51,14.13,66.77,66.50,3.15,2750.00, 4.58,-3.05,289,70912,5007,5253.12,0.05,0.10,36.13,
2023/07/02 19:16:51,967.52,14.31,66.52,66.50,3.15,2765.63, 4.35,-2.83,289,71168,4996,5243.90,0.05,0.10,35.88,
2023/07/02 19:16:57,967.47,14.40,66.37,66.25,3.15,2765.63, 4.38,-2.62,288,70912,4990,5232.84,0.05,0.10,35.82,
2023/07/02 19:17:03,967.43,14.59,66.12,66.00,3.15,2750.00, 4.36,-2.83,287,70400,4967,5218.10,0.05,0.10,35.54,
2023/07/02 19:17:09,967.42,14.70,65.95,65.75,3.15,2734.38, 4.80,-3.06,287,70656,4959,5203.35,0.05,0.10,35.34,
2023/07/02 19:17:15,967.41,14.84,65.75,65.50,3.15,2734.38, 4.56,-3.05,285,69632,4957,5205.20,0.05,0.10,35.19,
2023/07/02 19:17:21,967.34,14.95,65.60,65.50,3.15,2750.00, 4.56,-2.62,287,70144,4951,5208.88,0.05,0.10,35.30,
2023/07/02 19:17:27,967.39,15.15,65.33,65.25,3.14,2734.38, 4.13,-2.84,287,70400,4951,5203.35,0.05,0.10,35.08,
2023/07/02 19:17:33,967.27,15.22,65.23,65.00,3.14,2750.00, 4.38,-2.83,286,70400,4957,5197.82,0.05,0.10,34.91,
2023/07/02 19:17:39,967.22,15.36,65.02,64.75,3.14,2734.38, 4.38,-2.82,287,70656,4971,5208.88,0.05,0.10,34.91,
2023/07/02 19:17:45,967.04,15.46,64.88,64.75,3.14,2734.38, 4.16,-2.83,287,70656,4989,5231.00,0.05,0.10,34.71,
2023/07/02 19:17:51,967.15,15.57,64.70,64.50,3.14,2750.00, 4.60,-2.63,289,71168,5015,5251.28,0.05,0.10,34.63,
2023/07/02 19:17:57,967.14,15.72,64.52,64.25,3.14,2765.63, 4.14,-2.83,288,71168,5016,5247.59,0.05,0.10,34.57,
2023/07/02 19:18:03,967.34,15.81,64.38,64.25,3.14,2781.25, 4.36,-3.05,291,71680,5039,5258.65,0.06,0.10,34.50,
2023/07/02 19:18:09,967.14,15.95,64.20,64.00,3.14,2796.88, 4.38,-3.05,290,71936,5056,5301.04,0.06,0.10,34.50,
2023/07/02 19:18:15,967.04,16.01,64.09,64.00,3.14,2796.88, 4.18,-2.62,294,72704,5086,5326.85,0.06,0.10,35.80,
2023/07/02 19:18:21,967.14,16.15,63.91,63.75,3.14,2843.75, 4.58,-2.63,295,73216,5124,5363.71,0.06,0.10,35.75,
2023/07/02 19:18:27,967.17,16.23,63.79,63.75,3.14,2859.38, 4.38,-2.83,298,73728,5152,5398.73,0.06,0.11,35.68,
2023/07/02 19:18:33,967.13,16.32,63.65,63.50,3.14,2875.00, 4.38,-3.05,298,73984,5178,5417.16,0.06,0.11,35.64,
2023/07/02 19:18:39,967.19,16.46,63.47,63.25,3.14,2906.25, 4.60,-3.05,299,74240,5203,5433.75,0.06,0.11,35.15,
2023/07/02 19:18:45,967.19,16.52,63.38,63.25,3.14,2921.88, 4.35,-2.84,298,73984,5215,5450.34,0.06,0.11,35.09,
2023/07/02 19:18:51,967.29,16.64,63.22,63.00,3.14,2953.13, 4.36,-2.61,300,74496,5236,5505.64,0.06,0.11,35.03,
2023/07/02 19:18:57,967.31,16.73,63.09,62.75,3.14,2968.75, 4.39,-3.05,302,74752,5242,5524.07,0.06,0.11,35.00,
