Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/05/22 23:20:04,985.04,26.66,32.13,31.75,4.49,1140.63, 4.66,4.24,71,18432,2782,2862.49,0.03,0.05,28.94,
2023/05/22 23:20:10,985.04,26.66,32.18,32.00,4.49,1125.00, 4.68,4.01,73,18432,2816,2880.92,0.03,0.05,28.95,
2023/05/22 23:20:16,985.05,26.66,32.24,32.00,4.50,1109.38, 4.66,4.42,72,18432,2892,2915.94,0.04,0.05,28.96,
2023/05/22 23:20:22,985.06,26.65,32.29,32.00,4.50,1093.75, 4.20,4.44,74,19456,2954,2954.65,0.04,0.05,28.97,
2023/05/22 23:20:28,985.07,26.65,32.34,32.00,4.50,1078.13, 4.22,4.25,74,19456,3010,2982.30,0.04,0.05,28.98,
2023/05/22 23:20:34,985.03,26.65,32.38,32.25,4.49,1078.13, 4.22,4.46,74,19712,3051,3004.42,0.04,0.05,28.99,
2023/05/22 23:20:40,985.01,26.63,32.43,32.25,4.49,1062.50, 4.66,4.00,75,19968,3099,3046.81,0.04,0.06,29.00,
2023/05/22 23:20:46,985.02,26.64,32.49,32.25,4.50,1062.50, 4.86,3.98,75,19968,3152,3068.93,0.05,0.06,29.01,
2023/05/22 23:20:52,985.07,26.64,32.53,32.25,4.50,1062.50, 4.68,4.44,73,19200,3088,3033.91,0.04,0.06,29.02,
2023/05/22 23:20:58,985.01,26.63,32.58,32.25,4.49,1062.50, 4.66,4.64,73,19456,3113,3044.97,0.04,0.06,29.04,
2023/05/22 23:21:04,985.05,26.62,32.63,32.25,4.49,1062.50, 4.21,4.66,74,19712,3124,3046.81,0.05,0.06,29.05,
2023/05/22 23:21:10,985.08,26.60,32.67,32.50,4.49,1062.50, 4.68,4.20,74,19456,3200,3083.67,0.05,0.06,29.06,
2023/05/22 23:21:16,985.07,26.61,32.71,32.50,4.49,1046.88, 4.64,4.20,76,20224,3238,3107.64,0.05,0.06,29.08,
2023/05/22 23:21:22,985.12,26.60,32.76,32.50,4.50,1062.50, 4.23,4.44,75,20224,3258,3122.38,0.05,0.06,29.11,
2023/05/22 23:21:28,985.10,26.59,32.80,32.50,4.50,1109.38, 4.44,4.44,74,19712,3217,3085.52,0.05,0.06,29.11,
2023/05/22 23:21:34,985.04,26.59,32.85,32.50,4.50,1140.63, 4.68,4.88,76,20224,3246,3102.11,0.05,0.06,29.12,
2023/05/22 23:21:40,985.07,26.58,32.89,32.75,4.50,1171.88, 4.23,4.23,75,19968,3195,3074.46,0.05,0.06,29.13,
2023/05/22 23:21:46,985.07,26.58,32.93,32.75,4.49,1187.50, 4.46,4.23,76,20480,3261,3111.32,0.05,0.06,29.15,
2023/05/22 23:21:52,985.07,26.57,32.97,32.75,4.49,1234.38, 4.44,4.47,75,19968,3173,3059.71,0.05,0.06,29.16,
2023/05/22 23:21:58,985.14,26.56,33.01,32.75,4.49,1265.63, 4.24,4.20,73,19200,3134,3035.75,0.05,0.06,29.17,
2023/05/22 23:22:04,985.02,26.56,33.05,32.75,4.50,1296.88, 4.44,4.24,74,19456,3100,3017.32,0.05,0.06,29.18,
2023/05/22 23:22:10,985.05,26.55,33.08,32.75,4.49,1312.50, 4.45,4.25,73,19456,3145,3039.44,0.05,0.06,29.20,
2023/05/22 23:22:16,985.08,26.54,33.13,33.00,4.50,1359.38, 4.46,4.44,72,18688,2984,2945.43,0.04,0.05,29.21,
2023/05/22 23:22:22,985.04,26.55,33.16,33.00,4.50,1390.63, 4.44,4.44,72,18688,2941,2912.26,0.04,0.05,29.22,
2023/05/22 23:22:28,985.06,26.54,33.20,33.00,4.50,1406.25, 4.44,4.46,73,18944,2891,2897.51,0.04,0.05,29.22,
2023/05/22 23:22:34,985.02,26.53,33.24,33.00,4.50,1437.50, 4.66,4.44,71,18176,2845,2856.96,0.04,0.05,29.23,
2023/05/22 23:22:40,985.07,26.52,33.27,33.00,4.50,1484.38, 4.44,4.44,69,17408,2801,2842.21,0.03,0.05,29.23,
2023/05/22 23:22:46,985.06,26.50,33.31,33.00,4.49,1500.00, 4.66,4.46,69,17920,2784,2829.31,0.03,0.05,29.24,
2023/05/22 23:22:52,985.07,26.50,33.35,33.00,4.49,1500.00, 4.23,4.44,72,18432,2789,2829.31,0.03,0.05,29.25,
2023/05/22 23:22:58,985.08,26.49,33.39,33.25,4.49,1515.63, 4.66,4.46,69,17920,2778,2825.63,0.03,0.05,29.25,
2023/05/22 23:23:04,985.05,26.48,33.42,33.25,4.49,1515.63, 4.64,4.22,70,17664,2782,2825.63,0.03,0.05,29.25,
2023/05/22 23:23:10,985.11,26.46,33.46,33.25,4.49,1500.00, 4.46,4.22,69,17920,2771,2816.41,0.03,0.05,29.25,
2023/05/22 23:23:16,985.06,26.47,33.49,33.25,4.50,1515.63, 4.24,4.45,69,17664,2679,2764.80,0.03,0.05,29.25,
2023/05/22 23:23:22,985.08,26.46,33.53,33.25,4.49,1546.88, 4.46,4.66,69,17664,2729,2797.98,0.03,0.05,29.25,
2023/05/22 23:23:28,985.06,26.44,33.57,33.50,4.50,1515.63, 4.44,4.22,70,18176,2789,2816.41,0.03,0.05,29.25,
2023/05/22 23:23:34,985.09,26.44,33.60,33.25,4.49,1468.75, 4.46,4.45,70,17664,2792,2818.25,0.03,0.05,29.26,
2023/05/22 23:23:40,985.10,26.42,33.64,33.25,4.49,1453.13, 4.66,4.44,70,17920,2793,2831.16,0.03,0.05,29.27,
2023/05/22 23:23:46,985.03,26.42,33.67,33.50,4.49,1421.88, 4.44,4.44,69,17920,2791,2820.10,0.03,0.05,29.27,
2023/05/22 23:23:52,985.05,26.40,33.71,33.50,4.49,1390.63, 4.66,4.46,69,17920,2791,2825.63,0.03,0.05,29.27,
2023/05/22 23:23:58,985.07,26.39,33.74,33.50,4.48,1375.00, 4.68,4.44,69,17664,2788,2818.25,0.03,0.05,29.29,
2023/05/22 23:24:04,985.06,26.38,33.77,33.50,4.49,1343.75, 4.68,4.44,69,17920,2773,2807.19,0.03,0.05,29.30,
2023/05/22 23:24:10,985.09,26.39,33.81,33.50,4.49,1312.50, 4.44,4.44,69,17664,2757,2799.82,0.03,0.05,29.30,
2023/05/22 23:24:16,985.10,26.37,33.84,33.50,4.49,1296.88, 4.66,4.45,69,17408,2746,2792.45,0.03,0.05,29.30,
2023/05/22 23:24:22,985.11,26.37,33.87,33.50,4.49,1265.63, 4.88,4.22,68,17408,2741,2786.92,0.03,0.05,29.30,
2023/05/22 23:24:28,985.10,26.35,33.90,33.50,4.49,1234.38, 4.68,4.22,68,17408,2705,2772.17,0.03,0.05,29.30,
2023/05/22 23:24:34,985.06,26.35,33.93,33.75,4.50,1218.75, 4.42,4.47,69,17408,2685,2755.58,0.03,0.05,29.30,
2023/05/22 23:24:40,985.05,26.34,33.97,33.75,4.49,1187.50, 4.46,4.46,69,17408,2674,2742.68,0.03,0.05,29.30,
2023/05/22 23:24:46,985.10,26.33,33.99,33.75,4.49,1171.88, 4.66,4.46,68,17152,2669,2737.15,0.03,0.05,29.31,
2023/05/22 23:24:52,985.09,26.32,34.03,33.75,4.50,1156.25, 4.46,4.44,68,17152,2658,2740.84,0.03,0.05,29.32,
2023/05/22 23:24:58,985.08,26.31,34.05,33.75,4.50,1140.63, 4.44,4.01,68,17152,2653,2731.62,0.03,0.05,29.32,
2023/05/22 23:25:04,985.04,26.30,34.08,33.75,4.50,1109.38, 4.64,4.22,68,17408,2618,2715.03,0.03,0.04,29.32,
2023/05/22 23:25:10,985.07,26.30,34.12,33.75,4.50,1093.75, 4.23,4.44,67,16896,2613,2703.97,0.03,0.04,29.33,
2023/05/22 23:25:16,985.14,26.29,34.16,34.00,4.49,1078.13, 4.24,4.45,68,17152,2627,2703.97,0.03,0.04,29.33,
2023/05/22 23:25:22,985.11,26.27,34.19,34.00,4.49,1046.88, 4.22,4.45,67,17152,2631,2711.35,0.03,0.04,29.33,
2023/05/22 23:25:28,985.12,26.26,34.22,34.00,4.49,1031.25, 4.46,4.22,67,17152,2635,2713.19,0.03,0.04,29.33,
2023/05/22 23:25:34,985.08,26.25,34.25,34.00,4.49,1031.25, 4.66,4.23,69,17920,2656,2720.56,0.03,0.05,29.33,
2023/05/22 23:25:40,985.13,26.24,34.28,34.00,4.49,1015.63, 4.44,4.70,69,17664,2675,2735.31,0.03,0.05,29.33,
2023/05/22 23:25:46,985.11,26.23,34.31,34.00,4.48,984.38, 4.68,4.23,67,17408,2691,2729.78,0.03,0.05,29.34,
2023/05/22 23:25:52,985.10,26.22,34.34,34.00,4.48,984.38, 4.23,4.44,68,17408,2689,2731.62,0.03,0.05,29.33,
2023/05/22 23:25:58,985.12,26.21,34.37,34.25,4.48,1000.00, 4.23,4.01,68,17664,2711,2742.68,0.03,0.05,29.33,
2023/05/22 23:26:04,985.14,26.19,34.40,34.25,4.49,968.75, 4.22,4.44,70,18176,2812,2794.29,0.04,0.05,29.33,
2023/05/22 23:26:10,985.13,26.18,34.43,34.25,4.48,968.75, 4.46,4.22,68,17664,2822,2801.66,0.04,0.05,29.34,
2023/05/22 23:26:16,985.15,26.17,34.46,34.25,4.49,953.13, 4.46,4.00,70,18176,2906,2851.43,0.04,0.05,29.35,
2023/05/22 23:26:22,985.12,26.16,34.50,34.25,4.49,953.13, 4.42,4.00,70,18432,2943,2864.33,0.04,0.05,29.35,
2023/05/22 23:26:28,985.13,26.14,34.52,34.25,4.49,953.13, 4.46,4.46,69,18432,2967,2880.92,0.04,0.05,29.36,
2023/05/22 23:26:34,985.11,26.13,34.55,34.25,4.48,953.13, 4.44,4.46,69,18432,2972,2877.24,0.04,0.05,29.38,
2023/05/22 23:26:40,985.19,26.13,34.58,34.25,4.50,953.13, 4.66,4.40,72,19200,3010,2895.67,0.04,0.05,29.39,
2023/05/22 23:26:46,985.06,26.12,34.60,34.25,4.49,937.50, 4.68,4.44,71,18944,3005,2903.04,0.04,0.05,29.39,
2023/05/22 23:26:52,985.08,26.11,34.63,34.50,4.48,953.13, 4.66,4.44,69,18176,3061,2921.47,0.05,0.06,29.39,
2023/05/22 23:26:58,985.08,26.09,34.66,34.50,4.49,953.13, 4.44,4.24,68,18176,2974,2882.76,0.04,0.05,29.40,
2023/05/22 23:27:04,985.15,26.09,34.69,34.50,4.49,953.13, 4.68,4.22,69,18432,2999,2891.98,0.04,0.05,29.41,
2023/05/22 23:27:10,985.11,26.08,34.71,34.50,4.48,953.13, 4.68,4.22,69,18432,3085,2930.69,0.05,0.06,29.41,
2023/05/22 23:27:16,985.11,26.07,34.73,34.50,4.49,953.13, 4.66,4.44,71,19200,3049,2901.20,0.05,0.06,29.43,
2023/05/22 23:27:22,985.07,26.06,34.76,34.50,4.49,953.13, 4.23,4.44,70,18688,3030,2897.51,0.05,0.05,29.43,
2023/05/22 23:27:28,985.11,26.04,34.79,34.50,4.49,968.75, 4.44,4.46,71,19200,3042,2910.41,0.05,0.06,29.44,
2023/05/22 23:27:34,985.20,26.04,34.81,34.50,4.50,968.75, 4.22,4.44,71,19200,3003,2880.92,0.05,0.05,29.45,
2023/05/22 23:27:40,985.12,26.03,34.84,34.50,4.49,968.75, 4.46,4.44,69,18432,3003,2888.29,0.05,0.05,29.46,
2023/05/22 23:27:46,985.13,26.01,34.86,34.50,4.48,968.75, 4.46,4.20,70,18688,3022,2882.76,0.05,0.06,29.47,
2023/05/22 23:27:52,985.15,26.01,34.88,34.75,4.49,984.38, 4.22,4.46,69,18176,3050,2903.04,0.05,0.06,29.48,
2023/05/22 23:27:58,985.11,26.00,34.91,34.50,4.49,968.75, 4.68,4.45,69,18176,2938,2836.68,0.04,0.05,29.49,
2023/05/22 23:28:04,985.11,25.99,34.94,34.75,4.48,968.75, 4.66,4.23,69,18688,3109,2930.69,0.05,0.06,29.50,
2023/05/22 23:28:10,985.08,25.98,34.96,34.75,4.49,984.38, 4.44,4.44,71,18944,2982,2853.27,0.05,0.05,29.50,
2023/05/22 23:28:16,985.07,25.97,34.98,34.75,4.49,984.38, 4.46,4.47,71,18944,3011,2877.24,0.05,0.06,29.52,
2023/05/22 23:28:22,985.07,25.96,35.01,34.75,4.49,984.38, 4.46,4.23,68,17664,2917,2823.78,0.04,0.05,29.52,
2023/05/22 23:28:28,985.09,25.95,35.03,34.75,4.49,984.38, 4.47,4.24,71,18944,3051,2895.67,0.05,0.06,29.53,
2023/05/22 23:28:34,985.06,25.94,35.05,34.75,4.49,984.38, 4.46,4.00,69,18176,2952,2842.21,0.04,0.05,29.53,
2023/05/22 23:28:40,985.05,25.93,35.08,34.75,4.49,1000.00, 4.46,4.66,69,17920,2901,2810.88,0.04,0.05,29.54,
2023/05/22 23:28:46,985.03,25.91,35.11,34.75,4.49,1015.63, 4.64,4.46,68,17920,2916,2829.31,0.04,0.05,29.54,
2023/05/22 23:28:52,985.05,25.92,35.13,35.00,4.49,1031.25, 4.00,4.22,68,17408,2880,2799.82,0.04,0.05,29.56,
2023/05/22 23:28:58,985.08,25.91,35.16,35.00,4.49,1046.88, 4.46,4.23,67,17408,2872,2799.82,0.04,0.05,29.56,
2023/05/22 23:29:04,985.06,25.89,35.18,35.00,4.50,1062.50, 4.68,4.00,68,18176,2861,2794.29,0.04,0.05,29.58,
2023/05/22 23:29:10,985.05,25.89,35.20,35.00,4.49,1062.50, 4.44,4.22,67,17408,2889,2796.13,0.04,0.05,29.58,
2023/05/22 23:29:16,984.96,25.88,35.22,35.00,4.49,1046.88, 4.68,4.68,70,18688,3023,2880.92,0.05,0.06,29.59,
2023/05/22 23:29:22,985.04,25.87,35.25,35.00,4.49,1000.00, 4.68,4.22,74,20736,3576,3194.27,0.07,0.07,29.60,
2023/05/22 23:29:28,985.06,25.86,35.27,35.00,4.49,1062.50, 4.88,4.22,71,18944,2994,2856.96,0.05,0.05,29.61,
2023/05/22 23:29:34,985.08,25.84,35.29,35.00,4.49,1031.25, 4.44,4.44,68,18176,3079,2897.51,0.05,0.06,29.61,
2023/05/22 23:29:40,985.03,25.84,35.31,35.00,4.49,1031.25, 4.22,4.46,71,19200,3258,3019.16,0.06,0.06,29.63,
2023/05/22 23:29:46,985.05,25.83,35.33,35.00,4.49,1031.25, 4.68,4.24,68,18176,3087,2904.88,0.05,0.06,29.64,
2023/05/22 23:29:52,985.01,25.81,35.35,35.00,4.49,1109.38, 4.47,4.20,67,17408,2838,2774.02,0.04,0.05,29.64,
2023/05/22 23:29:58,985.05,25.80,35.37,35.25,4.49,1093.75, 4.66,4.22,68,18176,2893,2797.98,0.04,0.05,29.64,
2023/05/22 23:30:04,985.06,25.79,35.40,35.00,4.49,1093.75, 4.66,4.44,70,18688,3018,2884.61,0.05,0.06,29.64,
2023/05/22 23:30:10,985.08,25.78,35.42,35.25,4.49,1015.63, 4.44,4.03,71,19456,3242,2995.20,0.06,0.06,29.66,
2023/05/22 23:30:16,985.07,25.77,35.44,35.25,4.48,1078.13, 4.66,4.44,66,17152,2823,2757.43,0.04,0.05,29.67,
2023/05/22 23:30:22,985.02,25.77,35.47,35.25,4.49,1187.50, 4.68,4.23,65,16896,2659,2670.80,0.03,0.05,29.67,
2023/05/22 23:30:28,985.08,25.76,35.48,35.25,4.49,1187.50, 4.46,4.44,64,16384,2591,2630.25,0.03,0.04,29.66,
2023/05/22 23:30:34,985.06,25.75,35.50,35.25,4.49,1218.75, 4.25,4.46,64,16640,2582,2628.40,0.03,0.04,29.66,
2023/05/22 23:30:40,985.07,25.75,35.52,35.25,4.49,1234.38, 4.46,4.44,65,16896,2584,2639.46,0.03,0.04,29.66,
2023/05/22 23:30:46,985.06,25.74,35.53,35.25,4.49,1234.38, 4.44,4.44,65,17152,2604,2641.31,0.03,0.04,29.65,
2023/05/22 23:30:52,985.05,25.73,35.55,35.25,4.49,1250.00, 4.44,4.23,66,17408,2652,2670.80,0.03,0.04,29.65,
2023/05/22 23:30:58,985.10,25.73,35.56,35.25,4.49,1250.00, 4.66,4.22,64,16896,2595,2635.78,0.03,0.04,29.64,
2023/05/22 23:31:04,985.10,25.72,35.58,35.25,4.49,1234.38, 4.68,4.46,67,17664,2714,2711.35,0.03,0.05,29.64,
2023/05/22 23:31:10,985.02,25.72,35.59,35.50,4.49,1218.75, 4.70,4.23,66,17152,2741,2720.56,0.03,0.05,29.64,
2023/05/22 23:31:16,985.02,25.72,35.60,35.25,4.49,1218.75, 4.24,4.44,66,17408,2709,2696.60,0.03,0.05,29.64,
2023/05/22 23:31:22,985.11,25.71,35.62,35.25,4.48,1203.13, 4.68,4.22,67,17408,2717,2700.29,0.03,0.05,29.64,
2023/05/22 23:31:28,985.11,25.71,35.62,35.25,4.49,1187.50, 4.44,4.45,67,17664,2808,2750.05,0.04,0.05,29.64,
2023/05/22 23:31:34,985.10,25.71,35.63,35.25,4.49,1171.88, 4.42,4.22,65,17152,2656,2674.48,0.03,0.05,29.64,
2023/05/22 23:31:40,985.07,25.71,35.64,35.25,4.48,1171.88, 4.68,4.45,67,17408,2736,2711.35,0.03,0.05,29.66,
2023/05/22 23:31:46,985.05,25.71,35.65,35.50,4.49,1171.88, 4.68,4.23,65,16896,2661,2667.11,0.03,0.05,29.65,
2023/05/22 23:31:52,985.03,25.71,35.66,35.25,4.49,1203.13, 4.44,4.45,65,16896,2702,2694.76,0.03,0.05,29.65,
2023/05/22 23:31:58,985.03,25.71,35.67,35.50,4.49,1171.88, 4.22,4.22,66,17664,2697,2691.07,0.03,0.05,29.65,
2023/05/22 23:32:04,985.06,25.73,35.67,35.50,4.48,1125.00, 4.68,4.23,66,17408,2696,2683.70,0.03,0.05,29.65,
2023/05/22 23:32:10,985.10,25.72,35.68,35.25,4.48,1140.63, 4.68,4.47,64,17152,2658,2680.01,0.03,0.05,29.65,
2023/05/22 23:32:16,985.05,25.73,35.68,35.50,4.48,1140.63, 4.44,4.23,65,16896,2749,2713.19,0.04,0.05,29.65,
2023/05/22 23:32:22,985.02,25.74,35.69,35.25,4.49,1156.25, 4.66,4.22,65,16896,2627,2646.84,0.03,0.04,29.66,
2023/05/22 23:32:28,985.03,25.74,35.69,35.25,4.49,1140.63, 4.66,4.22,67,17408,2652,2661.58,0.03,0.05,29.65,
2023/05/22 23:32:34,985.06,25.74,35.70,35.50,4.49,1125.00, 4.46,4.00,64,16640,2609,2632.09,0.03,0.04,29.65,
2023/05/22 23:32:40,985.04,25.75,35.70,35.25,4.49,1125.00, 4.24,4.23,64,16384,2566,2606.28,0.03,0.04,29.65,
2023/05/22 23:32:46,985.06,25.76,35.70,35.50,4.48,1125.00, 4.46,4.46,64,16384,2554,2604.44,0.03,0.04,29.66,
2023/05/22 23:32:52,985.04,25.76,35.70,35.50,4.48,1125.00, 4.44,4.68,63,16128,2577,2609.97,0.03,0.04,29.65,
2023/05/22 23:32:58,985.06,25.76,35.71,35.50,4.48,1156.25, 4.66,4.45,62,16128,2569,2609.97,0.03,0.04,29.65,
2023/05/22 23:33:04,985.06,25.77,35.71,35.50,4.48,1125.00, 4.68,4.44,65,16896,2599,2624.72,0.03,0.04,29.64,
2023/05/22 23:33:10,985.04,25.78,35.72,35.50,4.49,1140.63, 4.66,4.22,64,16896,2576,2615.50,0.03,0.04,29.64,
2023/05/22 23:33:16,985.06,25.78,35.72,35.50,4.49,1140.63, 4.44,4.00,66,17408,2589,2621.03,0.03,0.04,29.64,
2023/05/22 23:33:22,985.08,25.79,35.72,35.50,4.49,1140.63, 4.46,4.42,65,17152,2604,2619.19,0.03,0.04,29.64,
2023/05/22 23:33:28,985.06,25.81,35.72,35.50,4.48,1125.00, 4.48,4.24,66,17152,2645,2644.99,0.03,0.04,29.63,
2023/05/22 23:33:34,985.02,25.81,35.73,35.50,4.49,1078.13, 4.68,4.24,65,16896,2673,2650.52,0.03,0.05,29.64,
2023/05/22 23:33:40,985.09,25.82,35.73,35.50,4.49,1078.13, 4.46,4.23,65,17408,2726,2685.54,0.03,0.05,29.63,
2023/05/22 23:33:46,985.06,25.83,35.73,35.50,4.49,1062.50, 4.66,4.44,67,17920,2756,2698.44,0.03,0.05,29.63,
2023/05/22 23:33:52,984.97,25.84,35.73,35.50,4.49,1046.88, 4.44,4.45,67,18176,2791,2720.56,0.04,0.05,29.64,
2023/05/22 23:33:58,985.01,25.84,35.73,35.50,4.49,1062.50, 4.90,4.44,66,17664,2768,2700.29,0.04,0.05,29.64,
2023/05/22 23:34:04,985.03,25.84,35.73,35.50,4.48,1015.63, 4.68,4.22,66,17920,2830,2746.37,0.04,0.05,29.64,
2023/05/22 23:34:10,984.98,25.86,35.73,35.25,4.48,1000.00, 4.44,4.44,67,18176,2852,2740.84,0.04,0.05,29.64,
2023/05/22 23:34:16,985.04,25.86,35.73,35.25,4.48,1031.25, 4.66,4.21,68,18432,2896,2772.17,0.04,0.05,29.65,
2023/05/22 23:34:22,984.98,25.87,35.73,35.50,4.49,1000.00, 4.24,4.45,66,17920,2899,2772.17,0.04,0.05,29.65,
2023/05/22 23:34:28,985.07,25.88,35.72,35.25,4.49,1015.63, 4.66,4.23,67,17920,2839,2737.15,0.04,0.05,29.65,
2023/05/22 23:34:34,985.03,25.89,35.72,35.50,4.49,1078.13, 4.68,4.66,65,17152,2771,2694.76,0.04,0.05,29.65,
2023/05/22 23:34:40,985.05,25.89,35.73,35.50,4.49,1046.88, 4.46,4.42,67,17920,2808,2711.35,0.04,0.05,29.66,
2023/05/22 23:34:46,985.06,25.90,35.72,35.50,4.49,984.38, 4.46,4.44,67,18176,2901,2755.58,0.04,0.05,29.66,
