Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/04/03 18:22:16, NAN, NAN, NAN,21.00,4.57,8140.63, 6.44,5.54,183,43520,5429,6034.64,0.09,0.12,19.88,
2023/04/03 18:22:24,991.42,32.46,21.80,21.25,4.57,7109.38, 7.95,5.07,320,80384,8563,10187.37,0.23,0.27,20.05,
2023/04/03 18:22:30,990.71,32.04,22.04,21.75,4.57,7703.13, 7.76,5.02,309,77056,8467,9947.75,0.22,0.26,20.20,
2023/04/03 18:22:36,989.54,31.46,22.25,22.00,4.57,7281.25, 8.14,4.63,297,74240,8167,9647.31,0.21,0.25,20.30,
2023/04/03 18:22:42,988.42,30.95,22.44,22.25,4.57,7468.75, 7.73,5.05,314,79104,8481,10069.40,0.23,0.27,20.39,
2023/04/03 18:22:48,987.47,30.80,22.63,22.50,4.57,7546.88, 7.92,5.05,308,77312,8570,9931.16,0.22,0.26,20.48,
2023/04/03 18:22:54,986.71,30.65,22.79,22.75,4.57,7437.50, 7.95,4.81,304,76032,8375,9813.20,0.22,0.26,20.56,
2023/04/03 18:23:00,985.96,30.42,22.95,22.75,4.57,7265.63, 7.95,4.63,293,73216,8138,9549.62,0.20,0.25,20.63,
2023/04/03 18:23:06,985.26,30.23,23.09,23.00,4.57,6921.88, 7.95,5.05,291,72960,8215,9507.23,0.20,0.24,20.69,
2023/04/03 18:23:12,984.71,30.10,23.24,23.25,4.57,6515.63, 7.73,4.83,276,68608,7867,9103.56,0.19,0.23,20.73,
2023/04/03 18:23:18,984.19,29.94,23.38,23.25,4.57,6796.88, 8.14,4.83,291,72960,8121,9523.81,0.21,0.25,20.78,
2023/04/03 18:23:24,983.79,29.75,23.53,23.50,4.58,6828.13, 8.14,4.85,284,71168,7993,9274.98,0.20,0.24,20.83,
2023/04/03 18:23:30,983.39,29.62,23.66,23.50,4.57,6828.13, 7.92,4.81,290,72448,8277,9510.91,0.20,0.25,20.87,
2023/04/03 18:23:36,983.06,29.39,23.79,23.50,4.57,6875.00, 7.95,5.09,287,71424,8064,9429.81,0.20,0.24,20.92,
2023/04/03 18:23:42,982.76,29.25,23.90,23.75,4.57,6078.13, 7.73,5.29,247,60672,7254,8369.97,0.16,0.20,20.93,
2023/04/03 18:23:48,982.47,29.16,24.00,23.75,4.57,5281.25, 7.95,4.83,244,60160,7147,8200.40,0.15,0.19,20.92,
2023/04/03 18:23:54,982.14,29.10,24.12,24.00,4.57,5078.13, 7.70,4.85,230,56064,6814,7748.81,0.14,0.18,20.92,
2023/04/03 18:24:00,981.92,29.06,24.23,24.00,4.58,4828.13, 7.98,4.85,219,53760,6593,7455.74,0.13,0.17,20.91,
2023/04/03 18:24:06,981.79,28.93,24.33,24.25,4.57,6250.00, 7.89,4.83,293,73472,8219,9544.09,0.20,0.25,20.95,
2023/04/03 18:24:12,981.63,28.97,24.48,24.25,4.57,6468.75, 7.45,4.83,269,67072,7666,8911.87,0.18,0.22,20.99,
2023/04/03 18:24:18,981.34,28.83,24.57,24.50,4.57,5250.00, 7.92,4.85,231,56576,6860,7807.79,0.14,0.18,20.97,
2023/04/03 18:24:24,981.23,28.80,24.70,24.50,4.57,5656.25, 7.73,4.85,261,64512,7548,8710.96,0.17,0.21,20.98,
2023/04/03 18:24:30,981.23,28.65,24.80,24.50,4.57,5921.88, 7.95,5.05,263,65280,7631,8806.81,0.18,0.22,20.99,
2023/04/03 18:24:36,981.16,28.58,24.90,24.75,4.57,6062.50, 7.73,4.85,264,65792,7633,8839.99,0.18,0.22,21.00,
2023/04/03 18:24:42,981.06,28.56,25.03,24.75,4.57,6062.50, 8.14,4.65,267,66560,7669,8889.75,0.18,0.22,21.01,
2023/04/03 18:24:48,980.85,28.48,25.15,25.00,4.58,5609.38, 7.73,4.65,237,58624,7024,7947.88,0.15,0.18,21.01,
2023/04/03 18:24:54,980.71,28.39,25.24,25.00,4.58,5171.88, 7.73,4.65,234,57600,6920,7883.37,0.14,0.18,21.00,
2023/04/03 18:25:00,980.70,28.33,25.35,25.25,4.58,5046.88, 7.92,4.85,233,57088,6912,7934.98,0.14,0.18,20.98,
2023/04/03 18:25:06,980.62,28.22,25.41,25.25,4.58,4171.88, 7.98,4.85,202,48896,6055,6792.19,0.11,0.14,20.93,
2023/04/03 18:25:12,980.59,28.18,25.46,25.25,4.58,3484.38, 8.16,5.09,181,43264,5509,6152.60,0.09,0.12,20.87,
2023/04/03 18:25:18,980.54,28.17,25.56,25.25,4.57,3578.13, 7.76,5.09,191,46080,5785,6493.59,0.10,0.13,20.83,
2023/04/03 18:25:24,980.62,28.15,25.64,25.50,4.58,3437.50, 7.51,4.87,181,43520,5545,6230.02,0.09,0.12,20.77,
2023/04/03 18:25:30,980.67,28.09,25.72,25.50,4.59,3406.25, 7.54,4.87,185,44032,5589,6268.72,0.09,0.13,20.72,
2023/04/03 18:25:36,980.54,28.02,25.79,25.50,4.59,3343.75, 7.76,5.09,182,43776,5519,6126.80,0.09,0.12,20.68,
2023/04/03 18:25:42,980.47,27.98,25.86,25.75,4.59,3328.13, 7.98,4.89,183,44032,5504,6132.33,0.09,0.12,20.63,
2023/04/03 18:25:48,980.54,27.95,25.93,25.75,4.59,3312.50, 7.98,4.65,181,43264,5504,6126.80,0.09,0.12,20.58,
2023/04/03 18:25:54,980.54,27.87,25.98,25.75,4.59,3296.88, 7.98,4.85,181,43520,5495,6128.64,0.09,0.12,20.54,
2023/04/03 18:26:00,980.48,27.84,26.05,26.00,4.58,3312.50, 8.13,5.07,182,43520,5526,6172.88,0.09,0.12,20.50,
2023/04/03 18:26:06,980.43,27.79,26.12,26.00,4.59,3375.00, 8.20,4.87,186,44544,5615,6347.98,0.09,0.13,20.46,
2023/04/03 18:26:12,980.52,27.73,26.19,26.00,4.58,3484.38, 7.98,4.66,187,45056,5737,6401.43,0.10,0.13,20.43,
2023/04/03 18:26:18,980.58,27.68,26.26,26.00,4.58,3515.63, 7.95,5.09,187,44544,5720,6347.98,0.10,0.13,20.40,
2023/04/03 18:26:24,980.50,27.62,26.32,26.00,4.59,3593.75, 7.98,5.09,190,46080,5788,6486.22,0.10,0.13,20.36,
2023/04/03 18:26:30,980.55,27.56,26.40,26.25,4.58,3640.63, 7.73,5.05,192,46336,5884,6572.85,0.10,0.14,20.33,
2023/04/03 18:26:36,980.47,27.50,26.47,26.25,4.58,3796.88, 7.95,5.07,198,47872,6081,6801.41,0.11,0.14,20.30,
2023/04/03 18:26:42,980.57,27.40,26.59,26.50,4.59,4406.25, 8.20,5.06,224,55040,6672,7570.02,0.13,0.17,20.30,
