filename,time,b,g,r
RCNX0001,2023-07-11 10:18:00,136.41011512009496,110.49658567239213,89.43670794930875
RCNX0002,2023-07-11 10:21:00,115.0663066436252,99.88939481217707,84.77967069892473
RCNX0003,2023-07-11 10:24:00,133.77051738583998,122.08902387934646,107.96872250733138
RCNX0004,2023-07-11 10:27:00,135.3876300446865,125.58730493297026,112.07733120374249
RCNX0005,2023-07-11 10:30:00,96.73001457547828,90.78928920541824,81.85840926546572
RCNX0006,2023-07-11 10:33:00,130.66133658008658,118.29327869710934,103.22368689777964
RCNX0007,2023-07-11 10:36:00,109.11769916911047,104.67965280687055,95.39769934366709
RCNX0008,2023-07-11 10:39:00,107.45019724898758,104.2376955034213,95.79022526532607
RCNX0009,2023-07-11 10:42:00,106.97508553274682,103.53646531559838,94.91215132313923
RCNX0010,2023-07-11 10:45:00,109.25079335986594,105.8257344470046,96.91954685099846
RCNX0011,2023-07-11 10:48:00,101.28719670786204,97.52840385421031,89.17912826420891
RCNX0012,2023-07-11 10:51:00,96.04851146837034,89.93629817762883,80.82891225038402
RCNX0013,2023-07-11 10:54:00,103.70161115765954,99.76901707163805,90.52988540357492
RCNX0014,2023-07-11 10:57:00,109.47734909579668,103.16356566820276,91.97418351138109
RCNX0015,2023-07-11 11:00:00,103.94081963063817,100.4729895440581,90.54536770353303
RCNX0016,2023-07-11 11:03:00,102.18047147744728,94.07888432132384,82.55146802122609
RCNX0017,2023-07-11 11:06:00,108.60250445119397,104.37624764348554,93.1819997207094
RCNX0018,2023-07-11 11:09:00,110.47105502024857,105.4627688172043,95.06516853442257
RCNX0019,2023-07-11 11:12:00,117.04218335428013,112.7305216624773,102.31950321184192
RCNX0020,2023-07-11 11:15:00,97.54914030861612,92.78096329074151,84.33604681608713
RCNX0021,2023-07-11 11:18:00,144.09066602080716,132.33652422845972,115.86527850509705
RCNX0022,2023-07-11 11:21:00,110.15387384792626,104.97523957896942,93.35469819159336
RCNX0023,2023-07-11 11:24:00,137.31241097612065,127.23089565004888,110.65996587417959
RCNX0024,2023-07-11 11:27:00,145.6219243122469,132.747612065354,113.27284029814271
RCNX0025,2023-07-11 11:30:00,106.43408174486804,99.97068670576735,89.13645309663455
RCNX0026,2023-07-11 11:33:00,132.38095892682585,114.26614736070381,94.14260054461667
RCNX0027,2023-07-11 11:36:00,146.96991952939533,132.35435998813014,112.596241359447
RCNX0028,2023-07-11 11:39:00,137.21888266303588,133.27954196341292,122.05829754922497
RCNX0029,2023-07-11 11:42:00,115.59284317832704,112.48472760438486,103.48044049364614
RCNX0030,2023-07-11 11:45:00,119.27930020248569,116.61719120932831,107.81758919843597
RCNX0031,2023-07-11 11:48:00,100.0305989037844,93.62323828725039,84.07115975422427
RCNX0032,2023-07-11 11:51:00,96.9426367651166,87.43373219522412,76.63501562281805
RCNX0033,2023-07-11 11:54:00,118.85572720290462,111.49198959642509,100.83073418516967
RCNX0034,2023-07-11 11:57:00,118.01339416631755,110.81122573662896,100.26204222524787
RCNX0035,2023-07-11 12:00:00,130.89368846878926,126.11631231671554,116.41390299888283
RCNX0036,2023-07-11 12:03:00,113.67026471512358,108.82984874668342,99.50824823697808
RCNX0037,2023-07-11 12:06:00,135.90347236768608,121.48332547828515,106.75147631266583
RCNX0038,2023-07-11 12:09:00,131.74958586440442,125.02081762323698,114.81708691174417
RCNX0039,2023-07-11 12:12:00,128.55620243331936,123.0110119047619,113.01507907415166
RCNX0040,2023-07-11 12:15:00,116.86347882628125,109.93129931224689,100.03429514034353
RCNX0041,2023-07-11 12:18:00,102.9603795733836,92.44733801145091,81.97831352115627
RCNX0042,2023-07-11 12:21:00,145.42237946864964,122.56744998952661,106.27908593422707
RCNX0043,2023-07-11 12:24:00,147.00474401270773,123.26499746892893,106.59070878718056
RCNX0044,2023-07-11 12:27:00,151.50888580505517,127.57706282292976,110.27899254643206
RCNX0045,2023-07-11 12:30:00,150.54718352883677,126.02654264418378,108.60965996369222
RCNX0046,2023-07-11 12:33:00,150.52680404273147,125.87491839477727,108.65657860284877
RCNX0047,2023-07-11 12:36:00,153.9810885351208,129.11405355397292,111.07983740050273
RCNX0048,2023-07-11 12:39:00,155.10630498533723,130.02714530093562,111.83822397360704
RCNX0049,2023-07-11 12:42:00,157.91238435623515,132.57649289554533,113.77059157240609
RCNX0050,2023-07-11 12:45:00,160.73348956151375,135.13636930945398,115.79138039379976
RCNX0051,2023-07-11 12:48:00,160.96065624563607,135.23250898966626,115.87412939882698
RCNX0052,2023-07-11 12:51:00,161.84843291788857,135.96596538542104,116.46611768607737
RCNX0053,2023-07-11 12:54:00,162.11260124284317,136.16039528347997,116.66898914257786
RCNX0054,2023-07-11 12:57:00,108.46905460131266,90.71704850928641,76.953488514174
RCNX0055,2023-07-11 13:00:00,110.187510037006,92.27315799120234,78.27979768887027
RCNX0056,2023-07-11 13:03:00,111.37046501885212,93.34799914467253,79.03626850300238
RCNX0057,2023-07-11 13:06:00,112.7376653924033,94.58925603965926,79.97546737536656
RCNX0058,2023-07-11 13:09:00,113.35217672112833,95.22381170576735,80.49617546432063
RCNX0059,2023-07-11 13:12:00,114.37014645300935,96.22814289205418,81.30434471442535
RCNX0060,2023-07-11 13:15:00,113.41228704091607,95.26856278801843,80.50002923823489
RCNX0061,2023-07-11 13:18:00,114.04964390448261,95.95062142158916,81.19759242773355
RCNX0062,2023-07-11 13:21:00,114.47201551808406,96.22988278522553,81.39480912232928
RCNX0063,2023-07-11 13:24:00,115.97525965298142,97.93826892193827,82.81811592305544
