filename,time,b,g,r
RCNX0026,2023-06-06 16:36:00,108.69730877321604,103.41226216659685,93.49294136642926
RCNX0027,2023-06-06 16:39:00,102.7553222315319,98.34780276846809,89.65071830051669
RCNX0028,2023-06-06 16:42:00,119.27283026113672,116.17532860284877,106.30001527370479
RCNX0029,2023-06-06 16:45:00,137.99344059838012,135.74210524018991,124.79594548596565
RCNX0030,2023-06-06 16:48:00,139.88175708699902,132.48825495740817,119.05250314201928
RCNX0031,2023-06-06 16:51:00,124.45002749266862,117.12356601731602,104.78535338988968
RCNX0032,2023-06-06 16:54:00,132.6779495705907,120.9920397814551,106.8543656612205
RCNX0033,2023-06-06 16:57:00,145.27294372294372,124.49805020248569,105.07865303379417
RCNX0034,2023-06-06 17:00:00,140.66654927733558,118.53010752688172,97.83230737676303
RCNX0035,2023-06-06 17:03:00,142.12514357282504,119.13052995391705,97.49506702974445
RCNX0036,2023-06-06 17:06:00,151.22255577084206,129.0879922496858,106.61332172531769
RCNX0037,2023-06-06 17:09:00,135.7395924975562,124.9337540148024,109.79140221337802
RCNX0038,2023-06-06 17:12:00,127.23110642717498,119.82430526462784,107.2182917888563
RCNX0039,2023-06-06 17:15:00,116.81201473257924,105.3950840490155,92.34890596634548
RCNX0040,2023-06-06 17:18:00,132.95877627077223,110.02023416771401,89.47858408392682
RCNX0041,2023-06-06 17:21:00,132.67686470115905,109.71319255341433,89.03932411674347
RCNX0042,2023-06-06 17:24:00,131.80608897151237,109.76675263580506,89.89916605571848
RCNX0043,2023-06-06 17:27:00,152.7659998603547,126.04761904761905,102.08299120234604
RCNX0044,2023-06-06 17:30:00,135.8126579737467,115.11226478494623,95.51812421449519
RCNX0045,2023-06-06 17:33:00,134.33414545803657,116.35409466205837,99.06126588465298
RCNX0046,2023-06-06 17:36:00,137.96631929898058,121.66778732020667,105.77984045524369
RCNX0047,2023-06-06 17:39:00,146.910985721268,121.0830623341712,98.26319866289624
RCNX0048,2023-06-06 17:42:00,135.0209725422427,116.15557402946516,97.45475404971373
RCNX0049,2023-06-06 17:45:00,135.41430622468928,117.16575286272867,98.6200600474794
RCNX0050,2023-06-06 17:48:00,141.07422540497137,125.32017830959363,107.7872071812596
RCNX0051,2023-06-06 17:51:00,136.95235433249547,134.9920812386538,124.95399647395615
RCNX0052,2023-06-06 17:54:00,115.22278574919704,105.73888947074431,92.70607282502444
RCNX0053,2023-06-06 17:57:00,143.3661285958665,120.35649961597542,99.31272255969837
RCNX0054,2023-06-06 18:00:00,139.1367415514593,115.62843309244519,94.46402387934646
RCNX0055,2023-06-06 18:03:00,136.69903732020668,113.18398312037425,92.25782231881023
RCNX0056,2023-06-06 18:06:00,148.56433677209887,121.38601626867757,97.86314018642648
RCNX0057,2023-06-06 18:09:00,148.53685064935064,123.12545297444491,101.2029648442955
RCNX0058,2023-06-06 18:12:00,148.76395056556348,118.06654796816088,93.40938547339756
RCNX0059,2023-06-06 18:15:00,127.62856750104734,106.2720364648792,87.82876518642648
RCNX0060,2023-06-06 18:18:00,130.18526043848624,109.71488095238095,91.63807778243262
RCNX0061,2023-06-06 18:21:00,150.2493144288507,120.36515413350091,95.51563852813852
RCNX0062,2023-06-06 18:24:00,147.74398390587908,117.42382523390587,92.52708202415863
RCNX0063,2023-06-06 18:27:00,153.41964547549225,125.0754682481497,100.66582224898757
RCNX0064,2023-06-06 18:30:00,137.13087077572965,112.39830985546712,90.99031472559699
RCNX0065,2023-06-06 18:33:00,134.88059279430246,110.41284998603547,89.3376728110599
RCNX0066,2023-06-06 18:36:00,149.33768372084904,122.0492175499232,98.30367441698087
RCNX0067,2023-06-06 18:39:00,137.35645772238513,114.71659466205837,94.25022866918029
RCNX0068,2023-06-06 18:42:00,144.40191925010473,117.84556538891216,94.76481636642927
RCNX0069,2023-06-06 18:45:00,141.39914641809804,114.95486620234604,92.22102229088117
RCNX0070,2023-06-06 18:48:00,139.41827695154308,113.39028330540427,91.16014610389611
RCNX0071,2023-06-06 18:51:00,138.44121238304706,113.21465970185729,91.5940882034632
RCNX0072,2023-06-06 18:54:00,138.5050839617372,113.4922178292138,91.6127461248429
RCNX0073,2023-06-06 18:57:00,135.20943347646977,110.37755856374808,88.96627653260718
RCNX0074,2023-06-06 19:00:00,144.44842680840665,117.35568574570591,94.09487501745566
RCNX0075,2023-06-06 19:03:00,143.91486611506772,117.80449657869012,94.91746657240608
RCNX0076,2023-06-06 19:06:00,141.51920472001117,115.69257697947214,93.17227909858958
RCNX0077,2023-06-06 19:09:00,138.0528208350789,112.37994693478565,90.26609543010753
RCNX0078,2023-06-06 19:12:00,148.99484359726296,121.88607081762324,98.25803135037006
RCNX0079,2023-06-06 19:15:00,146.29530966345482,119.82909771679932,96.5946070730345
RCNX0080,2023-06-06 19:18:00,141.51160627007403,115.15603442256668,92.4116001605921
RCNX0081,2023-06-06 19:21:00,138.13901995182238,112.14969234394637,89.79536333961737
RCNX0082,2023-06-06 19:24:00,146.33211711004049,119.15667591816785,95.7168202764977
RCNX0083,2023-06-06 19:27:00,141.92418874807987,114.94809776916632,92.0401554426756
RCNX0084,2023-06-06 19:30:00,137.48410661918726,110.90593187054881,88.42589765745008
RCNX0085,2023-06-06 19:33:00,142.62008317623236,114.88745636084346,91.59689987431923
RCNX0086,2023-06-06 19:36:00,139.10529255690545,111.81228049504259,88.96266670157799
RCNX0087,2023-06-06 19:39:00,144.63588753316577,116.79228023320765,93.2148412407485
RCNX0088,2023-06-06 19:42:00,140.98376448819997,113.71906463831867,90.72490312107247
RCNX0089,2023-06-06 19:45:00,144.89536770353303,117.00545096704371,93.40839224619467
RCNX0090,2023-06-06 19:48:00,139.981426738584,112.30887838639855,89.26369178536517
RCNX0091,2023-06-06 19:51:00,142.97356252618349,114.87142246194665,91.42124572336266
RCNX0092,2023-06-06 19:54:00,145.21502496159755,116.69505611995531,92.91823331238653
RCNX0093,2023-06-06 19:57:00,140.1797845971233,112.10241499092305,89.02909509844994
RCNX0094,2023-06-06 20:00:00,142.46834939254293,114.45634731531909,91.30360153958944
RCNX0095,2023-06-06 20:03:00,145.21083342061164,118.18416684122329,95.4928968544896
RCNX0096,2023-06-06 20:06:00,136.32235153958945,108.52258064516128,85.81250872783131
RCNX0097,2023-06-06 20:09:00,144.45149900502724,114.42047200111716,89.79296274961598
RCNX0098,2023-06-06 20:12:00,141.7034025450356,111.21183537564586,86.5231776288228
RCNX0099,2023-06-06 20:15:00,143.63063556067587,112.6524219731881,87.67366944211702
RCNX0100,2023-06-06 20:18:00,143.90470691942465,112.75157144602709,87.87189943792767
RCNX0101,2023-06-06 20:21:00,142.92302751012429,111.27385534492389,86.16219845342829
RCNX0102,2023-06-06 20:24:00,144.16969216938975,111.56060998813015,85.87689786691803
RCNX0103,2023-06-06 20:27:00,143.10338290741515,110.00039449797514,84.33195389959504
RCNX0104,2023-06-06 20:30:00,156.49224619466554,118.63974436182097,89.91280547409579
RCNX0105,2023-06-06 20:33:00,160.2751326630359,119.40497355467113,89.07876125890239
RCNX0106,2023-06-06 20:36:00,148.54367101312667,109.53096416352464,80.79307184750733
RCNX0107,2023-06-06 20:39:00,149.07683895405668,109.9031616568915,81.75760543220221
RCNX0108,2023-06-06 20:42:00,164.45234560466415,118.9121491411814,87.09960375645859
RCNX0109,2023-06-06 20:45:00,156.37697554461667,110.30285400083787,78.59952651515151
RCNX0110,2023-06-06 20:48:00,169.3236786063399,116.03848755411255,80.6847158218126
RCNX0111,2023-06-06 20:51:00,183.192796048038,122.18065214355536,82.496708298422
RCNX0112,2023-06-06 20:54:00,180.7743777056277,118.31811854140483,77.85778871665968
RCNX0113,2023-06-06 20:57:00,182.70363776008938,118.15681425429409,76.4096324710236
RCNX0114,2023-06-06 21:00:00,172.9099331448122,111.14793804985337,71.34093789275241
RCNX0115,2023-06-06 21:03:00,188.18202939533586,121.21309218335428,78.03999005027231
RCNX0116,2023-06-06 21:06:00,200.04246831797235,128.07335567658149,82.49578183912861
RCNX0117,2023-06-06 21:09:00,186.24749903993856,117.66211422985617,75.18588753316575
RCNX0118,2023-06-06 21:12:00,175.20032467532468,109.1147692361402,68.81783052297165
RCNX0119,2023-06-06 21:15:00,186.86818400013965,114.6753067832705,71.03042740189917
RCNX0120,2023-06-06 21:18:00,176.82665261485826,106.73778059977657,65.08014505655635
RCNX0121,2023-06-06 21:21:00,110.21359708839547,110.21359708839547,110.21359708839547
RCNX0122,2023-06-06 21:24:00,114.91377557254573,114.91377557254573,114.91377557254573
RCNX0123,2023-06-06 21:27:00,91.00023128752967,91.00023128752967,91.00023128752967
RCNX0124,2023-06-06 21:30:00,67.07432446585672,67.07432446585672,67.07432446585672
RCNX0125,2023-06-06 21:33:00,48.8934331797235,48.8934331797235,48.8934331797235
RCNX0126,2023-06-06 21:36:00,35.6035365172462,35.6035365172462,35.6035365172462
RCNX0127,2023-06-06 21:39:00,26.494366621281944,26.494366621281944,26.494366621281944
RCNX0128,2023-06-06 21:42:00,60.05193408741796,60.05193408741796,60.05193408741796
RCNX0129,2023-06-06 21:45:00,20.186898652422848,20.186898652422848,20.186898652422848
RCNX0130,2023-06-06 21:48:00,40.09756100754085,40.09756100754085,40.09756100754085
